age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
29,10.31333333,10.25666667,10.21,0.002033333,1.0,1.0,25628.66667,1.0,1122.359649,1,9
30,10.525,10.265,10.23,0.00245,1.0,1.0,27178.0,0.0,1122.359649,5,9
22,10.5,10.25,10.23,0.0008,2.0,1.0,23966.0,0.5,1137.753126,5,9
24,10.375,10.23,10.22,0.0002,1.0,1.0,20495.0,0.5,1137.753126,3,9
26,10.32375,10.2375,10.18,0.001078571,1.625,1.0,22062.125,0.875,1137.753126,1,9
20,10.61,10.22,10.22,0.0,2.0,2.0,18909.0,0.0,1126.138889,4,9
22,10.71,10.2,10.2,0.0,5.0,5.0,16027.0,0.0,1126.138889,2,9
23,10.29,10.27,10.25,0.0004,2.0,1.0,27588.66667,1.0,1126.138889,1,9
24,10.3075,10.26,10.23,0.001,1.25,1.0,25972.25,1.0,1126.138889,5,9
28,10.52666667,10.2,10.13,0.0039,1.333333333,1.0,17088.66667,0.0,1126.138889,1,9
18,10.31,10.27,10.26,0.0003,3.0,1.0,27574.66667,1.0,1141.238585,1,9
22,10.51,10.29,10.29,0.0,3.0,3.0,31544.0,0.0,1131.111437,3,9
24,10.43666667,10.27666667,10.23,0.001633333,3.333333333,2.0,29410.66667,0.666666667,1131.111437,1,9
25,10.28333333,10.28,10.27,8e-05,3.5,2.0,29458.66667,0.666666667,1131.111437,4,9
26,10.355,10.25666667,10.19,0.002146667,2.5,1.0,25826.33333,1.0,1131.111437,3,9
27,10.45333333,10.24666667,10.16,0.005733333,2.333333333,1.0,24880.66667,0.666666667,1131.111437,2,9
29,10.4675,10.185,10.09,0.006966667,3.0,2.0,16169.75,0.25,1131.111437,4,9
30,10.37555556,10.21111111,10.03,0.006936111,2.444444444,1.0,19901.11111,0.777777778,1131.111437,3,9
32,10.37444444,10.19555556,10.03,0.008377778,1.777777778,1.0,18258.11111,0.666666667,1131.111437,1,9
20,10.5,10.2,10.2,0.0,1.0,1.0,16027.0,0.0,1144.561396,2,9
21,10.29,10.26,10.26,0.0,1.0,1.0,25590.0,1.0,1144.561396,1,9
22,10.37,10.18111111,10.1,0.004211111,2.444444444,1.0,15128.0,0.555555556,1144.561396,4,9
23,10.2625,10.2075,10.08,0.008891667,1.0,1.0,19704.75,0.75,1144.561396,3,9
24,10.26,10.21,10.21,0.0,1.0,1.0,17420.0,1.0,1144.561396,2,9
26,10.37666667,10.26666667,10.23,0.001033333,1.333333333,1.0,27134.66667,1.0,1144.561396,4,9
23,10.38,10.25,10.21,0.0032,1.5,1.0,24482.0,1.0,1151.202683,1,9
24,10.38111111,10.23222222,10.16,0.001494444,2.222222222,1.0,21349.11111,0.666666667,1151.202683,4,9
25,10.23142857,10.21428571,10.15,0.002095238,2.142857143,1.0,18793.14286,1.0,1151.202683,3,9
26,10.395,10.28,10.28,0.0,4.5,2.0,29380.0,1.0,1151.202683,2,9
27,10.34333333,10.19,10.14,0.0075,5.0,2.0,16828.66667,0.666666667,1151.202683,1,9
28,10.27666667,10.22666667,10.16,0.002546667,2.333333333,1.0,20853.0,0.833333333,1151.202683,4,9
29,10.33555556,10.25666667,10.14,0.002475,2.777777778,1.0,25906.88889,0.888888889,1151.202683,3,9
30,10.26923077,10.21615385,10.11,0.001942308,3.384615385,1.0,19036.92308,0.923076923,1151.202683,2,9
31,10.37428571,10.27857143,10.25,0.000247619,3.142857143,1.0,29254.57143,0.857142857,1151.202683,1,9
32,10.38,10.24,10.24,0.0,4.0,4.0,22081.0,1.0,1151.202683,4,9
