Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,10.00,+1.9,Carl LEWIS,01 JUL 1961,USA,1f1,,"Modesto, CA (USA)",15 MAY 1982,1206
2,10.03,+1.9,Stanley FLOYD,23 JUN 1961,USA,1f1,,"Provo, UT (USA)",05 JUN 1982,1196
3,10.05,+1.7,Calvin SMITH,08 JAN 1961,USA,1,,"Indianapolis, IN (USA)",25 JUL 1982,1189
4,10.08,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,Berlin (GER),20 AUG 1982,1179
5,10.09,+1.3,Carl LEWIS,01 JUL 1961,USA,1f1,,"Walnut, CA (USA)",25 APR 1982,1176
5,10.09,+0.6,Calvin SMITH,08 JAN 1961,USA,1h1,,"Athens, GA (USA)",14 MAY 1982,1176
5,10.09,-1.7,Carl LEWIS,01 JUL 1961,USA,1,,"Indianapolis, IN (USA)",02 JUL 1982,1186
5,10.09,-0.9,Calvin SMITH,08 JAN 1961,USA,1,,Zürich (SUI),18 AUG 1982,1181
9,10.10,+1.9,Willie GAULT,05 SEP 1960,USA,2f2,,"Provo, UT (USA)",05 JUN 1982,1172
10,10.11,+1.9,Mike MILLER,29 DEC 1959,USA,3f1,,"Provo, UT (USA)",05 JUN 1982,1169
11,10.14,+1.6,James BUTLER,21 JUN 1960,USA,1f1,,"Provo, UT (USA)",05 JUN 1982,1159
11,10.14,+1.5,Mel LATTANY,10 AUG 1959,USA,1,,Roma (ITA),14 SEP 1982,1159
13,10.15,+1.9,Valentin ATANASOV,07 MAY 1961,BUL,1,,Sofia (BUL),14 AUG 1982,1155
14,10.19,+1.9,Mark MCNEIL,25 AUG 1961,USA,4,,"Provo, UT (USA)",05 JUN 1982,1142
14,10.19,+1.5,Tony SHARPE,28 JUN 1961,CAN,1,,Air Force Academy (USA),20 JUL 1982,1142
16,10.20,+1.2,Marian WORONIN,13 AUG 1956,POL,1h5,,"Olympic Stadium, Athina (GRE)",06 SEP 1982,1138
17,10.21,,Mark DUPER,25 JAN 1959,USA,1,,"Natchitoches, LA (USA)",15 APR 1982,1135
17,10.21,-0.8,Frank EMMELMANN,15 SEP 1961,GDR,1,,"Olympic Stadium, Athina (GRE)",07 SEP 1982,1139
19,10.22,+1.5,Marian WORONIN,13 AUG 1956,POL,2,,Roma (ITA),14 SEP 1982,1132
20,10.23,+0.9,Herschel WALKER,03 MAR 1962,USA,1,,"Athens, GA (USA)",08 MAY 1982,1128
20,10.23,-0.9,Calvin SMITH,08 JAN 1961,USA,1,,Koblenz (GER),25 AUG 1982,1133
20,10.23,0.0,Mel LATTANY,10 AUG 1959,USA,1,,Rieti (ITA),16 SEP 1982,1128
23,10.25,,Claude MAGEE,07 APR 1962,USA,1f2,,"Cape Girardeau, MO (USA)",03 APR 1982,1122
23,10.25,-0.8,Pierfrancesco PAVONI,21 FEB 1963,ITA,2,,"Olympic Stadium, Athina (GRE)",07 SEP 1982,1126
25,10.26,,Larry WHITE,07 JUL 1959,USA,1f1,,"Cape Girardeau, MO (USA)",03 APR 1982,1118
25,10.26,+1.9,Mike SANFORD,06 MAR 1960,USA,3,,"Modesto, CA (USA)",15 MAY 1982,1118
25,10.26,,Jeff PHILLIPS,16 MAY 1957,USA,1,,Stockholm (SWE),06 JUL 1982,1118
28,10.27,0.0,Ken ROBINSON,15 JUL 1963,USA,1,,"Tempe, AZ (USA)",27 MAR 1982,1115
28,10.27,+1.9,Sterling HINDS,31 OCT 1961,CAN,4,,"Modesto, CA (USA)",15 MAY 1982,1115
30,10.28,+1.9,Fabian WHYMNS,11 JUN 1961,BAH,5,,"Modesto, CA (USA)",15 MAY 1982,1112
30,10.28,+0.7,Cameron SHARP,03 JUN 1958,GBR,1h3,,"Olympic Stadium, Athina (GRE)",06 SEP 1982,1112
30,10.28,-0.8,Marian WORONIN,13 AUG 1956,POL,3,,"Olympic Stadium, Athina (GRE)",07 SEP 1982,1116
30,10.28,-0.8,Cameron SHARP,03 JUN 1958,GBR,4,,"Olympic Stadium, Athina (GRE)",07 SEP 1982,1116
34,10.29,+1.3,Herkie WALLS,18 JUL 1961,USA,2,,"Austin, TX (USA)",01 MAY 1982,1108
35,10.30,,Ernest PENNINGTON,11 JUL 1960,USA,1h2,,"Huntsville, AL (USA)",23 APR 1982,1105
35,10.30,-0.9,Mel LATTANY,10 AUG 1959,USA,2,,Koblenz (GER),25 AUG 1982,1110
35,10.30,-1.1,Frank EMMELMANN,15 SEP 1961,GDR,1h4,,"Olympic Stadium, Athina (GRE)",06 SEP 1982,1111
35,10.30,+0.5,Frank EMMELMANN,15 SEP 1961,GDR,1sf2,,"Olympic Stadium, Athina (GRE)",07 SEP 1982,1105
