Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.86,+1.6,Michael NORMAN,03 DEC 1997,USA,1f3,,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1255
2,9.90,+1.4,Trayvon BROMELL,10 JUL 1995,USA,1h3,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1241
3,9.91,+1.7,Akani SIMBINE,21 SEP 1993,RSA,1h3,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1238
4,9.96,+0.3,Akani SIMBINE,21 SEP 1993,RSA,1,,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1220
5,9.97,+1.9,Andre DE GRASSE,10 NOV 1994,CAN,1h2,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1217
6,9.99,+1.6,Trayvon BROMELL,10 JUL 1995,USA,1h2,,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1210
7,10.00,+1.1,Ronnie BAKER,15 OCT 1993,USA,1f3,,"AP Ranch, Fort Worth, TX (USA)",23 JUL 2020,1206
8,10.01,+1.3,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1203
9,10.02,-0.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1200
10,10.03,-1.8,Akani SIMBINE,21 SEP 1993,RSA,1sf1,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1206
10,10.03,+0.3,Julian FORTE,07 JAN 1993,JAM,1f5,,"Jamaica College Ashenheim Stadium, Kingston (JAM)",18 JUL 2020,1196
10,10.03,+1.6,Rai BENJAMIN,27 JUL 1997,USA,2f3,,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1196
10,10.03,+1.0,Aska CAMBRIDGE,31 MAY 1993,JPN,1,,"Prefectural Stadium, Fukui (JPN)",29 AUG 2020,1196
14,10.04,+1.6,Trayvon BROMELL,10 JUL 1995,USA,1h5,,"Montverde Academy, Montverde, FL (USA)",04 JUL 2020,1193
14,10.04,+1.4,Noah LYLES,18 JUL 1997,USA,2h3,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1193
14,10.04,+1.4,Yoshihide KIRYU,15 DEC 1995,JPN,1f3,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",01 AUG 2020,1193
14,10.04,+0.2,Andre EWERS,07 JUN 1995,JAM,1f1,,"Bolles HS Track, Jacksonville, FL (USA)",08 AUG 2020,1193
14,10.04,+1.8,Kyree KING,09 JUL 1994,USA,1h1,,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1193
14,10.04,+0.3,Arthur CISSÉ,29 DEC 1996,CIV,2,,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1193
20,10.05,+0.3,Noah LYLES,18 JUL 1997,USA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",19 AUG 2020,1189
20,10.05,+0.9,Aska CAMBRIDGE,31 MAY 1993,JPN,1h3,,"Prefectural Stadium, Fukui (JPN)",29 AUG 2020,1189
22,10.06,+0.8,Shaun MASWANGANYI,01 FEB 2001,RSA,1sf1,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1186
22,10.06,+1.0,Yoshihide KIRYU,15 DEC 1995,JPN,2,,"Prefectural Stadium, Fukui (JPN)",29 AUG 2020,1186
24,10.07,+1.1,Justin GATLIN,10 FEB 1982,USA,2f3,,"AP Ranch, Fort Worth, TX (USA)",23 JUL 2020,1182
24,10.07,+0.9,Yoshihide KIRYU,15 DEC 1995,JPN,2h3,,"Prefectural Stadium, Fukui (JPN)",29 AUG 2020,1182
24,10.07,-0.2,Filippo TORTU,15 JUN 1998,ITA,2,,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1183
27,10.08,+1.3,Henricho BRUINTJIES,16 JUL 1993,RSA,2,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1179
27,10.08,-0.9,Henricho BRUINTJIES,16 JUL 1993,RSA,1sf3,,"Bestmed Tuks Stadium, Pretoria (RSA)",14 MAR 2020,1184
27,10.08,+1.4,Deniz ALMAS,17 JUL 1997,GER,1f1,,"Sepp-Herberger-Stadion, Weinheim (GER)",01 AUG 2020,1179
30,10.09,+1.7,Cravon GILLESPIE,31 JUL 1996,USA,1f2,,"PVAMU Track Stadium, Prairie View, TX (USA)",06 AUG 2020,1176
30,10.09,+0.1,Deniz ALMAS,17 JUL 1997,GER,1,,"Eintracht-Stadion, Braunschweig (GER)",08 AUG 2020,1176
30,10.09,+1.8,Kenneth BEDNAREK,14 OCT 1998,USA,2h1,,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1176
30,10.09,+1.6,Justin GATLIN,10 FEB 1982,USA,2h2,,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1176
30,10.09,+0.7,Yoshihide KIRYU,15 DEC 1995,JPN,1h3,,"National Stadium, Tokyo (JPN)",23 AUG 2020,1176
30,10.09,+0.9,Jeff DEMPS,08 JAN 1990,USA,1f1,,"Drake Stadium, Des Moines, IA (USA)",29 AUG 2020,1176
30,10.09,+0.3,Filippo TORTU,15 JUN 1998,ITA,3,,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1176
37,10.10,+1.8,Divine ODUDURU,07 OCT 1996,NGR,1f2,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1172
37,10.10,+1.4,Andre EWERS,07 JUN 1995,JAM,3h3,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1172
37,10.10,+1.6,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"Stadio Giuseppe Grezar, Trieste (ITA)",01 AUG 2020,1172
37,10.10,+0.4,Arthur CISSÉ,29 DEC 1996,CIV,1,,"Olympiastadion, Berlin (GER)",13 SEP 2020,1172
41,10.11,+2.0,Silvan WICKI,13 FEB 1995,SUI,1f1,,"Stade Bouleyres, Bulle (SUI)",11 JUL 2020,1169
41,10.11,+1.9,Senoj-Jay GIVANS,30 DEC 1993,JAM,2h2,,"National Training Center, Clermont, FL (USA)",24 JUL 2020,1169
41,10.11,+1.3,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"Paavo Nurmen Stadion, Turku (FIN)",11 AUG 2020,1169
41,10.11,+0.7,Aska CAMBRIDGE,31 MAY 1993,JPN,2h3,,"National Stadium, Tokyo (JPN)",23 AUG 2020,1169
41,10.11,+0.3,Lamont Marcell JACOBS,26 SEP 1994,ITA,4,,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1169
41,10.11,+0.1,Felipe BARDI,08 OCT 1998,BRA,1sf2,,"COTP Stadium, São Paulo (BRA)",11 DEC 2020,1169
47,10.12,+1.5,Jack HALE,22 MAY 1998,AUS,1h2,,"WA Sports Centre, Perth (AUS)",01 FEB 2020,1165
47,10.12,+1.3,Filippo TORTU,15 JUN 1998,ITA,1f1,,"Centro Sportivo Fontanassa, Savona (ITA)",16 JUL 2020,1165
