Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.74,+1.7,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1298
2,9.78,0.0,Asafa POWELL,23 NOV 1982,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1283
3,9.83,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1267
4,9.84,-0.5,Tyson GAY,09 AUG 1982,USA,1,,"Indianapolis, IN (USA)",22 JUN 2007,1265
4,9.84,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1263
6,9.85,-0.5,Tyson GAY,09 AUG 1982,USA,1,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1262
7,9.90,+0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1241
8,9.91,-0.5,Derrick ATKINS,05 JAN 1984,BAH,2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1241
9,9.93,0.0,Walter DIX,31 JAN 1986,USA,1,,"Sacramento, CA (USA)",08 JUN 2007,1231
10,9.94,+0.9,Asafa POWELL,23 NOV 1982,JAM,1f1,,Oslo (NOR),15 JUN 2007,1227
11,9.95,+0.3,Derrick ATKINS,05 JAN 1984,BAH,1,,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1224
12,9.96,-0.5,Asafa POWELL,23 NOV 1982,JAM,3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1223
12,9.96,0.0,Wallace SPEARMON,24 DEC 1984,USA,1,,Shanghai (CHN),28 SEP 2007,1220
14,9.97,+0.5,Asafa POWELL,23 NOV 1982,JAM,1,,Beograd (SRB),29 MAY 2007,1217
14,9.97,-1.1,Tyson GAY,09 AUG 1982,USA,1sf2,,"Indianapolis, IN (USA)",22 JUN 2007,1223
16,9.98,+2.0,Derrick ATKINS,05 JAN 1984,BAH,1,,"Berkeley, CA (USA)",28 APR 2007,1213
16,9.98,+1.9,Tyson GAY,09 AUG 1982,USA,1h2,,"Indianapolis, IN (USA)",21 JUN 2007,1213
18,9.99,+0.9,Samuel FRANCIS,27 MAR 1987,QAT,1,,Amman (JOR),26 JUL 2007,1210
19,10.00,-0.1,Derrick ATKINS,05 JAN 1984,BAH,1,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2007,1206
19,10.00,+0.1,Tyson GAY,09 AUG 1982,USA,1sf2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1206
21,10.01,+1.3,Joshua J. JOHNSON,10 MAY 1976,USA,1h1,,Zaragoza (ESP),28 JUL 2007,1203
