Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.78,-0.4,Tyson GAY,09 AUG 1982,USA,1,,"Crystal Palace, London (GBR)",13 AUG 2010,1285
1,9.78,+0.9,Nesta CARTER,11 OCT 1985,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1283
3,9.79,+0.1,Tyson GAY,09 AUG 1982,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1280
4,9.82,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1269
4,9.82,+0.5,Usain BOLT,21 AUG 1986,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1269
6,9.83,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1269
7,9.84,-0.3,Usain BOLT,21 AUG 1986,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1263
7,9.84,0.0,Tyson GAY,09 AUG 1982,USA,1,,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1262
9,9.85,+0.1,Nesta CARTER,11 OCT 1985,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1259
10,9.86,+0.1,Usain BOLT,21 AUG 1986,JAM,1,,Daegu (KOR),19 MAY 2010,1255
10,9.86,+1.0,Nesta CARTER,11 OCT 1985,JAM,1f2,,Luzern (SUI),08 AUG 2010,1255
12,9.88,+1.2,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1248
12,9.88,+1.0,Walter DIX,31 JAN 1986,USA,2f2,,Luzern (SUI),08 AUG 2010,1248
12,9.88,+0.9,Ryan BAILEY,13 APR 1989,USA,2,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1248
15,9.89,-0.4,Yohan BLAKE,26 DEC 1989,JAM,2,,"Crystal Palace, London (GBR)",13 AUG 2010,1247
16,9.91,-0.3,Asafa POWELL,23 NOV 1982,JAM,2,,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1239
16,9.91,+0.1,Yohan BLAKE,26 DEC 1989,JAM,3,,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1238
18,9.92,-0.3,Tyson GAY,09 AUG 1982,USA,1f1,,"Sports Park Mladost, Zagreb (CRO)",01 SEP 2010,1235
19,9.94,-1.7,Tyson GAY,09 AUG 1982,USA,1,,"International Stadium, Gateshead (GBR)",10 JUL 2010,1237
20,9.95,+0.8,Ivory WILLIAMS,02 MAY 1985,USA,1,,"Lawrence, KS (USA)",17 APR 2010,1224
20,9.95,-0.3,Yohan BLAKE,26 DEC 1989,JAM,3,,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1225
20,9.95,-0.8,Trell KIMMONS,13 JUL 1985,USA,1f2,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1228
20,9.95,+0.9,Mario FORSYTHE,30 OCT 1985,JAM,3,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1224
20,9.95,+1.1,Ryan BAILEY,13 APR 1989,USA,1h2,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1224
25,9.96,+0.5,Yohan BLAKE,26 DEC 1989,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1220
25,9.96,-1.7,Asafa POWELL,23 NOV 1982,JAM,2,,"International Stadium, Gateshead (GBR)",10 JUL 2010,1230
25,9.96,-1.6,Tyson GAY,09 AUG 1982,USA,1h1,,"International Stadium, Gateshead (GBR)",10 JUL 2010,1229
25,9.96,+0.1,Nesta CARTER,11 OCT 1985,JAM,1,,"Olympiastadion, Berlin (GER)",22 AUG 2010,1220
29,9.97,0.0,Usain BOLT,21 AUG 1986,JAM,2,,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1217
