Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.82,+1.3,Christian COLEMAN,06 MAR 1996,USA,1sf1,,"Eugene, OR (USA)",07 JUN 2017,1269
2,9.90,+0.9,Yohan BLAKE,26 DEC 1989,JAM,1,,Kingston (JAM),23 JUN 2017,1241
3,9.91,+1.0,Julian FORTE,07 JAN 1993,JAM,1,,"Olympiastadion, Berlin (GER)",27 AUG 2017,1238
4,9.92,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,Pretoria (RSA),18 MAR 2017,1234
4,9.92,-0.8,Justin GATLIN,10 FEB 1982,USA,1,,"Olympic Stadium, London (GBR)",05 AUG 2017,1238
6,9.93,+2.0,Akani SIMBINE,21 SEP 1993,RSA,1f5,,Pretoria (RSA),04 MAR 2017,1231
6,9.93,+0.4,Yohan BLAKE,26 DEC 1989,JAM,1,,"National Stadium, Kingston (JAM)",20 MAY 2017,1231
6,9.93,+0.8,Cameron BURRELL,11 SEP 1994,USA,1sf2,,"Eugene, OR (USA)",07 JUN 2017,1231
6,9.93,+1.6,Christopher BELCHER,29 JAN 1994,USA,1sf3,,"Eugene, OR (USA)",07 JUN 2017,1231
6,9.93,+0.2,Christian COLEMAN,06 MAR 1996,USA,1h2,,"Sacramento, CA (USA)",22 JUN 2017,1231
11,9.94,+0.2,Akani SIMBINE,21 SEP 1993,RSA,1sf1,,Potchefstroom (RSA),21 APR 2017,1227
11,9.94,+0.9,Wayde VAN NIEKERK,15 JUL 1992,RSA,1f3,,Velenje (SLO),20 JUN 2017,1227
11,9.94,-0.8,Christian COLEMAN,06 MAR 1996,USA,2,,"Olympic Stadium, London (GBR)",05 AUG 2017,1231
14,9.95,+1.2,Thando ROTO,26 SEP 1995,RSA,2,,Pretoria (RSA),18 MAR 2017,1224
14,9.95,-0.7,Akani SIMBINE,21 SEP 1993,RSA,1,,Potchefstroom (RSA),21 APR 2017,1228
14,9.95,-0.7,Justin GATLIN,10 FEB 1982,USA,1,,"Sacramento, CA (USA)",23 JUN 2017,1228
14,9.95,+0.7,Usain BOLT,21 AUG 1986,JAM,1,,"Stade Louis II, Monaco (MON)",21 JUL 2017,1224
14,9.95,-0.8,Usain BOLT,21 AUG 1986,JAM,3,,"Olympic Stadium, London (GBR)",05 AUG 2017,1228
19,9.96,+1.7,Christian COLEMAN,06 MAR 1996,USA,1h6,,"Lexington, KY (USA)",25 MAY 2017,1220
19,9.96,+0.2,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1220
21,9.97,+0.6,Christian COLEMAN,06 MAR 1996,USA,1,,"Columbia, SC (USA)",13 MAY 2017,1217
21,9.97,+0.5,Jimmy VICAUT,27 FEB 1992,FRA,1f1,,Dijon (FRA),21 MAY 2017,1217
21,9.97,+0.6,Yohan BLAKE,26 DEC 1989,JAM,1f1,,Kingston (JAM),10 JUN 2017,1217
