Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.74,+0.9,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
2,9.75,+0.9,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1294
2,9.75,+1.4,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1294
4,9.77,+0.9,Justin GATLIN,10 FEB 1982,USA,1sf2,,"National Stadium, Beijing (CHN)",23 AUG 2015,1287
5,9.78,-0.3,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Louis II, Monaco (MON)",17 JUL 2015,1284
6,9.79,-0.5,Usain BOLT,21 AUG 1986,JAM,1,,"National Stadium, Beijing (CHN)",23 AUG 2015,1283
7,9.80,-0.5,Justin GATLIN,10 FEB 1982,USA,2,,"National Stadium, Beijing (CHN)",23 AUG 2015,1279
8,9.81,+1.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1273
9,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1f1,,"National Stadium, Kingston (JAM)",09 MAY 2015,1262
9,9.84,+1.3,Trayvon BROMELL,10 JUL 1995,USA,1h4,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1262
9,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),26 JUN 2015,1262
12,9.86,+1.1,Keston BLEDMAN,08 MAR 1988,TTO,1f2,,Port-of-Spain (TTO),27 JUN 2015,1255
12,9.86,+1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1255
12,9.86,+0.9,Michael RODGERS,24 APR 1985,USA,2sf2,,"National Stadium, Beijing (CHN)",23 AUG 2015,1255
15,9.87,0.0,Tyson GAY,09 AUG 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1252
15,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,Luzern (SUI),14 JUL 2015,1252
15,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,Bellinzona (SUI),21 JUL 2015,1252
15,9.87,-0.8,Usain BOLT,21 AUG 1986,JAM,1,,"Olympic Stadium, London (GBR)",24 JUL 2015,1256
15,9.87,-1.2,Usain BOLT,21 AUG 1986,JAM,1h2,,"Olympic Stadium, London (GBR)",24 JUL 2015,1259
20,9.88,+1.5,Tyson GAY,09 AUG 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1248
20,9.88,+1.4,Michael RODGERS,24 APR 1985,USA,1,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1248
22,9.90,+1.5,Michael RODGERS,24 APR 1985,USA,2,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1241
22,9.90,+1.7,Trayvon BROMELL,10 JUL 1995,USA,1sf1,,"Eugene, OR (USA)",10 JUN 2015,1241
22,9.90,-0.8,Michael RODGERS,24 APR 1985,USA,2,,"Olympic Stadium, London (GBR)",24 JUL 2015,1245
25,9.91,+1.8,Femi OGUNODE,15 MAY 1991,QAT,1,,Wuhan (CHN),04 JUN 2015,1238
25,9.91,+0.9,Nickel ASHMEADE,07 APR 1990,JAM,2,,Kingston (JAM),26 JUN 2015,1238
25,9.91,+0.5,Trayvon BROMELL,10 JUL 1995,USA,1h4,,"National Stadium, Beijing (CHN)",22 AUG 2015,1238
28,9.92,+1.7,Michael RODGERS,24 APR 1985,USA,1h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1234
28,9.92,+1.4,Asafa POWELL,23 NOV 1982,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1234
28,9.92,+1.4,Tyson GAY,09 AUG 1982,USA,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1234
28,9.92,+0.7,Jimmy VICAUT,27 FEB 1992,FRA,1,,Villeneuve d'Ascq (FRA),11 JUL 2015,1234
28,9.92,-0.8,Kemar BAILEY-COLE,10 JAN 1992,JAM,3,,"Olympic Stadium, London (GBR)",24 JUL 2015,1238
28,9.92,-1.2,Michael RODGERS,24 APR 1985,USA,2h2,,"Olympic Stadium, London (GBR)",24 JUL 2015,1241
28,9.92,+0.3,Jimmy VICAUT,27 FEB 1992,FRA,1h5,,"National Stadium, Beijing (CHN)",22 AUG 2015,1234
28,9.92,-0.5,Trayvon BROMELL,10 JUL 1995,USA,3,,"National Stadium, Beijing (CHN)",23 AUG 2015,1237
28,9.92,-0.5,Andre DE GRASSE,10 NOV 1994,CAN,3,,"National Stadium, Beijing (CHN)",23 AUG 2015,1237
37,9.93,+1.7,Clayton VAUGHN,15 MAY 1992,USA,1,,"Mobile, AL (USA)",08 MAY 2015,1231
37,9.93,+1.8,Ryan BAILEY,13 APR 1989,USA,2f1,,"National Stadium, Kingston (JAM)",09 MAY 2015,1231
37,9.93,+2.0,Marvin BRACY,15 DEC 1993,USA,1,,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1231
37,9.93,+1.4,Femi OGUNODE,15 MAY 1991,QAT,1,,"Stadio Guidobaldi, Rieti (ITA)",13 SEP 2015,1231
41,9.94,+1.7,Diondre BATSON,13 JUL 1992,USA,2h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1227
41,9.94,+1.4,Andrew FISHER,15 DEC 1991,JAM,2,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1227
41,9.94,-0.5,Michael RODGERS,24 APR 1985,USA,5,,"National Stadium, Beijing (CHN)",23 AUG 2015,1230
44,9.95,+0.2,Marvin BRACY,15 DEC 1993,USA,1,,"National Stadium, Beijing (CHN)",20 MAY 2015,1224
44,9.95,+1.5,Andre DE GRASSE,10 NOV 1994,CAN,1,,Edmonton (CAN),03 JUL 2015,1224
44,9.95,-0.1,Asafa POWELL,23 NOV 1982,JAM,1h1,,"National Stadium, Beijing (CHN)",22 AUG 2015,1224
47,9.96,+0.9,Michael RODGERS,24 APR 1985,USA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1220
47,9.96,+1.3,Quentin BUTLER,18 SEP 1992,USA,2h4,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1220
