Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.86,+1.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Walnut, CA (USA)",19 APR 1998,1255
1,9.86,-0.4,Ato BOLDON,30 DEC 1973,TTO,1,,Athina (GRE),17 JUN 1998,1257
3,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
4,9.88,-0.1,Ato BOLDON,30 DEC 1973,TTO,1,,Kuala Lumpur (MAS),17 SEP 1998,1248
5,9.89,+1.5,Bruny SURIN,12 JUL 1967,CAN,1,,Montréal (CAN),01 AUG 1998,1245
6,9.90,+0.3,Maurice GREENE,23 JUL 1974,USA,1,,Stockholm (SWE),05 AUG 1998,1241
7,9.92,+0.7,Ato BOLDON,30 DEC 1973,TTO,1,,"Stade Louis II, Monaco (MON)",08 AUG 1998,1234
7,9.92,-0.3,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 1998,1235
7,9.92,-0.2,Seun OGUNKOYA,28 DEC 1977,NGR,2,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1235
10,9.93,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,2,,Athina (GRE),17 JUN 1998,1233
10,9.93,+1.5,Donovan BAILEY,16 DEC 1967,CAN,2,,Montréal (CAN),01 AUG 1998,1231
12,9.94,+1.9,Jon DRUMMOND,09 SEP 1968,USA,h,,"New Orleans, LA (USA)",19 JUN 1998,1227
12,9.94,+0.1,Seun OGUNKOYA,28 DEC 1977,NGR,1,,Dakar (SEN),19 AUG 1998,1227
12,9.94,-0.3,Maurice GREENE,23 JUL 1974,USA,1,,Bruxelles (BEL),28 AUG 1998,1228
12,9.94,+0.1,Maurice GREENE,23 JUL 1974,USA,1,,"Olympiastadion, Berlin (GER)",01 SEP 1998,1227
16,9.95,+0.2,Frank FREDERICKS,02 OCT 1967,NAM,1,,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1224
16,9.95,+0.8,Vincent HENDERSON,20 OCT 1972,USA,1,,Leverkusen (GER),09 AUG 1998,1224
18,9.96,+0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,,Johannesburg (RSA),27 MAR 1998,1220
18,9.96,+0.6,Maurice GREENE,23 JUL 1974,USA,sf,,"New Orleans, LA (USA)",19 JUN 1998,1220
18,9.96,+0.2,Maurice GREENE,23 JUL 1974,USA,2,,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1220
18,9.96,-1.0,Maurice GREENE,23 JUL 1974,USA,1,,"New York, NY (USA)",22 JUL 1998,1226
18,9.96,+0.3,Ato BOLDON,30 DEC 1973,TTO,2,,Stockholm (SWE),05 AUG 1998,1220
18,9.96,+0.7,Donovan BAILEY,16 DEC 1967,CAN,2,,"Stade Louis II, Monaco (MON)",08 AUG 1998,1220
18,9.96,-0.6,Seun OGUNKOYA,28 DEC 1977,NGR,1,,Zürich (SUI),12 AUG 1998,1223
18,9.96,-0.1,Frank FREDERICKS,02 OCT 1967,NAM,2,,Kuala Lumpur (MAS),17 SEP 1998,1220
18,9.96,0.0,Ato BOLDON,30 DEC 1973,TTO,1sf1,,Kuala Lumpur (MAS),17 SEP 1998,1220
27,9.97,+2.0,Frank FREDERICKS,02 OCT 1967,NAM,1,,Athina (GRE),17 JUN 1998,1217
27,9.97,0.0,Frank FREDERICKS,02 OCT 1967,NAM,1,,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1217
27,9.97,+0.1,Frank FREDERICKS,02 OCT 1967,NAM,2,,Dakar (SEN),19 AUG 1998,1217
30,9.98,+0.1,Jon DRUMMOND,09 SEP 1968,USA,2,,"Olympiastadion, Berlin (GER)",01 SEP 1998,1213
30,9.98,0.0,Frank FREDERICKS,02 OCT 1967,NAM,sf,,Kuala Lumpur (MAS),17 SEP 1998,1213
32,9.99,-0.5,Maurice GREENE,23 JUL 1974,USA,1,,Sydney (AUS),28 FEB 1998,1213
32,9.99,0.0,Ato BOLDON,30 DEC 1973,TTO,2,,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1210
32,9.99,+0.1,Ato BOLDON,30 DEC 1973,TTO,3,,"Olympiastadion, Berlin (GER)",01 SEP 1998,1210
35,10.00,-0.3,Ato BOLDON,30 DEC 1973,TTO,1,,Port-of-Spain (TTO),08 MAY 1998,1207
35,10.00,+1.6,Tim MONTGOMERY,28 JAN 1975,USA,h,,"New Orleans, LA (USA)",19 JUN 1998,1206
