Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.79,-0.3,Christian COLEMAN,06 MAR 1996,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1281
2,9.87,-0.1,Ronnie BAKER,15 OCT 1993,USA,1,,"Stadion Śląski, Chorzów (POL)",22 AUG 2018,1252
3,9.88,+1.1,Noah LYLES,18 JUL 1997,USA,1,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1248
3,9.88,+0.8,Ronnie BAKER,15 OCT 1993,USA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1248
5,9.89,+1.4,Michael RODGERS,24 APR 1985,USA,1h3,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1245
5,9.89,+0.7,Noah LYLES,18 JUL 1997,USA,1sf2,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1245
7,9.90,+1.1,Ronnie BAKER,15 OCT 1993,USA,2,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1241
7,9.90,+0.1,Ronnie BAKER,15 OCT 1993,USA,1,,"Olympic Stadium, London (GBR)",21 JUL 2018,1241
7,9.90,+0.2,Ronnie BAKER,15 OCT 1993,USA,1h2,,"Olympic Stadium, London (GBR)",21 JUL 2018,1241
10,9.91,+0.4,Zharnel HUGHES,13 JUL 1995,GBR,1f1,,Kingston (JAM),09 JUN 2018,1238
10,9.91,+0.2,Bingtian SU,29 AUG 1989,CHN,1,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1238
10,9.91,+0.8,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1238
10,9.91,+0.8,Bingtian SU,29 AUG 1989,CHN,3,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1238
14,9.92,+1.7,Michael RODGERS,24 APR 1985,USA,1,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1234
14,9.92,+0.7,Isiah YOUNG,05 JAN 1990,USA,1f1,,"Montverde, FL (USA)",09 JUN 2018,1234
14,9.92,+0.3,Jimmy VICAUT,27 FEB 1992,FRA,1,,Marseille (FRA),16 JUN 2018,1234
