Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.86,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1255
2,9.88,+1.2,Leroy BURRELL,21 FEB 1967,USA,2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1248
3,9.90,+1.9,Leroy BURRELL,21 FEB 1967,USA,1,,"New York, NY (USA)",14 JUN 1991,1241
4,9.91,+1.2,Dennis MITCHELL,20 FEB 1966,USA,3,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1238
5,9.92,+1.2,Linford CHRISTIE,02 APR 1960,GBR,4,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1234
6,9.93,+1.9,Carl LEWIS,01 JUL 1961,USA,2,,"New York, NY (USA)",14 JUN 1991,1231
6,9.93,+1.3,Carl LEWIS,01 JUL 1961,USA,1sf1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1231
8,9.94,+1.1,Leroy BURRELL,21 FEB 1967,USA,1sf2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1227
9,9.95,+1.2,Frank FREDERICKS,02 OCT 1967,NAM,5,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1224
10,9.96,0.0,Leroy BURRELL,21 FEB 1967,USA,1f1,,Lausanne (SUI),10 JUL 1991,1220
10,9.96,+1.2,Raymond STEWART,18 MAR 1965,JAM,6,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1220
12,9.99,+1.1,Dennis MITCHELL,20 FEB 1966,USA,2sf2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1210
12,9.99,+1.1,Linford CHRISTIE,02 APR 1960,GBR,3sf2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1210
12,9.99,+1.5,Andre CASON,20 JAN 1969,USA,1,,Koblenz (GER),11 SEP 1991,1210
15,10.00,+1.9,Dennis MITCHELL,20 FEB 1966,USA,3,,"New York, NY (USA)",14 JUN 1991,1206
16,10.02,+0.4,Carl LEWIS,01 JUL 1961,USA,1,,"New York, NY (USA)",20 JUL 1991,1199
16,10.02,+1.3,Frank FREDERICKS,02 OCT 1967,NAM,2sf1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1199
18,10.03,+0.8,Dennis MITCHELL,20 FEB 1966,USA,1,,Linz (AUT),05 JUL 1991,1196
18,10.03,+0.2,Chidi IMOH,27 AUG 1963,NGR,1sf2,,Lagos (NGR),02 AUG 1991,1196
18,10.03,+1.1,Raymond STEWART,18 MAR 1965,JAM,4sf2,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1196
21,10.04,0.0,Dennis MITCHELL,20 FEB 1966,USA,2f1,,Lausanne (SUI),10 JUL 1991,1193
21,10.04,-0.1,Chidi IMOH,27 AUG 1963,NGR,1,,Lagos (NGR),02 AUG 1991,1193
21,10.04,+0.2,Davidson EZINWA,22 NOV 1971,NGR,2sf2,,Lagos (NGR),02 AUG 1991,1193
21,10.04,-1.0,Leroy BURRELL,21 FEB 1967,USA,1f1,,"Letzigrund, Zürich (SUI)",07 AUG 1991,1199
21,10.04,0.0,Leroy BURRELL,21 FEB 1967,USA,1,,Berlin (GER),10 SEP 1991,1193
