Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.69,0.0,Usain BOLT,21 AUG 1986,JAM,1,,"National Stadium, Beijing (CHN)",16 AUG 2008,1316
2,9.72,+1.7,Usain BOLT,21 AUG 1986,JAM,1f1,,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1305
2,9.72,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
4,9.76,+1.8,Usain BOLT,21 AUG 1986,JAM,1,,"National Stadium, Kingston (JAM)",03 MAY 2008,1291
5,9.77,+1.6,Tyson GAY,09 AUG 1982,USA,1qf1,,"Eugene, OR (USA)",28 JUN 2008,1287
5,9.77,-1.3,Usain BOLT,21 AUG 1986,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1294
5,9.77,+0.9,Asafa POWELL,23 NOV 1982,JAM,1h1,,Rieti (ITA),07 SEP 2008,1287
8,9.82,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Louis II, Monaco (MON)",29 JUL 2008,1269
8,9.82,+1.4,Asafa POWELL,23 NOV 1982,JAM,1,,Rieti (ITA),07 SEP 2008,1269
10,9.83,-0.5,Usain BOLT,21 AUG 1986,JAM,1f1,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1269
10,9.83,-1.3,Asafa POWELL,23 NOV 1982,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1273
12,9.85,+1.7,Tyson GAY,09 AUG 1982,USA,2f1,,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1259
12,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),28 JUN 2008,1259
12,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1sf1,,"National Stadium, Beijing (CHN)",16 AUG 2008,1259
15,9.87,+0.7,Asafa POWELL,23 NOV 1982,JAM,1,,"International Stadium, Gateshead (GBR)",31 AUG 2008,1252
15,9.87,+0.4,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1252
17,9.88,+0.4,Asafa POWELL,23 NOV 1982,JAM,1f1,,Stockholm (SWE),22 JUL 2008,1248
18,9.89,+1.6,Travis PADGETT,13 DEC 1986,USA,1qf2,,"Eugene, OR (USA)",28 JUN 2008,1245
18,9.89,+1.6,Darvis PATTON,04 DEC 1977,USA,1qf3,,"Eugene, OR (USA)",28 JUN 2008,1245
18,9.89,+0.4,Usain BOLT,21 AUG 1986,JAM,2f1,,Stockholm (SWE),22 JUL 2008,1245
18,9.89,0.0,Richard THOMPSON,07 JUN 1985,TTO,2,,"National Stadium, Beijing (CHN)",16 AUG 2008,1245
18,9.89,+1.1,Asafa POWELL,23 NOV 1982,JAM,1f1,,Szczecin (POL),17 SEP 2008,1245
23,9.90,+1.0,Asafa POWELL,23 NOV 1982,JAM,1h2,,Kingston (JAM),28 JUN 2008,1241
24,9.91,0.0,Walter DIX,31 JAN 1986,USA,3,,"National Stadium, Beijing (CHN)",16 AUG 2008,1238
24,9.91,+0.3,Asafa POWELL,23 NOV 1982,JAM,1sf2,,"National Stadium, Beijing (CHN)",16 AUG 2008,1238
26,9.92,+0.6,Usain BOLT,21 AUG 1986,JAM,1f2,,Port-of-Spain (TTO),17 MAY 2008,1234
26,9.92,+0.1,Usain BOLT,21 AUG 1986,JAM,1qf4,,"National Stadium, Beijing (CHN)",15 AUG 2008,1234
26,9.92,+0.2,Walter DIX,31 JAN 1986,USA,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1234
29,9.93,-0.1,Richard THOMPSON,07 JUN 1985,TTO,1,,"Auburn, AL (USA)",18 MAY 2008,1231
29,9.93,0.0,Churandy MARTINA,03 JUL 1984,AHO,4,,"National Stadium, Beijing (CHN)",16 AUG 2008,1231
29,9.93,+0.3,Richard THOMPSON,07 JUN 1985,TTO,2sf2,,"National Stadium, Beijing (CHN)",16 AUG 2008,1231
32,9.94,+1.6,Ivory WILLIAMS,02 MAY 1985,USA,2qf3,,"Eugene, OR (USA)",28 JUN 2008,1227
32,9.94,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Crystal Palace, London (GBR)",25 JUL 2008,1230
32,9.94,+0.3,Churandy MARTINA,03 JUL 1984,AHO,3sf2,,"National Stadium, Beijing (CHN)",16 AUG 2008,1227
35,9.95,+1.6,Rodney MARTIN,22 DEC 1982,USA,2qf2,,"Eugene, OR (USA)",28 JUN 2008,1224
35,9.95,0.0,Asafa POWELL,23 NOV 1982,JAM,5,,"National Stadium, Beijing (CHN)",16 AUG 2008,1224
35,9.95,-0.1,Walter DIX,31 JAN 1986,USA,2sf1,,"National Stadium, Beijing (CHN)",16 AUG 2008,1224
38,9.96,+1.2,Travis PADGETT,13 DEC 1986,USA,1f1,,"Clemson, SC (USA)",10 MAY 2008,1220
38,9.96,+0.4,Asafa POWELL,23 NOV 1982,JAM,1sf1,,Port-of-Spain (TTO),21 JUN 2008,1220
38,9.96,+1.7,Walter DIX,31 JAN 1986,USA,1h1,,"Eugene, OR (USA)",28 JUN 2008,1220
