Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.82,-0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1270
2,9.88,+2.0,Ato BOLDON,30 DEC 1973,TTO,1,,Oslo (NOR),13 JUL 2001,1248
3,9.90,+0.3,Maurice GREENE,23 JUL 1974,USA,1h,,"Eugene, OR (USA)",21 JUN 2001,1241
3,9.90,+1.1,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1241
5,9.91,-0.3,Maurice GREENE,23 JUL 1974,USA,1,,Athina (GRE),11 JUN 2001,1239
6,9.94,-0.2,Bernard WILLIAMS,19 JAN 1978,USA,2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1228
7,9.96,-0.1,Maurice GREENE,23 JUL 1974,USA,1,,Osaka (JPN),12 MAY 2001,1220
7,9.96,+0.3,Bernard WILLIAMS,19 JAN 1978,USA,h,,"Eugene, OR (USA)",21 JUN 2001,1220
7,9.96,-0.4,Maurice GREENE,23 JUL 1974,USA,1,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2001,1222
10,9.97,-0.3,Ato BOLDON,30 DEC 1973,TTO,2,,Athina (GRE),11 JUN 2001,1218
11,9.98,-0.8,Maurice GREENE,23 JUL 1974,USA,1f1,,"Crystal Palace, London (GBR)",22 JUL 2001,1217
11,9.98,-0.2,Ato BOLDON,30 DEC 1973,TTO,3,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1214
11,9.98,+0.6,Francis OBIKWELU,22 NOV 1978,NGR,1,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1213
14,9.99,+1.1,Ato BOLDON,30 DEC 1973,TTO,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1210
14,9.99,+2.0,Bernard WILLIAMS,19 JAN 1978,USA,2,,Oslo (NOR),13 JUL 2001,1210
14,9.99,-0.2,Dwain CHAMBERS,05 APR 1978,GBR,4,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1211
17,10.00,+1.1,Dwain CHAMBERS,05 APR 1978,GBR,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1206
18,10.01,+0.6,Dwain CHAMBERS,05 APR 1978,GBR,1,,Sevilla (ESP),08 JUN 2001,1203
18,10.01,+0.5,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1203
18,10.01,+1.7,Dwain CHAMBERS,05 APR 1978,GBR,1,,Birmingham (GBR),14 JUL 2001,1203
