Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.96,+0.7,Leroy BURRELL,21 FEB 1967,USA,1,,Villeneuve d'Ascq (FRA),29 JUN 1990,1220
1,9.96,+1.2,Leroy BURRELL,21 FEB 1967,USA,1f1,,Sestriere (ITA),08 AUG 1990,1220
3,10.00,+0.5,Leroy BURRELL,21 FEB 1967,USA,1,,Bruxelles (BEL),10 AUG 1990,1206
4,10.01,+1.8,Leroy BURRELL,21 FEB 1967,USA,1sf2,,"Durham, NC (USA)",01 JUN 1990,1203
5,10.02,+1.3,Linford CHRISTIE,02 APR 1960,GBR,1sf2,,Auckland (NZL),28 JAN 1990,1199
5,10.02,+0.7,Daniel SANGOUMA,07 FEB 1965,FRA,2,,Villeneuve d'Ascq (FRA),29 JUN 1990,1199
7,10.04,+1.2,Calvin SMITH,08 JAN 1961,USA,2f1,,Sestriere (ITA),08 AUG 1990,1193
7,10.04,+0.4,Leroy BURRELL,21 FEB 1967,USA,1,,Athina (GRE),07 SEP 1990,1193
9,10.05,,Davidson EZINWA,22 NOV 1971,NGR,1,,Bauchi (NGR),03 JAN 1990,1189
9,10.05,+1.3,Mark WITHERSPOON,03 SEP 1963,USA,1,,Sevilla (ESP),30 MAY 1990,1189
9,10.05,+0.6,Carl LEWIS,01 JUL 1961,USA,1,,"Norwalk, CA (USA)",15 JUN 1990,1189
9,10.05,+0.3,Leroy BURRELL,21 FEB 1967,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1189
9,10.05,+1.1,Leroy BURRELL,21 FEB 1967,USA,1,,"Seattle, WA (USA)",23 JUL 1990,1189
14,10.06,+1.3,Patrick WILLIAMS,11 NOV 1965,JAM,1,,"Modesto, CA (USA)",05 MAY 1990,1186
15,10.08,+1.3,Mark WITHERSPOON,03 SEP 1963,USA,2,,"Modesto, CA (USA)",05 MAY 1990,1179
15,10.08,+1.1,Carl LEWIS,01 JUL 1961,USA,2,,"Seattle, WA (USA)",23 JUL 1990,1179
15,10.08,+1.2,Michael MARSH,04 AUG 1967,USA,3f1,,Sestriere (ITA),08 AUG 1990,1179
18,10.09,,Davidson EZINWA,22 NOV 1971,NGR,1sf1,,Bauchi (NGR),03 JAN 1990,1176
18,10.09,-0.2,Carl LEWIS,01 JUL 1961,USA,1f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1177
18,10.09,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1sf1,,"Poljud Stadion, Split (CRO)",28 AUG 1990,1176
21,10.10,+0.1,Jon DRUMMOND,09 SEP 1968,USA,1,,"Arlington, TX (USA)",14 APR 1990,1172
21,10.10,+1.0,Leroy BURRELL,21 FEB 1967,USA,1,,"Philadelphia, PA (USA)",28 APR 1990,1172
21,10.10,+1.7,Olapade ADENIKEN,19 AUG 1969,NGR,1,,Malmö (SWE),07 AUG 1990,1172
24,10.11,-1.9,Leroy BURRELL,21 FEB 1967,USA,1,,Hengelo (NED),12 AUG 1990,1180
24,10.11,+0.4,Mark WITHERSPOON,03 SEP 1963,USA,2,,Athina (GRE),07 SEP 1990,1169
26,10.12,,Abdullah TETENGI,15 JUL 1969,NGR,2,,Bauchi (NGR),03 JAN 1990,1165
26,10.12,-1.9,Andre CASON,20 JAN 1969,USA,1,,Kingston (JAM),05 MAY 1990,1176
26,10.12,-0.2,Olapade ADENIKEN,19 AUG 1969,NGR,2f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1166
26,10.12,+1.7,Leroy BURRELL,21 FEB 1967,USA,2,,Malmö (SWE),07 AUG 1990,1165
26,10.12,+1.2,Andre CASON,20 JAN 1969,USA,4f1,,Sestriere (ITA),08 AUG 1990,1165
26,10.12,+1.2,Linford CHRISTIE,02 APR 1960,GBR,5f1,,Sestriere (ITA),08 AUG 1990,1165
26,10.12,+0.4,Carl LEWIS,01 JUL 1961,USA,3,,Athina (GRE),07 SEP 1990,1165
26,10.12,+1.2,Robson DA SILVA,04 SEP 1964,BRA,1,,Manaus (BRA),15 SEP 1990,1165
34,10.13,+1.8,Olapade ADENIKEN,19 AUG 1969,NGR,2sf2,,"Durham, NC (USA)",01 JUN 1990,1162
34,10.13,-1.9,Calvin SMITH,08 JAN 1961,USA,2,,Hengelo (NED),12 AUG 1990,1173
34,10.13,-0.7,Leroy BURRELL,21 FEB 1967,USA,1f1,,Zürich (SUI),15 AUG 1990,1166
34,10.13,+0.9,Mark WITHERSPOON,03 SEP 1963,USA,1,,Rieti (ITA),09 SEP 1990,1162
38,10.14,+0.9,Carl LEWIS,01 JUL 1961,USA,2,,Rieti (ITA),09 SEP 1990,1159
39,10.15,+1.4,Henry NEAL,28 OCT 1970,USA,1,,"Austin, TX (USA)",12 MAY 1990,1155
39,10.15,+0.3,Mark WITHERSPOON,03 SEP 1963,USA,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1155
39,10.15,-0.3,Leroy BURRELL,21 FEB 1967,USA,1,,Köln (GER),19 AUG 1990,1156
42,10.16,+1.9,Frank FREDERICKS,02 OCT 1967,NAM,1,,"Fort Collins, CO (USA)",19 MAY 1990,1152
42,10.16,+1.9,Olapade ADENIKEN,19 AUG 1969,NGR,2,,"Fort Collins, CO (USA)",19 MAY 1990,1152
42,10.16,+1.3,Dennis MITCHELL,20 FEB 1966,USA,2,,Sevilla (ESP),30 MAY 1990,1152
42,10.16,+0.6,Mark WITHERSPOON,03 SEP 1963,USA,1sf2,,"Norwalk, CA (USA)",14 JUN 1990,1152
42,10.16,+0.7,Andre CASON,20 JAN 1969,USA,3,,Villeneuve d'Ascq (FRA),28 JUN 1990,1152
47,10.17,-0.5,Olapade ADENIKEN,19 AUG 1969,NGR,1,,"El Paso, TX (USA)",14 APR 1990,1151
