Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.85,+1.2,Leroy BURRELL,21 FEB 1967,USA,1f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1259
2,9.91,+1.9,Linford CHRISTIE,02 APR 1960,GBR,1,,Victoria (CAN),23 AUG 1994,1238
3,9.94,+0.2,Davidson EZINWA,22 NOV 1971,NGR,1,,Linz (AUT),04 JUL 1994,1227
3,9.94,+1.9,Dennis MITCHELL,20 FEB 1966,USA,1,,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1227
3,9.94,+0.5,Dennis MITCHELL,20 FEB 1966,USA,1,,"Durham, NC (USA)",13 AUG 1994,1227
6,9.95,+1.9,Olapade ADENIKEN,19 AUG 1969,NGR,1f1,,"El Paso, TX (USA)",16 APR 1994,1224
7,9.97,+0.2,Dennis MITCHELL,20 FEB 1966,USA,2,,Linz (AUT),04 JUL 1994,1217
7,9.97,+0.9,Dennis MITCHELL,20 FEB 1966,USA,1,,Stockholm (SWE),12 JUL 1994,1217
9,9.98,+1.6,Andre CASON,20 JAN 1969,USA,1h4,,"Knoxville, TN (USA)",15 JUN 1994,1213
9,9.98,+0.2,Davidson EZINWA,22 NOV 1971,NGR,1sf1,,Linz (AUT),04 JUL 1994,1213
9,9.98,+1.8,Linford CHRISTIE,02 APR 1960,GBR,1sf1,,Victoria (CAN),23 AUG 1994,1213
12,9.99,+1.2,Davidson EZINWA,22 NOV 1971,NGR,2f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1210
12,9.99,+1.2,Dennis MITCHELL,20 FEB 1966,USA,3f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1210
12,9.99,+1.9,Jon DRUMMOND,09 SEP 1968,USA,2,,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1210
12,9.99,+0.5,Jon DRUMMOND,09 SEP 1968,USA,2,,"Durham, NC (USA)",13 AUG 1994,1210
12,9.99,+1.5,Jon DRUMMOND,09 SEP 1968,USA,1,,Rieti (ITA),28 AUG 1994,1210
17,10.00,+1.0,Michael MARSH,04 AUG 1967,USA,1,,"Walnut, CA (USA)",17 APR 1994,1206
17,10.00,+1.0,Dennis MITCHELL,20 FEB 1966,USA,1f1,,"Olympiastadion, Berlin (GER)",30 AUG 1994,1206
19,10.01,+1.9,Bode OSAGIOBARE,01 DEC 1970,NGR,2f1,,"El Paso, TX (USA)",16 APR 1994,1203
19,10.01,+2.0,Andre CASON,20 JAN 1969,USA,1,,San José (USA),28 MAY 1994,1203
19,10.01,+0.2,Linford CHRISTIE,02 APR 1960,GBR,1sf2,,Linz (AUT),04 JUL 1994,1203
19,10.01,+1.0,Jon DRUMMOND,09 SEP 1968,USA,2f1,,"Olympiastadion, Berlin (GER)",30 AUG 1994,1203
23,10.02,+0.2,Linford CHRISTIE,02 APR 1960,GBR,1qf1,,Victoria (CAN),22 AUG 1994,1199
23,10.02,+1.0,Linford CHRISTIE,02 APR 1960,GBR,3f1,,"Olympiastadion, Berlin (GER)",30 AUG 1994,1199
23,10.02,+0.8,Linford CHRISTIE,02 APR 1960,GBR,1,,Tokyo (JPN),15 SEP 1994,1199
26,10.03,+1.8,Donovan BAILEY,16 DEC 1967,CAN,1,,Duisburg (GER),12 JUN 1994,1196
26,10.03,+0.2,Linford CHRISTIE,02 APR 1960,GBR,3,,Linz (AUT),04 JUL 1994,1196
26,10.03,+1.2,Jon DRUMMOND,09 SEP 1968,USA,4f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1196
26,10.03,+1.2,Jon DRUMMOND,09 SEP 1968,USA,1,,"Crystal Palace, London (GBR)",15 JUL 1994,1196
26,10.03,+0.5,Olapade ADENIKEN,19 AUG 1969,NGR,3,,"Durham, NC (USA)",13 AUG 1994,1196
