Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.89,+0.9,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1245
2,9.94,-0.2,Frank FREDERICKS,02 OCT 1967,NAM,1,,Windhoek (NAM),13 APR 2002,1228
2,9.94,+1.8,Shawn CRAWFORD,14 JAN 1978,USA,1,,Osaka (JPN),11 MAY 2002,1227
4,9.95,+1.8,Joshua J. JOHNSON,10 MAY 1976,USA,1,,"Walnut, CA (USA)",21 APR 2002,1224
5,9.97,-0.2,Maurice GREENE,23 JUL 1974,USA,1,,Athina (GRE),10 JUN 2002,1218
5,9.97,+0.1,Maurice GREENE,23 JUL 1974,USA,1,,"Stade Louis II, Monaco (MON)",19 JUL 2002,1217
5,9.97,+2.0,Jon DRUMMOND,09 SEP 1968,USA,1,,"Stade Charléty, Paris (FRA)",14 SEP 2002,1217
8,9.98,+1.4,Coby MILLER,19 OCT 1976,USA,1,,"Portland, OR (USA)",18 MAY 2002,1213
8,9.98,+0.2,Kim COLLINS,05 APR 1976,SKN,1,,Manchester (GBR),27 JUL 2002,1213
8,9.98,+1.6,Kim COLLINS,05 APR 1976,SKN,1h2,,Zürich (SUI),16 AUG 2002,1213
8,9.98,+2.0,Kim COLLINS,05 APR 1976,SKN,2,,"Stade Charléty, Paris (FRA)",14 SEP 2002,1213
12,9.99,+0.6,Shawn CRAWFORD,14 JAN 1978,USA,1,,Pretoria (RSA),12 APR 2002,1210
12,9.99,+0.5,Brian LEWIS,05 DEC 1974,USA,1,,Cayenne (GUY),04 MAY 2002,1210
12,9.99,+0.7,Maurice GREENE,23 JUL 1974,USA,1sf2,,"Palo Alto, CA (USA)",21 JUN 2002,1210
12,9.99,+0.4,Maurice GREENE,23 JUL 1974,USA,1,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2002,1210
12,9.99,+0.1,Bernard WILLIAMS,19 JAN 1978,USA,2,,"Stade Louis II, Monaco (MON)",19 JUL 2002,1210
17,10.00,+0.9,Bernard WILLIAMS,19 JAN 1978,USA,2f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1206
17,10.00,-1.3,Coby MILLER,19 OCT 1976,USA,1,,Zürich (SUI),16 AUG 2002,1213
19,10.01,+0.3,Francis OBIKWELU,22 NOV 1978,POR,1,,Bruxelles (BEL),30 AUG 2002,1203
19,10.01,+0.3,Kim COLLINS,05 APR 1976,SKN,2,,Bruxelles (BEL),30 AUG 2002,1203
21,10.03,+0.7,Deji ALIU,22 NOV 1975,NGR,1f2,,Athina (GRE),10 JUN 2002,1196
21,10.03,+0.4,Bernard WILLIAMS,19 JAN 1978,USA,2,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2002,1196
21,10.03,+2.0,Francis OBIKWELU,22 NOV 1978,POR,3,,"Stade Charléty, Paris (FRA)",14 SEP 2002,1196
24,10.04,+1.4,Kim COLLINS,05 APR 1976,SKN,2,,"Portland, OR (USA)",18 MAY 2002,1193
24,10.04,+0.4,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,3,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2002,1193
24,10.04,+0.3,Jon DRUMMOND,09 SEP 1968,USA,3,,Bruxelles (BEL),30 AUG 2002,1193
27,10.05,+1.9,Shingo SUETSUGU,02 JUN 1980,JPN,1,,Mito (JPN),06 MAY 2002,1189
27,10.05,+1.4,Nobuharu ASAHARA,21 JUN 1972,JPN,1,,Kanazawa (JPN),09 JUN 2002,1189
27,10.05,+0.9,Kim COLLINS,05 APR 1976,SKN,3f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1189
27,10.05,+2.0,Bernard WILLIAMS,19 JAN 1978,USA,4,,"Stade Charléty, Paris (FRA)",14 SEP 2002,1189
31,10.06,-0.2,Bernard WILLIAMS,19 JAN 1978,USA,2f1,,Athina (GRE),10 JUN 2002,1187
31,10.06,-0.1,Maurice GREENE,23 JUL 1974,USA,1f1,,Oslo (NOR),28 JUN 2002,1186
31,10.06,+1.9,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1,,Birmingham (GBR),13 JUL 2002,1186
31,10.06,-0.3,Francis OBIKWELU,22 NOV 1978,POR,1,,"Olympiastadion, München (GER)",07 AUG 2002,1187
31,10.06,-1.3,Kim COLLINS,05 APR 1976,SKN,2,,Zürich (SUI),16 AUG 2002,1193
31,10.06,+0.3,Frank FREDERICKS,02 OCT 1967,NAM,1h1,,Zürich (SUI),16 AUG 2002,1186
31,10.06,+0.5,Maurice GREENE,23 JUL 1974,USA,1,,London (GBR),23 AUG 2002,1186
31,10.06,-0.3,Uchenna EMEDOLU,17 SEP 1976,NGR,1,,"CM, Madrid (ESP)",20 SEP 2002,1187
31,10.06,-0.3,Kim COLLINS,05 APR 1976,SKN,2,,"CM, Madrid (ESP)",20 SEP 2002,1187
40,10.07,+0.3,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1,,Manchester (GBR),15 JUN 2002,1182
40,10.07,+0.9,Frank FREDERICKS,02 OCT 1967,NAM,4f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1182
40,10.07,+0.3,Coby MILLER,19 OCT 1976,USA,2h1,,Zürich (SUI),16 AUG 2002,1182
40,10.07,+0.3,Coby MILLER,19 OCT 1976,USA,1,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1182
44,10.08,+2.0,Kenny BROKENBURR,29 OCT 1968,USA,1h1,,"Lynchburg, VA (USA)",10 MAY 2002,1179
44,10.08,0.0,Bernard WILLIAMS,19 JAN 1978,USA,1,,Doha (QAT),15 MAY 2002,1179
44,10.08,-0.6,Deji ALIU,22 NOV 1975,NGR,1,,Kalamata (GRE),01 JUN 2002,1182
44,10.08,-0.1,Kim COLLINS,05 APR 1976,SKN,1,,Stockholm (SWE),16 JUL 2002,1179
44,10.08,+0.2,Kim COLLINS,05 APR 1976,SKN,1sf1,,Manchester (GBR),27 JUL 2002,1179
44,10.08,+0.3,Maurice GREENE,23 JUL 1974,USA,3h1,,Zürich (SUI),16 AUG 2002,1179
44,10.08,+0.3,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,4,,Bruxelles (BEL),30 AUG 2002,1179
51,10.09,+1.6,Brian LEWIS,05 DEC 1974,USA,1,,Fort-de-France (FRA),27 APR 2002,1176
51,10.09,+0.5,Francis OBIKWELU,22 NOV 1978,NGR,2,,Cayenne (GUY),04 MAY 2002,1176
51,10.09,+1.4,Greg SADDLER,29 JUN 1974,USA,1,,St-Martin (FRA),04 MAY 2002,1176
51,10.09,+1.4,Shawn CRAWFORD,14 JAN 1978,USA,3,,"Portland, OR (USA)",18 MAY 2002,1176
51,10.09,+0.9,Jon DRUMMOND,09 SEP 1968,USA,1sf1,,"Palo Alto, CA (USA)",21 JUN 2002,1176
51,10.09,-0.3,Francis OBIKWELU,22 NOV 1978,POR,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1177
51,10.09,0.0,Coby MILLER,19 OCT 1976,USA,1f2,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1176
51,10.09,-0.6,Darrel BROWN,11 OCT 1984,TTO,1,,"National Stadium, Kingston (JAM)",17 JUL 2002,1179
51,10.09,+0.3,Uchenna EMEDOLU,17 SEP 1976,NGR,4h1,,Zürich (SUI),16 AUG 2002,1176
51,10.09,-0.3,Francis OBIKWELU,22 NOV 1978,POR,3,,"CM, Madrid (ESP)",20 SEP 2002,1177
61,10.10,+0.9,Coby MILLER,19 OCT 1976,USA,1,,"Auburn, AL (USA)",20 APR 2002,1172
61,10.10,,Kenny BROKENBURR,29 OCT 1968,USA,1,,"Lynchburg, VA (USA)",10 MAY 2002,1172
61,10.10,+1.4,Brian LEWIS,05 DEC 1974,USA,1,,"Modesto, CA (USA)",11 MAY 2002,1172
61,10.10,+2.0,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1,,Loughborough (GBR),18 MAY 2002,1172
61,10.10,-0.1,Kim COLLINS,05 APR 1976,SKN,1h1,,Stockholm (SWE),16 JUL 2002,1172
61,10.10,-1.3,Maurice GREENE,23 JUL 1974,USA,3,,Zürich (SUI),16 AUG 2002,1179
61,10.10,+1.4,Coby MILLER,19 OCT 1976,USA,1,,Padova (ITA),01 SEP 2002,1172
61,10.10,+0.7,Uchenna EMEDOLU,17 SEP 1976,NGR,1,,Rieti (ITA),08 SEP 2002,1172
61,10.10,-0.3,Jon DRUMMOND,09 SEP 1968,USA,4,,"CM, Madrid (ESP)",20 SEP 2002,1173
70,10.11,+1.5,Nobuharu ASAHARA,21 JUN 1972,JPN,1h2,,Kanazawa (JPN),09 JUN 2002,1169
70,10.11,-0.2,Coby MILLER,19 OCT 1976,USA,3f1,,Athina (GRE),10 JUN 2002,1170
70,10.11,0.0,Issa-Aimé NTHEPÉ,26 JUN 1973,FRA,1,,Bordeaux (FRA),12 JUN 2002,1169
70,10.11,+1.9,Darren CAMPBELL,12 SEP 1973,GBR,2,,Birmingham (GBR),13 JUL 2002,1169
70,10.11,+0.2,Uchenna EMEDOLU,17 SEP 1976,NGR,2,,Manchester (GBR),27 JUL 2002,1169
70,10.11,+0.3,Maurice GREENE,23 JUL 1974,USA,5,,Bruxelles (BEL),30 AUG 2002,1169
76,10.12,+1.6,Frank FREDERICKS,02 OCT 1967,NAM,2,,Fort-de-France (FRA),27 APR 2002,1165
76,10.12,+1.2,Frank FREDERICKS,02 OCT 1967,NAM,1h2,,Fort-de-France (FRA),27 APR 2002,1165
76,10.12,+1.2,Shingo SUETSUGU,02 JUN 1980,JPN,1,,Tokyo (JPN),17 MAY 2002,1165
76,10.12,-0.3,Frank FREDERICKS,02 OCT 1967,NAM,1,,Luzern (SUI),26 JUN 2002,1166
76,10.12,+0.1,Nobuharu ASAHARA,21 JUN 1972,JPN,1f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1165
76,10.12,+0.4,Francis OBIKWELU,22 NOV 1978,POR,4,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2002,1165
76,10.12,+1.4,Freddy MAYOLA,01 NOV 1977,CUB,1,,Salamanca (ESP),10 JUL 2002,1165
76,10.12,+1.2,Kenny BROKENBURR,29 OCT 1968,USA,1,,Szombathely (HUN),14 JUL 2002,1165
76,10.12,+0.2,Pierre BROWNE,14 JAN 1980,CAN,3,,Manchester (GBR),27 JUL 2002,1165
76,10.12,+0.1,Francis OBIKWELU,22 NOV 1978,POR,1sf2,,"Olympiastadion, München (GER)",07 AUG 2002,1165
76,10.12,+1.6,Francis OBIKWELU,22 NOV 1978,POR,2h2,,Zürich (SUI),16 AUG 2002,1165
76,10.12,-0.6,Maurice GREENE,23 JUL 1974,USA,1h1,,London (GBR),23 AUG 2002,1168
76,10.12,+1.3,Asafa POWELL,23 NOV 1982,JAM,1,,Rovereto (ITA),28 AUG 2002,1165
76,10.12,+0.7,Shingo SUETSUGU,02 JUN 1980,JPN,1sf3,,Tokyo (JPN),06 SEP 2002,1165
76,10.12,+0.8,Nobuharu ASAHARA,21 JUN 1972,JPN,1,,Fukuchiyama (JPN),29 SEP 2002,1165
91,10.13,+1.0,Pierre BROWNE,14 JAN 1980,CAN,1,,"Starkville, MS (USA)",16 MAR 2002,1162
91,10.13,+1.1,Leonard SCOTT,19 JAN 1980,USA,1,,"Knoxville, TN (USA)",06 APR 2002,1162
91,10.13,+1.6,Salem Mubarak AL YAMI,09 FEB 1982,KSA,1,,Kuwait (KUW),10 APR 2002,1162
91,10.13,+0.6,Morne NAGEL,23 MAR 1978,RSA,2,,Pretoria (RSA),12 APR 2002,1162
91,10.13,-1.3,Stéphan BUCKLAND,12 JAN 1977,MRI,1,,Réduit (MRI),21 APR 2002,1169
91,10.13,+1.8,Christopher WILLIAMS,15 MAR 1972,JAM,2,,"Walnut, CA (USA)",21 APR 2002,1162
91,10.13,+1.8,Brian LEWIS,05 DEC 1974,USA,1h3,,Fort-de-France (FRA),27 APR 2002,1162
91,10.13,+1.9,Nobuhiro TAJIMA,07 NOV 1980,JPN,2,,Mito (JPN),06 MAY 2002,1162
91,10.13,+1.8,Shingo SUETSUGU,02 JUN 1980,JPN,2,,Osaka (JPN),11 MAY 2002,1162
91,10.13,+1.9,Jason GARDENER,17 SEP 1975,GBR,3,,Birmingham (GBR),13 JUL 2002,1162
91,10.13,+0.1,Kim COLLINS,05 APR 1976,SKN,3,,"Stade Louis II, Monaco (MON)",19 JUL 2002,1162
91,10.13,+0.8,Frank FREDERICKS,02 OCT 1967,NAM,1,,Tallinn (EST),21 JUL 2002,1162
91,10.13,+0.7,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1qf2,,Manchester (GBR),26 JUL 2002,1162
91,10.13,-0.6,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,2h1,,London (GBR),23 AUG 2002,1165
105,10.14,+1.0,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1,,"Tallahassee, FL (USA)",13 APR 2002,1159
105,10.14,0.0,Jon DRUMMOND,09 SEP 1968,USA,2,,Doha (QAT),15 MAY 2002,1159
105,10.14,-1.2,Frank FREDERICKS,02 OCT 1967,NAM,1,,Villeneuve (FRA),16 JUN 2002,1166
105,10.14,0.0,Bernard WILLIAMS,19 JAN 1978,USA,1,,Zagreb (CRO),08 JUL 2002,1159
105,10.14,0.0,Darvis PATTON,04 DEC 1977,USA,2f2,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1159
105,10.14,+1.5,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1sf2,,Birmingham (GBR),13 JUL 2002,1159
105,10.14,+1.6,Idrissa SANOU,12 JUN 1977,BUR,1,,St-Etienne (FRA),13 JUL 2002,1159
105,10.14,-0.1,Bernard WILLIAMS,19 JAN 1978,USA,2,,Stockholm (SWE),16 JUL 2002,1159
105,10.14,+0.8,Deji ALIU,22 NOV 1975,NGR,1sf2,,Manchester (GBR),27 JUL 2002,1159
105,10.14,-0.6,Francis OBIKWELU,22 NOV 1978,POR,3h1,,London (GBR),23 AUG 2002,1162
105,10.14,+1.3,Deji ALIU,22 NOV 1975,NGR,2,,Rovereto (ITA),28 AUG 2002,1159
105,10.14,+0.3,Uchenna EMEDOLU,17 SEP 1976,NGR,6,,Bruxelles (BEL),30 AUG 2002,1159
105,10.14,+1.4,Darvis PATTON,04 DEC 1977,USA,2,,Padova (ITA),01 SEP 2002,1159
118,10.15,0.0,Joshua J. JOHNSON,10 MAY 1976,USA,3,,Doha (QAT),15 MAY 2002,1155
118,10.15,-0.3,Bernard WILLIAMS,19 JAN 1978,USA,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1156
118,10.15,+0.9,Nobuharu ASAHARA,21 JUN 1972,JPN,5f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1155
118,10.15,+0.5,Eric NKANSAH,12 DEC 1974,GHA,1,,Malles Venosta (ITA),13 JUL 2002,1155
118,10.15,-0.1,Coby MILLER,19 OCT 1976,USA,3,,Stockholm (SWE),16 JUL 2002,1155
118,10.15,+0.1,Aziz ZAKARI,02 SEP 1976,GHA,4,,"Stade Louis II, Monaco (MON)",19 JUL 2002,1155
118,10.15,+0.2,Dwight THOMAS,23 SEP 1980,JAM,4,,Manchester (GBR),27 JUL 2002,1155
118,10.15,+0.2,Deji ALIU,22 NOV 1975,NGR,4,,Manchester (GBR),27 JUL 2002,1155
118,10.15,+0.2,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,2sf1,,Manchester (GBR),27 JUL 2002,1155
118,10.15,-0.3,Darren CAMPBELL,12 SEP 1973,GBR,2,,"Olympiastadion, München (GER)",07 AUG 2002,1156
118,10.15,+1.6,Jon DRUMMOND,09 SEP 1968,USA,3h2,,Zürich (SUI),16 AUG 2002,1155
118,10.15,+0.5,Francis OBIKWELU,22 NOV 1978,POR,2,,London (GBR),23 AUG 2002,1155
118,10.15,+0.3,Kim COLLINS,05 APR 1976,SKN,2,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1155
118,10.15,+1.9,Freddy MAYOLA,01 NOV 1977,CUB,1,,Laguna (ESP),14 SEP 2002,1155
132,10.16,+0.7,Morne NAGEL,23 MAR 1978,RSA,1,,Pretoria (RSA),19 JAN 2002,1152
132,10.16,+1.6,Julien DUNKLEY,20 DEC 1975,JAM,1,,"Athens, GA (USA)",20 APR 2002,1152
132,10.16,+1.8,Dwight PHILLIPS,01 OCT 1977,USA,3,,"Walnut, CA (USA)",21 APR 2002,1152
132,10.16,0.0,Uchenna EMEDOLU,17 SEP 1976,NGR,4,,Doha (QAT),15 MAY 2002,1152
132,10.16,+0.2,Shingo SUETSUGU,02 JUN 1980,JPN,1sf1,,Tokyo (JPN),16 MAY 2002,1152
132,10.16,+1.4,Marcus BRUNSON,24 APR 1978,USA,4,,"Portland, OR (USA)",18 MAY 2002,1152
132,10.16,-0.8,Deji ALIU,22 NOV 1975,NGR,1,,Ostrava (CZE),12 JUN 2002,1156
132,10.16,-0.3,Aziz ZAKARI,02 SEP 1976,GHA,2,,Luzern (SUI),26 JUN 2002,1153
132,10.16,+0.1,Darvis PATTON,04 DEC 1977,USA,1,,Rethymno (GRE),07 JUL 2002,1152
132,10.16,+0.1,Freddy MAYOLA,01 NOV 1977,CUB,2,,Rethymno (GRE),07 JUL 2002,1152
132,10.16,0.0,Kaaron CONWRIGHT,08 AUG 1976,USA,3f2,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1152
132,10.16,0.0,Uchenna EMEDOLU,17 SEP 1976,NGR,4f2,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1152
132,10.16,-0.1,Frank FREDERICKS,02 OCT 1967,NAM,4,,Stockholm (SWE),16 JUL 2002,1152
132,10.16,+0.7,Deji ALIU,22 NOV 1975,NGR,1qf3,,Manchester (GBR),26 JUL 2002,1152
132,10.16,+0.2,Dwight THOMAS,23 SEP 1980,JAM,3sf1,,Manchester (GBR),27 JUL 2002,1152
