Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.91,+1.3,Donovan BAILEY,16 DEC 1967,CAN,1,,Montréal (CAN),15 JUL 1995,1238
2,9.97,+1.3,Bruny SURIN,12 JUL 1967,CAN,2,,Montréal (CAN),15 JUL 1995,1217
2,9.97,+1.0,Donovan BAILEY,16 DEC 1967,CAN,1,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1217
2,9.97,+0.1,Linford CHRISTIE,02 APR 1960,GBR,1,,Johannesburg (RSA),23 SEP 1995,1217
5,9.99,+0.9,Donovan BAILEY,16 DEC 1967,CAN,1,,"Baton Rouge, LA (USA)",22 APR 1995,1210
6,10.00,+0.6,Linford CHRISTIE,02 APR 1960,GBR,1,,Tokyo (JPN),15 SEP 1995,1206
7,10.02,-0.1,Deji ALIU,22 NOV 1975,NGR,1,,Bauchi (NGR),18 MAR 1995,1199
7,10.02,+0.6,Bruny SURIN,12 JUL 1967,CAN,2,,Tokyo (JPN),15 SEP 1995,1199
9,10.03,+1.0,Bruny SURIN,12 JUL 1967,CAN,2,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1196
9,10.03,+1.0,Ato BOLDON,30 DEC 1973,TTO,3,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1196
9,10.03,-0.2,Bruny SURIN,12 JUL 1967,CAN,1sf1,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1197
9,10.03,-1.0,Linford CHRISTIE,02 APR 1960,GBR,1,,Zürich (SUI),16 AUG 1995,1202
9,10.03,+0.1,Frank FREDERICKS,02 OCT 1967,NAM,2,,Johannesburg (RSA),23 SEP 1995,1196
14,10.04,+0.6,Bruny SURIN,12 JUL 1967,CAN,1h3,,Montréal (CAN),14 JUL 1995,1193
14,10.04,-0.5,Ato BOLDON,30 DEC 1973,TTO,1qf5,,"Ullevi Stadium, Göteborg (SWE)",05 AUG 1995,1196
14,10.04,+1.8,Donovan BAILEY,16 DEC 1967,CAN,1sf2,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1193
14,10.04,+0.8,Donovan BAILEY,16 DEC 1967,CAN,1h2,,Zürich (SUI),16 AUG 1995,1193
18,10.05,+0.5,Tim HARDEN,27 JAN 1974,USA,1,,"Knoxville, TN (USA)",03 JUN 1995,1189
18,10.05,+0.6,Donovan BAILEY,16 DEC 1967,CAN,1,,Nürnberg (GER),15 JUN 1995,1189
18,10.05,+2.0,Linford CHRISTIE,02 APR 1960,GBR,1,,Villeneuve d'Ascq (FRA),24 JUN 1995,1189
18,10.05,-0.1,Donovan BAILEY,16 DEC 1967,CAN,1,,"Stade Louis II, Monaco (MON)",25 JUL 1995,1189
18,10.05,+0.8,Olapade ADENIKEN,19 AUG 1969,NGR,2h2,,Zürich (SUI),16 AUG 1995,1189
23,10.06,+1.7,Terry BOWEN,15 SEP 1971,USA,1h3,,"Fresno, CA (USA)",01 APR 1995,1186
23,10.06,+0.8,Linford CHRISTIE,02 APR 1960,GBR,1,,Paris (FRA),03 JUL 1995,1186
23,10.06,+0.7,Ato BOLDON,30 DEC 1973,TTO,1f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1186
23,10.06,+0.9,Donovan BAILEY,16 DEC 1967,CAN,1sf1,,Montréal (CAN),15 JUL 1995,1186
27,10.07,+0.5,Donovan POWELL,31 OCT 1971,JAM,2,,"Knoxville, TN (USA)",03 JUN 1995,1182
27,10.07,+1.4,Frank FREDERICKS,02 OCT 1967,NAM,1,,Rehlingen (GER),05 JUN 1995,1182
27,10.07,+1.0,Frank FREDERICKS,02 OCT 1967,NAM,4,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1182
30,10.08,+0.4,Ato BOLDON,30 DEC 1973,TTO,1,,"Tucson, AZ (USA)",20 MAY 1995,1179
30,10.08,,Ato BOLDON,30 DEC 1973,TTO,1,,Bridgetown (BAR),24 JUN 1995,1179
30,10.08,+0.8,Davidson EZINWA,22 NOV 1971,NGR,2,,Paris (FRA),03 JUL 1995,1179
30,10.08,+0.9,Linford CHRISTIE,02 APR 1960,GBR,1h2,,Oslo (NOR),21 JUL 1995,1179
30,10.08,+1.8,Michael MARSH,04 AUG 1967,USA,2sf2,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1179
30,10.08,-0.4,Linford CHRISTIE,02 APR 1960,GBR,1,,Bruxelles (BEL),25 AUG 1995,1181
36,10.09,+0.6,Tim HARDEN,27 JAN 1974,USA,1,,"Tuscaloosa, AL (USA)",20 MAY 1995,1176
36,10.09,+0.9,Vitaliy SAVIN,23 JAN 1966,KAZ,1f1,,Almaty (KAZ),14 JUL 1995,1176
36,10.09,-1.0,Donovan BAILEY,16 DEC 1967,CAN,2,,Zürich (SUI),16 AUG 1995,1182
36,10.09,+0.2,Linford CHRISTIE,02 APR 1960,GBR,1h3,,Zürich (SUI),16 AUG 1995,1176
36,10.09,-0.7,Bruny SURIN,12 JUL 1967,CAN,1f1,,Linz (AUT),22 AUG 1995,1180
36,10.09,+0.6,Donovan BAILEY,16 DEC 1967,CAN,3,,Tokyo (JPN),15 SEP 1995,1176
42,10.10,+0.4,Donovan BAILEY,16 DEC 1967,CAN,1,,Kingston (JAM),06 MAY 1995,1172
42,10.10,+1.7,Ato BOLDON,30 DEC 1973,TTO,1h2,,"Knoxville, TN (USA)",01 JUN 1995,1172
42,10.10,+0.8,Davidson EZINWA,22 NOV 1971,NGR,1f1,,"Stadio Olimpico, Roma (ITA)",08 JUN 1995,1172
42,10.10,-0.8,Michael GREEN,07 NOV 1970,JAM,1,,Kingston (JAM),23 JUN 1995,1176
42,10.10,+1.4,Frank FREDERICKS,02 OCT 1967,NAM,1,,Helsinki (FIN),28 JUN 1995,1172
42,10.10,-0.1,Ato BOLDON,30 DEC 1973,TTO,2,,"Stade Louis II, Monaco (MON)",25 JUL 1995,1172
42,10.10,+1.0,Michael MARSH,04 AUG 1967,USA,5,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1172
42,10.10,-0.2,Ato BOLDON,30 DEC 1973,TTO,2sf1,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1173
42,10.10,-0.2,Frank FREDERICKS,02 OCT 1967,NAM,3sf1,,"Ullevi Stadium, Göteborg (SWE)",06 AUG 1995,1173
42,10.10,-1.0,Jon DRUMMOND,09 SEP 1968,USA,3,,Zürich (SUI),16 AUG 1995,1178
42,10.10,0.0,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympiastadion, Berlin (GER)",01 SEP 1995,1172
42,10.10,0.0,Linford CHRISTIE,02 APR 1960,GBR,2,,"Olympiastadion, Berlin (GER)",01 SEP 1995,1172
54,10.11,+1.8,Donovan POWELL,31 OCT 1971,JAM,1h1,,"Knoxville, TN (USA)",01 JUN 1995,1169
