Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.87,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
2,9.92,+0.3,Andre CASON,20 JAN 1969,USA,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1234
3,9.94,+0.3,Andre CASON,20 JAN 1969,USA,1sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1227
4,9.96,-0.1,Andre CASON,20 JAN 1969,USA,1qf4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1220
5,9.97,+0.9,Linford CHRISTIE,02 APR 1960,GBR,1sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1217
6,9.98,+0.3,Daniel EFFIONG,17 JUN 1972,NGR,2sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1213
7,9.99,+1.0,Daniel EFFIONG,17 JUN 1972,NGR,1sf1,,"Odessa, TX (USA)",21 MAY 1993,1210
7,9.99,+0.3,Dennis MITCHELL,20 FEB 1966,USA,3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1210
9,10.00,+0.1,Linford CHRISTIE,02 APR 1960,GBR,1qf3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1206
10,10.02,0.0,Leroy BURRELL,21 FEB 1967,USA,1f1,,Zürich (SUI),04 AUG 1993,1199
10,10.02,+0.3,Carl LEWIS,01 JUL 1961,USA,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1199
10,10.02,+0.3,Bruny SURIN,12 JUL 1967,CAN,5,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1199
10,10.02,+0.3,Carl LEWIS,01 JUL 1961,USA,3sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1199
14,10.03,+1.5,Andre CASON,20 JAN 1969,USA,1,,Villeneuve d'Ascq (FRA),02 JUL 1993,1196
14,10.03,0.0,Linford CHRISTIE,02 APR 1960,GBR,2f1,,Zürich (SUI),04 AUG 1993,1196
14,10.03,+0.3,Frank FREDERICKS,02 OCT 1967,NAM,6,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1196
14,10.03,+1.7,Jon DRUMMOND,09 SEP 1968,USA,1f1,,Rieti (ITA),05 SEP 1993,1196
14,10.03,+1.7,Linford CHRISTIE,02 APR 1960,GBR,2f1,,Rieti (ITA),05 SEP 1993,1196
19,10.04,+1.5,Frank FREDERICKS,02 OCT 1967,NAM,2,,Villeneuve d'Ascq (FRA),02 JUL 1993,1193
19,10.04,+0.8,Andre CASON,20 JAN 1969,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1193
19,10.04,+0.3,Daniel EFFIONG,17 JUN 1972,NGR,7,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1193
22,10.05,+0.5,Daniel EFFIONG,17 JUN 1972,NGR,1,,"Odessa, TX (USA)",21 MAY 1993,1189
22,10.05,0.0,Jon DRUMMOND,09 SEP 1968,USA,3f1,,Zürich (SUI),04 AUG 1993,1189
22,10.05,0.0,Jon DRUMMOND,09 SEP 1968,USA,1,,"Stade Louis II, Monaco (MON)",07 AUG 1993,1189
22,10.05,+0.3,Frank FREDERICKS,02 OCT 1967,NAM,4sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1189
26,10.06,+1.7,Linford CHRISTIE,02 APR 1960,GBR,1,,Edinburgh (GBR),02 JUL 1993,1186
26,10.06,+1.7,Calvin SMITH,08 JAN 1961,USA,2,,Edinburgh (GBR),02 JUL 1993,1186
26,10.06,-0.1,Frank FREDERICKS,02 OCT 1967,NAM,2qf4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1186
26,10.06,+0.9,Dennis MITCHELL,20 FEB 1966,USA,2sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1186
26,10.06,+1.0,Linford CHRISTIE,02 APR 1960,GBR,1,,Bruxelles (BEL),03 SEP 1993,1186
26,10.06,0.0,Linford CHRISTIE,02 APR 1960,GBR,1,,Fukuoka (JPN),18 SEP 1993,1186
32,10.07,+1.5,Carl LEWIS,01 JUL 1961,USA,3,,Villeneuve d'Ascq (FRA),02 JUL 1993,1182
32,10.07,+0.8,Carl LEWIS,01 JUL 1961,USA,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1182
32,10.07,0.0,Carl LEWIS,01 JUL 1961,USA,4f1,,Zürich (SUI),04 AUG 1993,1182
32,10.07,+0.1,Bruny SURIN,12 JUL 1967,CAN,2qf3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1182
32,10.07,+0.9,Bruny SURIN,12 JUL 1967,CAN,3sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1182
37,10.08,+1.2,Brian BRIDGEWATER,07 SEP 1970,USA,1,,"Abilene, TX (USA)",29 MAY 1993,1179
37,10.08,+1.5,Mark MCKOY,10 DEC 1961,CAN,4,,Villeneuve d'Ascq (FRA),02 JUL 1993,1179
37,10.08,+0.4,Linford CHRISTIE,02 APR 1960,GBR,1,,Gateshead (GBR),30 JUL 1993,1179
37,10.08,-0.1,Dennis MITCHELL,20 FEB 1966,USA,1qf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1179
41,10.09,+1.9,Ivan GARCÍA,29 FEB 1972,CUB,1,,Ciudad de México (MEX),08 MAY 1993,1176
41,10.09,+1.7,Michael GREEN,07 NOV 1970,JAM,1,,"New Orleans, LA (USA)",05 JUN 1993,1176
41,10.09,+0.6,Michael GREEN,07 NOV 1970,JAM,1,,Kingston (JAM),02 JUL 1993,1176
41,10.09,+0.5,Andre CASON,20 JAN 1969,USA,1h5,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1176
45,10.10,+0.5,Jon DRUMMOND,09 SEP 1968,USA,1f2,,Fukuoka (JPN),18 SEP 1993,1172
46,10.11,+0.3,Andre CASON,20 JAN 1969,USA,1,,San José (USA),29 MAY 1993,1169
46,10.11,+1.7,Vincent HENDERSON,20 OCT 1972,USA,3,,Edinburgh (GBR),02 JUL 1993,1169
46,10.11,+0.2,Andre CASON,20 JAN 1969,USA,1f1,,Köln (GER),01 AUG 1993,1169
46,10.11,0.0,Andre CASON,20 JAN 1969,USA,5f1,,Zürich (SUI),04 AUG 1993,1169
46,10.11,-0.8,Carl LEWIS,01 JUL 1961,USA,1qf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1173
46,10.11,-0.1,Raymond STEWART,18 MAR 1965,JAM,2qf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1169
46,10.11,+0.8,Bruny SURIN,12 JUL 1967,CAN,1,,Linz (AUT),25 AUG 1993,1169
53,10.12,+1.1,Michael JOHNSON,13 SEP 1967,USA,1,,"Arlington, TX (USA)",01 MAY 1993,1165
53,10.12,+1.8,Osmond EZINWA,22 NOV 1971,NGR,1f1,,Budapest (HUN),29 MAY 1993,1165
53,10.12,0.0,Dennis MITCHELL,20 FEB 1966,USA,1,,"Indianapolis, IN (USA)",25 JUN 1993,1165
53,10.12,+0.8,Frank FREDERICKS,02 OCT 1967,NAM,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1165
53,10.12,+0.4,Jon DRUMMOND,09 SEP 1968,USA,2,,Gateshead (GBR),30 JUL 1993,1165
53,10.12,0.0,Daniel EFFIONG,17 JUN 1972,NGR,6f1,,Zürich (SUI),04 AUG 1993,1165
53,10.12,0.0,Leroy BURRELL,21 FEB 1967,USA,2,,"Stade Louis II, Monaco (MON)",07 AUG 1993,1165
53,10.12,+1.0,Leroy BURRELL,21 FEB 1967,USA,1f1,,"Olympiastadion, Berlin (GER)",27 AUG 1993,1165
53,10.12,+1.0,Leroy BURRELL,21 FEB 1967,USA,2,,Bruxelles (BEL),03 SEP 1993,1165
53,10.12,+0.5,Bruny SURIN,12 JUL 1967,CAN,2f2,,Fukuoka (JPN),18 SEP 1993,1165
63,10.13,+1.3,Daniel EFFIONG,17 JUN 1972,NGR,1,,"Walnut, CA (USA)",17 APR 1993,1162
63,10.13,+2.0,Sam JEFFERSON,19 APR 1971,USA,1,,"Houston, TX (USA)",17 APR 1993,1162
63,10.13,+0.2,Daniel EFFIONG,17 JUN 1972,NGR,1,,"Tucson, AZ (USA)",01 MAY 1993,1162
63,10.13,+1.2,Andre CASON,20 JAN 1969,USA,1,,"Atlanta, GA (USA)",22 MAY 1993,1162
63,10.13,+1.6,Michael GREEN,07 NOV 1970,JAM,1sf2,,"New Orleans, LA (USA)",04 JUN 1993,1162
63,10.13,+1.0,Linford CHRISTIE,02 APR 1960,GBR,1,,Birmingham (GBR),16 JUL 1993,1162
63,10.13,+0.2,Jon DRUMMOND,09 SEP 1968,USA,2f1,,Köln (GER),01 AUG 1993,1162
63,10.13,+1.0,Jon DRUMMOND,09 SEP 1968,USA,2f1,,"Olympiastadion, Berlin (GER)",27 AUG 1993,1162
63,10.13,+1.0,Linford CHRISTIE,02 APR 1960,GBR,3f1,,"Olympiastadion, Berlin (GER)",27 AUG 1993,1162
63,10.13,+1.0,Andre CASON,20 JAN 1969,USA,3,,Bruxelles (BEL),03 SEP 1993,1162
73,10.14,+1.0,David OAKS,12 MAY 1972,USA,1,,"Boulder, CO (USA)",18 MAY 1993,1159
73,10.14,-3.8,Daniel EFFIONG,17 JUN 1972,NGR,1,,Lagos (NGR),17 JUN 1993,1181
73,10.14,-0.4,Andre CASON,20 JAN 1969,USA,1,,Luzern (SUI),29 JUN 1993,1161
73,10.14,+0.6,Raymond STEWART,18 MAR 1965,JAM,2,,Kingston (JAM),02 JUL 1993,1159
73,10.14,+0.4,Davidson EZINWA,22 NOV 1971,NGR,1,,Salamanca (ESP),27 JUL 1993,1159
73,10.14,0.0,Davidson EZINWA,22 NOV 1971,NGR,1f2,,Zürich (SUI),04 AUG 1993,1159
73,10.14,0.0,Bruny SURIN,12 JUL 1967,CAN,3,,"Stade Louis II, Monaco (MON)",07 AUG 1993,1159
73,10.14,+1.0,Jon DRUMMOND,09 SEP 1968,USA,4,,Bruxelles (BEL),03 SEP 1993,1159
73,10.14,0.0,Andre CASON,20 JAN 1969,USA,2,,Fukuoka (JPN),18 SEP 1993,1159
82,10.15,+1.0,Daniel EFFIONG,17 JUN 1972,NGR,1,,"Tempe, AZ (USA)",20 MAR 1993,1155
82,10.15,+1.2,Gerry WOODBERRY,23 OCT 1969,USA,1,,"College Station, TX (USA)",01 MAY 1993,1155
82,10.15,+0.2,Fabian MUYABA,30 SEP 1970,ZIM,1h4,,"Knoxville, TN (USA)",15 MAY 1993,1155
82,10.15,+1.9,John REGIS,13 OCT 1966,GBR,1,,Budapest (HUN),29 MAY 1993,1155
82,10.15,-0.2,Dennis MITCHELL,20 FEB 1966,USA,1,,Bratislava (SVK),01 JUN 1993,1156
82,10.15,-0.2,Olapade ADENIKEN,19 AUG 1969,NGR,2,,Bratislava (SVK),01 JUN 1993,1156
82,10.15,+1.3,Andreas BERGER,09 JUN 1961,AUT,1,,Kapfenberg (AUT),05 JUN 1993,1155
82,10.15,0.0,Davidson EZINWA,22 NOV 1971,NGR,4,,"Stade Louis II, Monaco (MON)",07 AUG 1993,1155
82,10.15,+0.8,Carl LEWIS,01 JUL 1961,USA,1h6,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1155
82,10.15,-0.1,Daniel EFFIONG,17 JUN 1972,NGR,3qf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993,1155
92,10.16,+1.2,Glenroy GILBERT,31 AUG 1968,CAN,1,,"Knoxville, TN (USA)",01 MAY 1993,1152
92,10.16,+1.5,Michael JOHNSON,13 SEP 1967,USA,1h6,,"Arlington, TX (USA)",01 MAY 1993,1152
92,10.16,0.0,Jon DRUMMOND,09 SEP 1968,USA,1,,"New York, NY (USA)",22 MAY 1993,1152
92,10.16,+0.3,Daniel EFFIONG,17 JUN 1972,NGR,2,,San José (USA),29 MAY 1993,1152
92,10.16,+0.4,Dennis MITCHELL,20 FEB 1966,USA,1,,Granada (ESP),29 MAY 1993,1152
92,10.16,+1.3,Glenroy GILBERT,31 AUG 1968,CAN,1sf1,,"New Orleans, LA (USA)",04 JUN 1993,1152
92,10.16,+1.6,Aleksandr PORKHOMOVSKIY,12 AUG 1972,RUS,1,,Southampton (GBR),06 JUN 1993,1152
92,10.16,+1.5,Dennis MITCHELL,20 FEB 1966,USA,5,,Villeneuve d'Ascq (FRA),02 JUL 1993,1152
92,10.16,-2.0,Frank FREDERICKS,02 OCT 1967,NAM,1,,Sestriere (ITA),28 JUL 1993,1164
92,10.16,0.0,Olapade ADENIKEN,19 AUG 1969,NGR,7f1,,Zürich (SUI),04 AUG 1993,1152
92,10.16,+0.9,Raymond STEWART,18 MAR 1965,JAM,4sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1152
103,10.17,+0.9,Jeff LAYNES,03 OCT 1970,USA,1f1,,"Fresno, CA (USA)",03 APR 1993,1148
103,10.17,+1.1,Sam JEFFERSON,19 APR 1971,USA,1,,"Austin, TX (USA)",20 MAY 1993,1148
103,10.17,+0.8,Calvin SMITH,08 JAN 1961,USA,4f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1148
103,10.17,+0.4,Raymond STEWART,18 MAR 1965,JAM,2,,Salamanca (ESP),27 JUL 1993,1148
103,10.17,+0.2,Olapade ADENIKEN,19 AUG 1969,NGR,3f1,,Köln (GER),01 AUG 1993,1148
103,10.17,0.0,Frank FREDERICKS,02 OCT 1967,NAM,8f1,,Zürich (SUI),04 AUG 1993,1148
103,10.17,0.0,Bruny SURIN,12 JUL 1967,CAN,1,,Innsbruck (AUT),28 AUG 1993,1148
103,10.17,+1.7,Davidson EZINWA,22 NOV 1971,NGR,3f1,,Rieti (ITA),05 SEP 1993,1148
111,10.18,+0.4,Olapade ADENIKEN,19 AUG 1969,NGR,2,,Granada (ESP),29 MAY 1993,1145
111,10.18,-0.2,Frank FREDERICKS,02 OCT 1967,NAM,3,,Bratislava (SVK),01 JUN 1993,1146
111,10.18,+1.7,Glenroy GILBERT,31 AUG 1968,CAN,2,,"New Orleans, LA (USA)",05 JUN 1993,1145
111,10.18,0.0,Calvin SMITH,08 JAN 1961,USA,1,,Bad Homburg (GER),10 JUN 1993,1145
111,10.18,0.0,Michael GREEN,07 NOV 1970,JAM,2,,"Indianapolis, IN (USA)",25 JUN 1993,1145
111,10.18,+0.3,Raymond STEWART,18 MAR 1965,JAM,8,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1145
117,10.19,+1.7,Damien MARSH,28 MAR 1971,AUS,1,,Melbourne (AUS),25 FEB 1993,1142
117,10.19,+0.6,Daniel EFFIONG,17 JUN 1972,NGR,1,,"Tempe, AZ (USA)",03 APR 1993,1142
117,10.19,+1.1,Glenroy GILBERT,31 AUG 1968,CAN,1,,Ottawa (CAN),03 JUL 1993,1142
