Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.58,+0.9,Usain BOLT,21 AUG 1986,JAM,1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
2,9.69,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Shanghai (CHN),20 SEP 2009,1316
3,9.71,+0.9,Tyson GAY,09 AUG 1982,USA,2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1308
4,9.77,+0.4,Tyson GAY,09 AUG 1982,USA,1,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1287
5,9.79,-0.2,Usain BOLT,21 AUG 1986,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",17 JUL 2009,1281
6,9.81,0.0,Usain BOLT,21 AUG 1986,JAM,1,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1273
7,9.82,+1.4,Asafa POWELL,23 NOV 1982,JAM,1,,Szczecin (POL),15 SEP 2009,1269
8,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,3,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1262
9,9.85,+2.0,Asafa POWELL,23 NOV 1982,JAM,2,,Shanghai (CHN),20 SEP 2009,1259
10,9.86,-0.2,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),27 JUN 2009,1256
11,9.88,+0.4,Asafa POWELL,23 NOV 1982,JAM,2,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1248
11,9.88,0.0,Asafa POWELL,23 NOV 1982,JAM,2,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1248
11,9.88,-0.2,Tyson GAY,09 AUG 1982,USA,1,,Thessaloniki (GRE),12 SEP 2009,1249
14,9.89,+0.2,Usain BOLT,21 AUG 1986,JAM,1sf1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1245
14,9.89,+2.0,Darvis PATTON,04 DEC 1977,USA,3,,Shanghai (CHN),20 SEP 2009,1245
16,9.90,-0.4,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1243
16,9.90,-0.2,Asafa POWELL,23 NOV 1982,JAM,2,,Thessaloniki (GRE),12 SEP 2009,1242
18,9.91,-0.2,Daniel BAILEY,09 SEP 1986,ANT,2,,"Stade de France, Paris-St-Denis (FRA)",17 JUL 2009,1239
18,9.91,-1.7,Usain BOLT,21 AUG 1986,JAM,1,,"Crystal Palace, London (GBR)",24 JUL 2009,1248
18,9.91,+2.0,Nesta CARTER,11 OCT 1985,JAM,4,,Shanghai (CHN),20 SEP 2009,1238
21,9.93,+1.1,Ivory WILLIAMS,02 MAY 1985,USA,1f2,,Rethymno (GRE),20 JUL 2009,1231
21,9.93,+0.9,Daniel BAILEY,09 SEP 1986,ANT,4,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1231
21,9.93,+0.9,Richard THOMPSON,07 JUN 1985,TTO,5,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1231
21,9.93,-0.2,Tyson GAY,09 AUG 1982,USA,1sf2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1232
25,9.94,+1.7,Michael RODGERS,24 APR 1985,USA,1f2,,"Eugene, OR (USA)",07 JUN 2009,1227
25,9.94,+0.6,Darvis PATTON,04 DEC 1977,USA,1,,Zagreb (CRO),31 AUG 2009,1227
25,9.94,-0.6,Tyson GAY,09 AUG 1982,USA,1,,Daegu (KOR),25 SEP 2009,1230
28,9.95,-0.4,Asafa POWELL,23 NOV 1982,JAM,1qf3,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1226
28,9.95,-0.2,Asafa POWELL,23 NOV 1982,JAM,2sf2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1225
28,9.95,0.0,Darvis PATTON,04 DEC 1977,USA,3,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1224
31,9.96,-0.1,Tyson GAY,09 AUG 1982,USA,1h1,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1220
31,9.96,+0.4,Daniel BAILEY,09 SEP 1986,ANT,1h2,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1220
31,9.96,+0.2,Daniel BAILEY,09 SEP 1986,ANT,2sf1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1220
34,9.97,-0.1,Churandy MARTINA,03 JUL 1984,AHO,1,,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1217
34,9.97,-0.2,Asafa POWELL,23 NOV 1982,JAM,2,,Kingston (JAM),27 JUN 2009,1218
34,9.97,+0.4,Daniel BAILEY,09 SEP 1986,ANT,3,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1217
34,9.97,+0.6,Michael RODGERS,24 APR 1985,USA,2,,Zagreb (CRO),31 AUG 2009,1217
38,9.98,+0.4,Asafa POWELL,23 NOV 1982,JAM,2h2,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1213
38,9.98,+0.1,Tyson GAY,09 AUG 1982,USA,1qf4,,"Olympiastadion, Berlin (GER)",15 AUG 2009,1213
38,9.98,+0.2,Darvis PATTON,04 DEC 1977,USA,3sf1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1213
38,9.98,-0.2,Richard THOMPSON,07 JUN 1985,TTO,3sf2,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1214
38,9.98,0.0,Michael RODGERS,24 APR 1985,USA,4,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1213
