Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.77,+0.9,Kishane THOMPSON,17 JUL 2001,JAM,1,,"National Stadium, Kingston (JAM)",28 JUN 2024,1287
2,9.79,+1.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1280
3,9.82,+0.9,Oblique SEVILLE,16 MAR 2001,JAM,1,,"National Stadium, Kingston (JAM)",01 JUN 2024,1269
3,9.82,+1.0,Kishane THOMPSON,17 JUL 2001,JAM,1h2,,"National Stadium, Kingston (JAM)",27 JUN 2024,1269
3,9.82,+0.9,Oblique SEVILLE,16 MAR 2001,JAM,2,,"National Stadium, Kingston (JAM)",28 JUN 2024,1269
6,9.83,+0.4,Noah LYLES,18 JUL 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1266
6,9.83,+0.4,Oblique SEVILLE,16 MAR 2001,JAM,1sf2,,"National Stadium, Kingston (JAM)",28 JUN 2024,1266
8,9.84,+0.6,Kishane THOMPSON,17 JUL 2001,JAM,1sf1,,"National Stadium, Kingston (JAM)",28 JUN 2024,1262
9,9.85,+0.9,Noah LYLES,18 JUL 1997,USA,2,,"National Stadium, Kingston (JAM)",01 JUN 2024,1259
10,9.86,+1.5,Christian COLEMAN,06 MAR 1996,USA,1sf3,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1255
11,9.87,+0.4,Kenneth BEDNAREK,14 OCT 1998,USA,2,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1252
12,9.88,+0.4,Fred KERLEY,07 MAY 1995,USA,3,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1248
13,9.90,0.0,Shainer REGINFO MONTOYA,08 APR 2002,CUB,1f1,,"Helmántico, Salamanca (ESP)",01 JUN 2024,1241
14,9.91,-0.6,Kishane THOMPSON,17 JUL 2001,JAM,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1241
15,9.92,+1.5,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1234
15,9.92,+0.3,Noah LYLES,18 JUL 1997,USA,1h1,,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1234
15,9.92,+0.9,Ackeem BLAKE,21 JAN 2002,JAM,3,,"National Stadium, Kingston (JAM)",28 JUN 2024,1234
18,9.93,+1.6,Christian MILLER,16 MAY 2006,USA,1f1,,"National Training Center, Clermont, FL (USA)",20 APR 2024,1231
18,9.93,+2.0,Kendal WILLIAMS,23 SEP 1995,USA,1f1,,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1231
18,9.93,+0.4,Christian COLEMAN,06 MAR 1996,USA,4,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1231
21,9.94,+1.7,Brandon HICKLIN,02 APR 1999,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1227
21,9.94,+1.4,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1227
21,9.94,+0.4,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1227
21,9.94,+1.7,Brandon HICKLIN,02 APR 1999,USA,1,,"Stadion Juliska, Praha (CZE)",03 JUN 2024,1227
25,9.95,+1.2,Christian COLEMAN,06 MAR 1996,USA,1,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1224
25,9.95,+0.2,Louie HINCHLIFFE,18 JUL 2002,GBR,1,,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1224
25,9.95,+1.2,Christian MILLER,16 MAY 2006,USA,1sf1,,"Franklin Field, Philadelphia, PA (USA)",14 JUN 2024,1224
25,9.95,+1.5,Brandon HICKLIN,02 APR 1999,USA,2sf3,,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1224
25,9.95,+1.0,Ackeem BLAKE,21 JAN 2002,JAM,2h2,,"National Stadium, Kingston (JAM)",27 JUN 2024,1224
30,9.96,0.0,Reynaldo R. ESPINOSA,01 FEB 2003,CUB,2f1,,"Helmántico, Salamanca (ESP)",01 JUN 2024,1220
