Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.93,+1.4,Calvin SMITH,08 JAN 1961,USA,1,,Air Force Academy (USA),03 JUL 1983,1231
2,9.97,+1.5,Carl LEWIS,01 JUL 1961,USA,1f1,,"Modesto, CA (USA)",14 MAY 1983,1217
2,9.97,+1.6,Calvin SMITH,08 JAN 1961,USA,1,,Zürich (SUI),24 AUG 1983,1217
4,10.03,+1.6,Mel LATTANY,10 AUG 1959,USA,2,,Zürich (SUI),24 AUG 1983,1196
5,10.04,-2.2,Calvin SMITH,08 JAN 1961,USA,1,,Bruxelles (BEL),26 AUG 1983,1206
6,10.06,-0.6,Carl LEWIS,01 JUL 1961,USA,1,,"Houston, TX (USA)",07 MAY 1983,1189
6,10.06,+1.6,Ron BROWN,31 MAR 1961,USA,3,,Zürich (SUI),24 AUG 1983,1186
6,10.06,+1.6,Emmit KING,24 MAR 1959,USA,4,,Zürich (SUI),24 AUG 1983,1186
6,10.06,+2.0,Leandro PENALVER,23 MAY 1961,CUB,1,,Caracas (VEN),24 AUG 1983,1186
10,10.07,-0.3,Carl LEWIS,01 JUL 1961,USA,1,,"Olympiastadion, Helsinki (FIN)",08 AUG 1983,1183
10,10.07,0.0,Carl LEWIS,01 JUL 1961,USA,1,,Berlin (GER),17 AUG 1983,1182
12,10.08,+0.1,Darrell GREEN,15 FEB 1960,USA,1,,"San Angelo, TX (USA)",13 APR 1983,1179
13,10.09,+0.1,Carl LEWIS,01 JUL 1961,USA,1f2,,"Philadelphia, PA (USA)",30 APR 1983,1176
13,10.09,0.0,Calvin SMITH,08 JAN 1961,USA,2,,Berlin (GER),17 AUG 1983,1176
15,10.11,+1.1,Calvin SMITH,08 JAN 1961,USA,1h1,,"Des Moines, IA (USA)",29 APR 1983,1169
16,10.13,+1.8,Stanley FLOYD,23 JUN 1961,USA,1,,"Houston, TX (USA)",16 APR 1983,1162
16,10.13,+0.1,Mel LATTANY,10 AUG 1959,USA,1,,Fürth (GER),21 MAY 1983,1162
16,10.13,+1.8,Emmit KING,24 MAR 1959,USA,1,,Rieti (ITA),04 SEP 1983,1162
19,10.14,+2.0,Juan NÚŃEZ,19 NOV 1959,DOM,2,,Caracas (VEN),24 AUG 1983,1159
20,10.15,+0.8,Emmit KING,24 MAR 1959,USA,1,,"Des Moines, IA (USA)",30 APR 1983,1155
20,10.15,+1.6,Emmit KING,24 MAR 1959,USA,1,,"Houston, TX (USA)",04 JUN 1983,1155
20,10.15,+1.6,Allan WELLS,03 MAY 1952,GBR,5,,Zürich (SUI),24 AUG 1983,1155
23,10.16,+1.4,Mel LATTANY,10 AUG 1959,USA,1,,"Tallahassee, FL (USA)",30 APR 1983,1152
23,10.16,+0.8,Calvin SMITH,08 JAN 1961,USA,2,,"Des Moines, IA (USA)",30 APR 1983,1152
23,10.16,+1.6,Calvin SMITH,08 JAN 1961,USA,2,,"Houston, TX (USA)",04 JUN 1983,1152
23,10.16,+2.0,Christian HAAS,22 AUG 1958,FRG,1sf1,,Bremen (GER),24 JUN 1983,1152
23,10.16,+1.9,Juan NÚŃEZ,19 NOV 1959,DOM,1,,La Habana (CUB),22 JUL 1983,1152
23,10.16,-1.5,Leandro PENALVER,23 MAY 1961,CUB,1sf1,,Caracas (VEN),23 AUG 1983,1161
23,10.16,+1.8,Ron BROWN,31 MAR 1961,USA,1h2,,Zürich (SUI),24 AUG 1983,1152
30,10.17,-0.7,Willie GAULT,05 SEP 1960,USA,1,,Tokyo (JPN),08 MAY 1983,1152
30,10.17,+1.4,Rod RICHARDSON,17 SEP 1962,USA,1,,"Austin, TX (USA)",22 MAY 1983,1148
30,10.17,+1.4,Rod RICHARDSON,17 SEP 1962,USA,1h1,,"Austin, TX (USA)",22 MAY 1983,1148
30,10.17,-1.2,Ron BROWN,31 MAR 1961,USA,1h4,,"Indianapolis, IN (USA)",17 JUN 1983,1155
30,10.17,,Mel LATTANY,10 AUG 1959,USA,1,,Lausanne (SUI),30 JUN 1983,1148
35,10.18,+1.7,Harvey MCSWAIN,10 MAR 1963,USA,1,,"Raleigh, NC (USA)",08 MAY 1983,1145
35,10.18,+2.0,Frank EMMELMANN,15 SEP 1961,GDR,1h1,,Berlin (GER),03 JUN 1983,1145
35,10.18,+2.0,Sam GRADDY,10 FEB 1964,USA,3,,Caracas (VEN),24 AUG 1983,1145
38,10.19,-0.6,Calvin SMITH,08 JAN 1961,USA,1,,"Tuscaloosa, AL (USA)",16 APR 1983,1145
