Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.93,-0.6,Michael MARSH,04 AUG 1967,USA,1f1,,"Walnut, CA (USA)",18 APR 1992,1234
2,9.96,-0.6,Davidson EZINWA,22 NOV 1971,NGR,2f1,,"Walnut, CA (USA)",18 APR 1992,1223
2,9.96,+0.5,Linford CHRISTIE,02 APR 1960,GBR,1,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1220
4,9.97,+1.2,Olapade ADENIKEN,19 AUG 1969,NGR,1,,"Austin, TX (USA)",04 APR 1992,1217
4,9.97,+1.7,Olapade ADENIKEN,19 AUG 1969,NGR,1sf2,,"Austin, TX (USA)",05 JUN 1992,1217
4,9.97,-1.3,Leroy BURRELL,21 FEB 1967,USA,1sf1,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1224
7,10.00,-1.3,Linford CHRISTIE,02 APR 1960,GBR,2sf1,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1213
8,10.02,+0.5,Frank FREDERICKS,02 OCT 1967,NAM,2,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1199
9,10.03,+0.2,Olapade ADENIKEN,19 AUG 1969,NGR,1,,"El Paso, TX (USA)",11 APR 1992,1196
10,10.04,+0.5,Dennis MITCHELL,20 FEB 1966,USA,3,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1193
11,10.05,+1.2,Davidson EZINWA,22 NOV 1971,NGR,1,,Abbotsford (CAN),23 MAY 1992,1189
11,10.05,+0.6,Bruny SURIN,12 JUL 1967,CAN,1,,Salamanca (ESP),13 JUL 1992,1189
13,10.06,+1.6,Raymond STEWART,18 MAR 1965,JAM,1sf1,,Kingston (JAM),03 JUL 1992,1186
13,10.06,+0.6,Olapade ADENIKEN,19 AUG 1969,NGR,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1186
15,10.07,+0.6,Linford CHRISTIE,02 APR 1960,GBR,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1182
15,10.07,0.0,Linford CHRISTIE,02 APR 1960,GBR,1qf4,,"Estadio Olímpico, Barcelona (ESP)",31 JUL 1992,1182
15,10.07,-0.7,Carl LEWIS,01 JUL 1961,USA,1f1,,Zürich (SUI),19 AUG 1992,1186
18,10.08,-1.2,Andre CASON,20 JAN 1969,USA,1,,"Westwood, CA (USA)",09 MAY 1992,1186
18,10.08,0.0,Leroy BURRELL,21 FEB 1967,USA,2qf4,,"Estadio Olímpico, Barcelona (ESP)",31 JUL 1992,1179
18,10.08,+1.3,Vitaliy SAVIN,23 JAN 1966,KAZ,1f1,,Linz (AUT),13 AUG 1992,1179
21,10.09,+1.9,Osmond EZINWA,22 NOV 1971,NGR,1,,"Azusa, CA (USA)",14 MAR 1992,1176
21,10.09,+1.2,Henry NEAL,28 OCT 1970,USA,2,,"Austin, TX (USA)",04 APR 1992,1176
21,10.09,+0.3,Frank FREDERICKS,02 OCT 1967,NAM,1,,Germiston (RSA),24 APR 1992,1176
21,10.09,+2.0,Olapade ADENIKEN,19 AUG 1969,NGR,1,,"Austin, TX (USA)",06 JUN 1992,1176
21,10.09,+1.7,Jason LIVINGSTON,17 MAR 1971,GBR,1,,London (GBR),13 JUN 1992,1176
21,10.09,-0.9,Leroy BURRELL,21 FEB 1967,USA,1h4,,"New Orleans, LA (USA)",19 JUN 1992,1181
21,10.09,-0.1,Michael MARSH,04 AUG 1967,USA,1qf3,,"New Orleans, LA (USA)",19 JUN 1992,1176
21,10.09,-0.7,Dennis MITCHELL,20 FEB 1966,USA,1,,"New Orleans, LA (USA)",20 JUN 1992,1180
21,10.09,-0.7,Mark WITHERSPOON,03 SEP 1963,USA,2,,"New Orleans, LA (USA)",20 JUN 1992,1180
21,10.09,-0.4,Linford CHRISTIE,02 APR 1960,GBR,1,,Birmingham (GBR),27 JUN 1992,1178
21,10.09,+0.5,Bruny SURIN,12 JUL 1967,CAN,4,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1176
21,10.09,+0.5,Dennis MITCHELL,20 FEB 1966,USA,1,,Torino (ITA),04 SEP 1992,1176
33,10.10,+1.9,Raymond STEWART,18 MAR 1965,JAM,1,,Kingston (JAM),02 MAY 1992,1172
33,10.10,-0.7,Leroy BURRELL,21 FEB 1967,USA,3,,"New Orleans, LA (USA)",20 JUN 1992,1176
33,10.10,+0.5,Leroy BURRELL,21 FEB 1967,USA,5,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1172
33,10.10,-1.3,Dennis MITCHELL,20 FEB 1966,USA,3sf1,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1179
37,10.11,+1.6,Henry NEAL,28 OCT 1970,USA,1,,"Odessa, TX (USA)",22 MAY 1992,1169
37,10.11,+1.0,Daniel EFFIONG,17 JUN 1972,NGR,1,,Lagos (NGR),23 MAY 1992,1169
37,10.11,0.0,Vitaliy SAVIN,23 JAN 1966,KAZ,1h,,Almaty (KAZ),23 MAY 1992,1169
37,10.11,+0.4,Linford CHRISTIE,02 APR 1960,GBR,1f1,,"Stadio Olimpico, Roma (ITA)",09 JUN 1992,1169
37,10.11,-0.4,Mark WITHERSPOON,03 SEP 1963,USA,1qf1,,"New Orleans, LA (USA)",19 JUN 1992,1171
37,10.11,-0.4,Dennis MITCHELL,20 FEB 1966,USA,2qf1,,"New Orleans, LA (USA)",19 JUN 1992,1171
37,10.11,+1.3,Bruny SURIN,12 JUL 1967,CAN,1,,Montréal (CAN),20 JUN 1992,1169
37,10.11,+1.3,Dennis MITCHELL,20 FEB 1966,USA,2f1,,Linz (AUT),13 AUG 1992,1169
37,10.11,+0.2,Dennis MITCHELL,20 FEB 1966,USA,1,,Rieti (ITA),06 SEP 1992,1169
46,10.12,+1.0,Daniel EFFIONG,17 JUN 1972,NGR,1,,Lagos (NGR),11 APR 1992,1165
46,10.12,-0.6,Carl LEWIS,01 JUL 1961,USA,3f1,,"Walnut, CA (USA)",18 APR 1992,1168
46,10.12,+1.9,Jon DRUMMOND,09 SEP 1968,USA,2,,Kingston (JAM),02 MAY 1992,1165
46,10.12,+0.6,Bruny SURIN,12 JUL 1967,CAN,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1165
46,10.12,+0.5,Frank FREDERICKS,02 OCT 1967,NAM,1,,Nice (FRA),15 JUL 1992,1165
46,10.12,+0.5,Olapade ADENIKEN,19 AUG 1969,NGR,6,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1165
46,10.12,+1.3,Olapade ADENIKEN,19 AUG 1969,NGR,3f1,,Linz (AUT),13 AUG 1992,1165
46,10.12,-0.7,Olapade ADENIKEN,19 AUG 1969,NGR,2f1,,Zürich (SUI),19 AUG 1992,1169
46,10.12,+0.2,Olapade ADENIKEN,19 AUG 1969,NGR,1,,Bruxelles (BEL),28 AUG 1992,1165
55,10.13,-0.5,Frank FREDERICKS,02 OCT 1967,NAM,1qf2,,"Estadio Olímpico, Barcelona (ESP)",31 JUL 1992,1165
55,10.13,+0.7,Olapade ADENIKEN,19 AUG 1969,NGR,1,,Köln (GER),16 AUG 1992,1162
55,10.13,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,Rieti (ITA),06 SEP 1992,1162
58,10.14,+1.8,Michael GREEN,07 NOV 1970,JAM,1,,Kingston (JAM),21 MAR 1992,1159
58,10.14,+1.0,Dennis MITCHELL,20 FEB 1966,USA,1,,Fort-de-France (FRA),25 APR 1992,1159
