Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.86,-0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1256
2,9.87,-0.3,Maurice GREENE,23 JUL 1974,USA,1,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1253
3,9.91,-0.4,Maurice GREENE,23 JUL 1974,USA,1,,Osaka (JPN),13 MAY 2000,1240
4,9.93,+0.3,Maurice GREENE,23 JUL 1974,USA,h,,"Sacramento, CA (USA)",14 JUL 2000,1231
5,9.94,-1.0,Maurice GREENE,23 JUL 1974,USA,1,,Zürich (SUI),11 AUG 2000,1233
6,9.95,+1.0,Ato BOLDON,30 DEC 1973,TTO,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1224
7,9.96,-0.2,Jon DRUMMOND,09 SEP 1968,USA,2,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1221
8,9.97,+0.7,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1217
8,9.97,+1.0,Francis OBIKWELU,22 NOV 1978,NGR,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1217
8,9.97,-1.0,Obadele THOMPSON,30 MAR 1976,BAR,2,,Zürich (SUI),11 AUG 2000,1223
11,9.98,+0.4,Coby MILLER,19 OCT 1976,USA,sf,,"Durham, NC (USA)",02 JUN 2000,1213
11,9.98,+2.0,Francis OBIKWELU,22 NOV 1978,NGR,1,,Braga (POR),21 JUN 2000,1213
11,9.98,-0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,Luzern (SUI),27 JUN 2000,1217
14,9.99,+0.4,Bernard WILLIAMS,19 JAN 1978,USA,sf,,"Durham, NC (USA)",02 JUN 2000,1210
14,9.99,-0.3,Ato BOLDON,30 DEC 1973,TTO,2,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1211
16,10.00,+1.9,Coby MILLER,19 OCT 1976,USA,1,,"Eugene, OR (USA)",24 JUN 2000,1206
16,10.00,+0.7,Francis OBIKWELU,22 NOV 1978,NGR,2f1,,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1206
16,10.00,+0.7,Ato BOLDON,30 DEC 1973,TTO,3f1,,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1206
16,10.00,+0.2,Ato BOLDON,30 DEC 1973,TTO,1f1,,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1206
16,10.00,-1.0,Ato BOLDON,30 DEC 1973,TTO,3,,Zürich (SUI),11 AUG 2000,1212
21,10.01,+0.2,Michael MARSH,04 AUG 1967,USA,1,,"Raleigh, NC (USA)",17 JUN 2000,1203
21,10.01,+0.5,Francis OBIKWELU,22 NOV 1978,NGR,h,,Athina (GRE),28 JUN 2000,1203
21,10.01,-1.7,Maurice GREENE,23 JUL 1974,USA,1,,"Sacramento, CA (USA)",15 JUL 2000,1213
21,10.01,+0.4,Ato BOLDON,30 DEC 1973,TTO,1,,Stockholm (SWE),01 AUG 2000,1203
21,10.01,+0.4,Obadele THOMPSON,30 MAR 1976,BAR,2,,Stockholm (SWE),01 AUG 2000,1203
21,10.01,-0.1,Maurice GREENE,23 JUL 1974,USA,1,,"Stade Louis II, Monaco (MON)",18 AUG 2000,1203
21,10.01,-0.2,Tim MONTGOMERY,28 JAN 1975,USA,3,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1204
28,10.02,+0.7,Brian LEWIS,05 DEC 1974,USA,4f1,,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1199
28,10.02,-1.0,Brian LEWIS,05 DEC 1974,USA,4,,Zürich (SUI),11 AUG 2000,1205
30,10.03,+1.6,Tim MONTGOMERY,28 JAN 1975,USA,1,,"Atlanta, GA (USA)",20 MAY 2000,1196
30,10.03,+1.2,Bernard WILLIAMS,19 JAN 1978,USA,1,,"Durham, NC (USA)",03 JUN 2000,1196
30,10.03,+0.4,Brian LEWIS,05 DEC 1974,USA,h,,"Sacramento, CA (USA)",14 JUL 2000,1196
33,10.04,+1.8,Kenny BROKENBURR,29 OCT 1968,USA,1,,"Durham, NC (USA)",08 APR 2000,1193
33,10.04,+0.5,Terrence TRAMMELL,23 NOV 1978,USA,sf,,"Durham, NC (USA)",02 JUN 2000,1193
33,10.04,+0.2,Coby MILLER,19 OCT 1976,USA,2,,"Raleigh, NC (USA)",17 JUN 2000,1193
33,10.04,+1.9,Ato BOLDON,30 DEC 1973,TTO,1h8,,"Olympic Stadium, Sydney (AUS)",22 SEP 2000,1193
33,10.04,+0.8,Obadele THOMPSON,30 MAR 1976,BAR,1qf3,,"Olympic Stadium, Sydney (AUS)",22 SEP 2000,1193
33,10.04,-0.3,Obadele THOMPSON,30 MAR 1976,BAR,3,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1194
39,10.05,0.0,Coby MILLER,19 OCT 1976,USA,1,,"Tempe, AZ (USA)",15 APR 2000,1189
39,10.05,+1.8,Bernard WILLIAMS,19 JAN 1978,USA,1,,"Baton Rouge, LA (USA)",14 MAY 2000,1189
39,10.05,+0.5,Greg SADDLER,29 JUN 1974,USA,2h2,,Athina (GRE),28 JUN 2000,1189
39,10.05,+1.0,Kaaron CONWRIGHT,08 AUG 1976,USA,1,,"Flagstaff, AZ (USA)",08 JUL 2000,1189
39,10.05,-1.5,Jon DRUMMOND,09 SEP 1968,USA,sf,,"Sacramento, CA (USA)",15 JUL 2000,1198
39,10.05,+1.0,Christopher WILLIAMS,15 MAR 1972,JAM,sf,,Kingston (JAM),21 JUL 2000,1189
39,10.05,+0.7,Coby MILLER,19 OCT 1976,USA,1,,Linz (AUT),08 AUG 2000,1189
39,10.05,-1.0,Tim MONTGOMERY,28 JAN 1975,USA,5,,Zürich (SUI),11 AUG 2000,1195
39,10.05,-0.2,Bernard WILLIAMS,19 JAN 1978,USA,4,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1190
48,10.06,+1.8,Tony MCCALL,16 JUN 1974,USA,2,,"Durham, NC (USA)",08 APR 2000,1186
48,10.06,+1.8,Tim MONTGOMERY,28 JAN 1975,USA,3,,"Durham, NC (USA)",08 APR 2000,1186
48,10.06,+1.4,Tim MONTGOMERY,28 JAN 1975,USA,1,,Chania (GRE),14 JUN 2000,1186
48,10.06,+0.4,Brian LEWIS,05 DEC 1974,USA,1,,Helsinki (FIN),15 JUN 2000,1186
48,10.06,+1.5,Donovan BAILEY,16 DEC 1967,CAN,h,,Luzern (SUI),27 JUN 2000,1186
48,10.06,-0.1,Francis OBIKWELU,22 NOV 1978,NGR,1,,Nice (FRA),08 JUL 2000,1186
48,10.06,-0.6,Maurice GREENE,23 JUL 1974,USA,sf,,"Sacramento, CA (USA)",15 JUL 2000,1189
48,10.06,+0.4,Darren CAMPBELL,12 SEP 1973,GBR,3,,Stockholm (SWE),01 AUG 2000,1186
48,10.06,+0.7,Aziz ZAKARI,02 SEP 1976,GHA,2,,Linz (AUT),08 AUG 2000,1186
48,10.06,-1.0,Francis OBIKWELU,22 NOV 1978,NGR,6,,Zürich (SUI),11 AUG 2000,1192
48,10.06,-0.1,Obadele THOMPSON,30 MAR 1976,BAR,2,,"Stade Louis II, Monaco (MON)",18 AUG 2000,1186
48,10.06,+0.2,Maurice GREENE,23 JUL 1974,USA,1sf2,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1186
60,10.07,+0.4,Lindel FRATER,13 NOV 1977,JAM,sf,,"Durham, NC (USA)",02 JUN 2000,1182
60,10.07,+1.3,Ato BOLDON,30 DEC 1973,TTO,h,,Athina (GRE),28 JUN 2000,1182
60,10.07,-1.7,Curtis JOHNSON,24 DEC 1973,USA,2,,"Sacramento, CA (USA)",15 JUL 2000,1192
60,10.07,-1.7,Jon DRUMMOND,09 SEP 1968,USA,3,,"Sacramento, CA (USA)",15 JUL 2000,1192
64,10.08,+0.4,Maurice GREENE,23 JUL 1974,USA,2,,Helsinki (FIN),15 JUN 2000,1179
64,10.08,+0.7,Bruny SURIN,12 JUL 1967,CAN,1,,Villeneuve d'Ascq (FRA),17 JUN 2000,1179
64,10.08,+1.9,Kenny BROKENBURR,29 OCT 1968,USA,2,,"Eugene, OR (USA)",24 JUN 2000,1179
64,10.08,-0.8,Greg SADDLER,29 JUN 1974,USA,1,,Athina (GRE),28 JUN 2000,1183
64,10.08,-0.3,Dwain CHAMBERS,05 APR 1978,GBR,4,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1180
69,10.09,+1.4,Dennis MITCHELL,20 FEB 1966,USA,2,,Chania (GRE),14 JUN 2000,1176
69,10.09,+1.0,Jason GARDENER,17 SEP 1975,GBR,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1176
69,10.09,-1.7,Brian LEWIS,05 DEC 1974,USA,4,,"Sacramento, CA (USA)",15 JUL 2000,1186
69,10.09,+1.0,Llewellyn BREDWOOD,30 APR 1976,JAM,sf,,Kingston (JAM),21 JUL 2000,1176
69,10.09,+0.4,Ato BOLDON,30 DEC 1973,TTO,1h2,,Stockholm (SWE),01 AUG 2000,1176
69,10.09,+0.7,Obadele THOMPSON,30 MAR 1976,BAR,3,,Linz (AUT),08 AUG 2000,1176
69,10.09,-1.6,Maurice GREENE,23 JUL 1974,USA,1h2,,Zürich (SUI),11 AUG 2000,1185
69,10.09,+0.4,Tim MONTGOMERY,28 JAN 1975,USA,1,,Leverkusen (GER),20 AUG 2000,1176
69,10.09,-0.3,Jon DRUMMOND,09 SEP 1968,USA,5,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1177
78,10.10,+1.6,Patrick JOHNSON,26 SEP 1972,AUS,1,,Melbourne (AUS),02 MAR 2000,1172
78,10.10,+1.8,Tony MCCALL,16 JUN 1974,USA,h,,"Durham, NC (USA)",08 APR 2000,1172
78,10.10,+1.8,Coby MILLER,19 OCT 1976,USA,2,,"Baton Rouge, LA (USA)",14 MAY 2000,1172
78,10.10,+0.5,Kaaron CONWRIGHT,08 AUG 1976,USA,h,,"Durham, NC (USA)",01 JUN 2000,1172
78,10.10,+0.5,Kenny BROKENBURR,29 OCT 1968,USA,1,,Nassau (BAH),09 JUN 2000,1172
78,10.10,+0.4,Brian LEWIS,05 DEC 1974,USA,1,,"Stade de France, Paris-St-Denis (FRA)",23 JUN 2000,1172
78,10.10,+0.4,Greg SADDLER,29 JUN 1974,USA,1,,Nürnberg (GER),25 JUN 2000,1172
78,10.10,+1.0,Roland NÉMETH,19 SEP 1974,HUN,4f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1172
78,10.10,-0.8,Curtis JOHNSON,24 DEC 1973,USA,h,,"Sacramento, CA (USA)",14 JUL 2000,1176
78,10.10,+0.5,Lindel FRATER,13 NOV 1977,JAM,1,,Kingston (JAM),21 JUL 2000,1172
78,10.10,+1.0,Lindel FRATER,13 NOV 1977,JAM,sf,,Kingston (JAM),21 JUL 2000,1172
