Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.98,+0.6,Silvio LEONARD,20 SEP 1955,CUB,1,,Guadalajara (MEX),11 AUG 1977,1213
2,10.03,+1.7,Silvio LEONARD,20 SEP 1955,CUB,1,,La Habana (CUB),13 SEP 1977,1196
3,10.08,+0.2,Silvio LEONARD,20 SEP 1955,CUB,1,,Sofia (BUL),20 AUG 1977,1179
4,10.11,,Robert WOODS,07 MAR 1955,USA,1,,"Austin, TX (USA)",02 APR 1977,1169
5,10.12,+0.9,Don QUARRIE,25 FEB 1951,JAM,1,,"Westwood, CA (USA)",11 JUN 1977,1165
5,10.12,0.0,Eugen RAY,26 JUL 1957,GDR,1,,Helsinki (FIN),13 AUG 1977,1165
7,10.13,+0.5,Houston MCTEAR,12 FEB 1957,USA,1,,Köln (GER),22 JUN 1977,1162
7,10.13,,Don QUARRIE,25 FEB 1951,JAM,1h,,Guadalajara (MEX),10 AUG 1977,1162
7,10.13,,Eugen RAY,26 JUL 1957,GDR,1,,Halle (GER),27 AUG 1977,1162
7,10.13,-0.3,Steve WILLIAMS,13 NOV 1953,USA,1,,"Rheinstadion, Düsseldorf (GER)",02 SEP 1977,1163
11,10.14,+0.8,Eugen RAY,26 JUL 1957,GDR,1,,Karl Marx Stadt (GDR),25 JUN 1977,1159
11,10.14,+1.6,Eugen RAY,26 JUL 1957,GDR,1,,Dresden (GER),01 JUL 1977,1159
13,10.15,+1.8,Eugen RAY,26 JUL 1957,GDR,1,,Athina (GRE),16 JUL 1977,1155
13,10.15,-0.3,Eugen RAY,26 JUL 1957,GDR,2,,"Rheinstadion, Düsseldorf (GER)",02 SEP 1977,1156
15,10.16,,Harvey GLANCE,28 MAR 1957,USA,2,,"Tuscaloosa, AL (USA)",13 MAY 1977,1152
15,10.16,+2.0,Steve WILLIAMS,13 NOV 1953,USA,1h2,,Firenze (ITA),01 JUN 1977,1152
15,10.16,-1.5,Steve WILLIAMS,13 NOV 1953,USA,1,,Zürich (SUI),24 AUG 1977,1161
18,10.17,,Eugen RAY,26 JUL 1957,GDR,1,,Dresden (GER),07 AUG 1977,1148
19,10.18,,Houston MCTEAR,12 FEB 1957,USA,1,,San José (USA),09 APR 1977,1145
19,10.18,+1.7,Clancy EDWARDS,09 AUG 1955,USA,1,,"Westwood, CA (USA)",30 APR 1977,1145
19,10.18,0.0,Houston MCTEAR,12 FEB 1957,USA,1,,"Bakersfield, CA (USA)",27 MAY 1977,1145
19,10.18,+0.5,Silvio LEONARD,20 SEP 1955,CUB,1,,Ostrava (TCH),08 JUN 1977,1145
19,10.18,+0.5,Silvio LEONARD,20 SEP 1955,CUB,1h2,,Guadalajara (MEX),10 AUG 1977,1145
24,10.19,,Willie TURNER,14 OCT 1948,USA,2,,"Austin, TX (USA)",02 APR 1977,1142
24,10.19,+1.6,Steve WILLIAMS,13 NOV 1953,USA,1,,Firenze (ITA),01 JUN 1977,1142
24,10.19,+0.2,Petar PETROV,17 FEB 1955,BUL,2,,Sofia (BUL),20 AUG 1977,1142
24,10.19,-0.3,Silvio LEONARD,20 SEP 1955,CUB,3,,"Rheinstadion, Düsseldorf (GER)",02 SEP 1977,1143
28,10.20,,Mike KIRTMAN,1956,USA,2,,San José (USA),16 MAR 1977,1138
28,10.20,0.0,Silvio LEONARD,20 SEP 1955,CUB,1,,Bydgoszcz (POL),18 JUN 1977,1138
28,10.20,+0.6,Osvaldo LARA,13 JUL 1955,CUB,2,,Guadalajara (MEX),11 AUG 1977,1138
28,10.20,-0.7,Steve WILLIAMS,13 NOV 1953,USA,1h2,,Zürich (SUI),24 AUG 1977,1142
32,10.21,,Harvey GLANCE,28 MAR 1957,USA,1,,"Auburn, AL (USA)",16 APR 1977,1135
32,10.21,+0.9,Cliff WILEY,21 MAY 1955,USA,1,,"Lawrence, KS (USA)",23 APR 1977,1135
32,10.21,+0.5,Don QUARRIE,25 FEB 1951,JAM,2,,Köln (GER),22 JUN 1977,1135
32,10.21,+0.6,Silvio LEONARD,20 SEP 1955,CUB,1sf1,,Sofia (BUL),20 AUG 1977,1135
36,10.22,,Johnny WILLIAMS,23 JUL 1954,USA,1,,"Knoxville, TN (USA)",16 APR 1977,1132
36,10.22,+1.7,Joel ANDREWS,17 OCT 1956,USA,2,,"Westwood, CA (USA)",01 MAY 1977,1132
36,10.22,+1.2,Guy ABRAHAMS,07 MAR 1953,PAN,1f1,,"Modesto, CA (USA)",21 MAY 1977,1132
36,10.22,+1.5,Hasely CRAWFORD,16 AUG 1950,TTO,1,,"Norwalk, CA (USA)",29 MAY 1977,1132
36,10.22,+1.6,Hasely CRAWFORD,16 AUG 1950,TTO,2,,Firenze (ITA),01 JUN 1977,1132
36,10.22,+0.2,Harvey GLANCE,28 MAR 1957,USA,1,,"Champaign, IL (USA)",03 JUN 1977,1132
36,10.22,+0.2,Harvey GLANCE,28 MAR 1957,USA,1,,"Champaign, IL (USA)",08 JUN 1977,1132
36,10.22,,Silvio LEONARD,20 SEP 1955,CUB,1,,Praha (TCH),21 JUN 1977,1132
36,10.22,+1.6,Alexander THIEME,13 JAN 1954,GDR,2,,Dresden (GER),01 JUL 1977,1132
36,10.22,-1.5,Don QUARRIE,25 FEB 1951,JAM,2,,Zürich (SUI),24 AUG 1977,1141
46,10.23,+0.5,Johnny JONES,04 APR 1958,USA,3,,Köln (GER),22 JUN 1977,1128
47,10.24,0.0,Johnny JONES,04 APR 1958,USA,1sf1,,"Champaign, IL (USA)",03 JUN 1977,1125
47,10.24,+0.9,Steve WILLIAMS,13 NOV 1953,USA,2,,"Westwood, CA (USA)",11 JUN 1977,1125
49,10.25,0.0,Johnny JONES,04 APR 1958,USA,1,,Düsseldorf (GER),01 JUL 1977,1122
49,10.25,+1.8,Pietro MENNEA,28 JUN 1952,ITA,2,,Athina (GRE),16 JUL 1977,1122
49,10.25,0.0,Steve RIDDICK,18 SEP 1951,USA,1,,Viareggio (ITA),03 AUG 1977,1122
49,10.25,,Steve WILLIAMS,13 NOV 1953,USA,1,,Bruxelles (BEL),16 AUG 1977,1122
49,10.25,-1.5,Steve RIDDICK,18 SEP 1951,USA,3,,Zürich (SUI),24 AUG 1977,1131
49,10.25,+0.5,Steve WILLIAMS,13 NOV 1953,USA,1,,Wattenscheid (GER),23 SEP 1977,1122
55,10.26,-1.0,Steve WILLIAMS,13 NOV 1953,USA,1,,Kingston (JAM),13 MAY 1977,1124
55,10.26,0.0,Houston MCTEAR,12 FEB 1957,USA,1h1,,Kingston (JAM),13 MAY 1977,1118
55,10.26,,Eugen RAY,26 JUL 1957,GDR,1,,Karl Marx Stadt (GDR),04 JUN 1977,1118
55,10.26,+1.8,Houston MCTEAR,12 FEB 1957,USA,1,,Gelsenkirchen (FRG),25 JUN 1977,1118
55,10.26,+0.5,Ephraim SERRETTE,06 OCT 1957,TTO,2h2,,Guadalajara (MEX),10 AUG 1977,1118
55,10.26,+1.7,Osvaldo LARA,13 JUL 1955,CUB,2,,La Habana (CUB),13 SEP 1977,1118
61,10.27,+0.9,Clancy EDWARDS,09 AUG 1955,USA,1,,"Tempe, AZ (USA)",19 MAR 1977,1115
61,10.27,+0.9,Johnny WILLIAMS,23 JUL 1954,USA,2,,"Lawrence, KS (USA)",23 APR 1977,1115
61,10.27,+0.2,Johnny JONES,04 APR 1958,USA,2,,"Champaign, IL (USA)",03 JUN 1977,1115
61,10.27,+0.1,Harvey GLANCE,28 MAR 1957,USA,1sf2,,"Champaign, IL (USA)",03 JUN 1977,1115
61,10.27,+0.9,Mike KEE,12 JUN 1957,USA,3,,"Westwood, CA (USA)",11 JUN 1977,1115
61,10.27,0.0,Clancy EDWARDS,09 AUG 1955,USA,2,,Bydgoszcz (POL),18 JUN 1977,1115
61,10.27,0.0,Silvio LEONARD,20 SEP 1955,CUB,1,,Milano (ITA),02 JUL 1977,1115
68,10.28,0.0,Steve WILLIAMS,13 NOV 1953,USA,2h1,,Kingston (JAM),13 MAY 1977,1112
68,10.28,+0.2,Calvin DILL,04 SEP 1955,BER,3,,"Champaign, IL (USA)",03 JUN 1977,1112
68,10.28,,Steve WILLIAMS,13 NOV 1953,USA,1,,Torino (ITA),20 JUN 1977,1112
68,10.28,+0.5,Steve RIDDICK,18 SEP 1951,USA,4,,Köln (GER),22 JUN 1977,1112
68,10.28,0.0,Houston MCTEAR,12 FEB 1957,USA,1h3,,Köln (GER),22 JUN 1977,1112
68,10.28,+0.6,Hasely CRAWFORD,16 AUG 1950,TTO,3,,Guadalajara (MEX),11 AUG 1977,1112
74,10.29,,Don QUARRIE,25 FEB 1951,JAM,2,,San José (USA),09 APR 1977,1108
74,10.29,+0.5,Steve WILLIAMS,13 NOV 1953,USA,5,,Köln (GER),22 JUN 1977,1108
74,10.29,+0.5,Harvey GLANCE,28 MAR 1957,USA,6,,Köln (GER),22 JUN 1977,1108
74,10.29,+0.5,Houston MCTEAR,12 FEB 1957,USA,1,,Koblenz (GER),06 JUL 1977,1108
74,10.29,+0.5,Johnny JONES,04 APR 1958,USA,2,,Koblenz (GER),06 JUL 1977,1108
74,10.29,0.0,Pietro MENNEA,28 JUN 1952,ITA,1,,Siena (ITA),30 JUL 1977,1108
74,10.29,0.0,Pietro MENNEA,28 JUN 1952,ITA,2,,Helsinki (FIN),13 AUG 1977,1108
74,10.29,+0.6,Steve WILLIAMS,13 NOV 1953,USA,1,,Fürth (GER),11 SEP 1977,1108
74,10.29,,Osvaldo LARA,13 JUL 1955,CUB,1h3,,La Habana (CUB),13 SEP 1977,1108
83,10.30,+0.9,Ed PRESTON,12 DEC 1955,USA,3,,"Lawrence, KS (USA)",23 APR 1977,1105
83,10.30,+0.4,Derald HARRIS,05 APR 1958,USA,1,,"Fresno, CA (USA)",07 MAY 1977,1105
83,10.30,0.0,Mike KEE,12 JUN 1957,USA,1h3,,"Westwood, CA (USA)",10 JUN 1977,1105
83,10.30,-1.1,Eugen RAY,26 JUL 1957,GDR,1,,Berlin (GER),15 JUN 1977,1111
83,10.30,0.0,Pietro MENNEA,28 JUN 1952,ITA,2,,Viareggio (ITA),03 AUG 1977,1105
83,10.30,-0.6,Steve RIDDICK,18 SEP 1951,USA,1,,Nice (FRA),21 AUG 1977,1108
