Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.93,+1.0,Carl LEWIS,01 JUL 1961,USA,1,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1231
2,10.03,+1.7,Linford CHRISTIE,02 APR 1960,GBR,1f1,,Budapest (HUN),06 JUL 1987,1196
2,10.03,-1.3,Carl LEWIS,01 JUL 1961,USA,1sf2,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1203
4,10.04,+1.8,Mark WITHERSPOON,03 SEP 1963,USA,1,,San José (USA),27 JUN 1987,1193
5,10.05,+1.8,Carl LEWIS,01 JUL 1961,USA,2,,San José (USA),27 JUN 1987,1189
5,10.05,+1.5,Carl LEWIS,01 JUL 1961,USA,1h6,,"Stadio Olimpico, Roma (ITA)",29 AUG 1987,1189
5,10.05,0.0,Carl LEWIS,01 JUL 1961,USA,1f2,,Rieti (ITA),08 SEP 1987,1189
8,10.06,+0.3,Andres SIMÓN,15 SEP 1961,CUB,1,,La Habana (CUB),01 AUG 1987,1186
9,10.07,+0.5,Carl LEWIS,01 JUL 1961,USA,1,,Sevilla (ESP),28 MAY 1987,1182
9,10.07,+0.5,Lee MCRAE,23 JAN 1966,USA,1,,Zagreb (CRO),14 JUL 1987,1182
9,10.07,+0.3,Lee MCRAE,23 JAN 1966,USA,1,,"Durham, NC (USA)",26 JUL 1987,1182
9,10.07,-1.2,Calvin SMITH,08 JAN 1961,USA,1,,"Letzigrund, Zürich (SUI)",19 AUG 1987,1189
13,10.08,+1.8,Lee MCRAE,23 JAN 1966,USA,3,,San José (USA),27 JUN 1987,1179
13,10.08,+1.0,Raymond STEWART,18 MAR 1965,JAM,2,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1179
15,10.09,+1.5,Max MORINIÉRE,16 FEB 1964,FRA,1,,Vénissieux (FRA),03 JUL 1987,1176
15,10.09,+0.3,Calvin SMITH,08 JAN 1961,USA,2,,"Durham, NC (USA)",26 JUL 1987,1176
15,10.09,0.0,Calvin SMITH,08 JAN 1961,USA,1,,Köln (GER),16 AUG 1987,1176
15,10.09,+0.3,Attila KOVÁCS,02 SEP 1960,HUN,1,,Miskolc (HUN),20 AUG 1987,1176
19,10.10,+0.3,Leandro PENALVER,23 MAY 1961,CUB,2,,La Habana (CUB),01 AUG 1987,1172
19,10.10,-1.2,Raymond STEWART,18 MAR 1965,JAM,2,,"Letzigrund, Zürich (SUI)",19 AUG 1987,1179
21,10.11,+1.9,Vadim DAVYDOV,22 APR 1960,URS,1h1,,Bryansk (URS),16 JUL 1987,1169
21,10.11,0.0,Carl LEWIS,01 JUL 1961,USA,1,,Lausanne (SUI),15 SEP 1987,1169
23,10.12,+0.5,Carl LEWIS,01 JUL 1961,USA,1,,"Houston, TX (USA)",03 MAY 1987,1165
23,10.12,+1.9,Dennis MITCHELL,20 FEB 1966,USA,1,,"Knoxville, TN (USA)",23 MAY 1987,1165
23,10.12,-0.8,Carl LEWIS,01 JUL 1961,USA,1,,Madrid (ESP),04 JUN 1987,1169
23,10.12,-0.5,Viktor BRYZGIN,22 AUG 1962,URS,1,,Karl Marx Stadt (GDR),20 JUN 1987,1168
23,10.12,+0.4,Calvin SMITH,08 JAN 1961,USA,1,,"Olympiastadion, Berlin (GER)",21 AUG 1987,1165
23,10.12,-1.3,Raymond STEWART,18 MAR 1965,JAM,2sf2,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1172
29,10.13,+1.6,Mark WITHERSPOON,03 SEP 1963,USA,1,,"Walnut, CA (USA)",26 APR 1987,1162
29,10.13,0.0,Raymond STEWART,18 MAR 1965,JAM,1,,Kingston (JAM),02 MAY 1987,1162
29,10.13,+1.5,Carl LEWIS,01 JUL 1961,USA,1sf2,,San José (USA),27 JUN 1987,1162
32,10.14,+0.6,Mark WITHERSPOON,03 SEP 1963,USA,1,,"Westwood, CA (USA)",16 MAY 1987,1159
32,10.14,+0.6,Harvey GLANCE,28 MAR 1957,USA,2,,"Westwood, CA (USA)",16 MAY 1987,1159
32,10.14,+0.7,Raymond STEWART,18 MAR 1965,JAM,1,,"Baton Rouge, LA (USA)",06 JUN 1987,1159
32,10.14,+0.6,Lee MCNEILL,02 DEC 1964,USA,1h2,,San José (USA),25 JUN 1987,1159
32,10.14,+1.7,Raymond STEWART,18 MAR 1965,JAM,2f1,,Budapest (HUN),06 JUL 1987,1159
32,10.14,+1.7,Lee MCRAE,23 JAN 1966,USA,3f1,,Budapest (HUN),06 JUL 1987,1159
32,10.14,-0.4,Raymond STEWART,18 MAR 1965,JAM,1qf4,,"Stadio Olimpico, Roma (ITA)",29 AUG 1987,1161
32,10.14,+1.0,Linford CHRISTIE,02 APR 1960,GBR,3,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1159
40,10.15,+0.6,Henry THOMAS,10 JUL 1967,USA,2h2,,San José (USA),25 JUN 1987,1155
40,10.15,+0.6,Calvin SMITH,08 JAN 1961,USA,1,,Roma (ITA),22 JUL 1987,1155
40,10.15,+0.3,Lee MCNEILL,02 DEC 1964,USA,3,,"Durham, NC (USA)",26 JUL 1987,1155
43,10.16,-1.0,Vladimir KRYLOV,26 FEB 1964,URS,1h3,,Moskva (URS),06 JUN 1987,1158
43,10.16,-1.2,Stanley FLOYD,23 JUN 1961,USA,3,,"Letzigrund, Zürich (SUI)",19 AUG 1987,1159
43,10.16,-0.7,Linford CHRISTIE,02 APR 1960,GBR,1,,London (GBR),22 AUG 1987,1156
46,10.17,-3.2,Chidi IMOH,27 AUG 1963,NGR,1,,"Des Moines, IA (USA)",25 APR 1987,1167
46,10.17,+1.7,Floyd HEARD,24 MAR 1966,USA,1,,"Houston, TX (USA)",23 MAY 1987,1148
46,10.17,+0.6,Harvey GLANCE,28 MAR 1957,USA,3h2,,San José (USA),25 JUN 1987,1148
46,10.17,-0.1,Lee MCRAE,23 JAN 1966,USA,1,,London (GBR),10 JUL 1987,1148
46,10.17,+0.1,Andrew SMITH,29 JAN 1964,JAM,1,,Kingston (JAM),18 SEP 1987,1148
51,10.18,+0.6,Henry THOMAS,10 JUL 1967,USA,3,,"Westwood, CA (USA)",16 MAY 1987,1145
51,10.18,-0.8,Chidi IMOH,27 AUG 1963,NGR,2,,Madrid (ESP),04 JUN 1987,1149
51,10.18,-0.1,Chidi IMOH,27 AUG 1963,NGR,2,,London (GBR),10 JUL 1987,1145
51,10.18,+0.6,Thomas JEFFERSON,08 JUN 1962,USA,1,,Barcelona (ESP),15 JUL 1987,1145
51,10.18,+1.1,Max MORINIÉRE,16 FEB 1964,FRA,1,,Annecy (FRA),08 AUG 1987,1145
51,10.18,+0.8,Stanley FLOYD,23 JUN 1961,USA,1,,Gelnhausen (GER),13 SEP 1987,1145
57,10.19,+1.2,Raymond STEWART,18 MAR 1965,JAM,1h1,,"Lubbock, TX (USA)",16 MAY 1987,1142
57,10.19,+1.1,Dennis MITCHELL,20 FEB 1966,USA,1,,"Tuscaloosa, AL (USA)",17 MAY 1987,1142
57,10.19,+1.9,Wallace SPEARMON,03 SEP 1962,USA,2,,"Knoxville, TN (USA)",23 MAY 1987,1142
57,10.19,-0.5,Steffen BRINGMANN,11 MAR 1964,GDR,2,,Karl Marx Stadt (GDR),20 JUN 1987,1145
57,10.19,0.0,Chidi IMOH,27 AUG 1963,NGR,1,,Lagos (NGR),20 JUN 1987,1142
57,10.19,-0.5,Raymond STEWART,18 MAR 1965,JAM,1,,Nice (FRA),13 JUL 1987,1145
57,10.19,+0.5,Andreas BERGER,09 JUN 1961,AUT,1h1,,Vöcklabruck (AUT),15 AUG 1987,1142
64,10.20,+1.7,Stanley FLOYD,23 JUN 1961,USA,2,,"Houston, TX (USA)",23 MAY 1987,1138
64,10.20,+0.6,Lee MCRAE,23 JAN 1966,USA,1,,"Villanova, PA (USA)",24 MAY 1987,1138
64,10.20,-0.8,Mark WITHERSPOON,03 SEP 1963,USA,3,,Madrid (ESP),04 JUN 1987,1142
64,10.20,+0.4,Marian WORONIN,13 AUG 1956,POL,1,,Łódź (POL),16 JUN 1987,1138
64,10.20,+1.5,Lee MCRAE,23 JAN 1966,USA,2sf2,,San José (USA),27 JUN 1987,1138
64,10.20,+0.3,Max MORINIÉRE,16 FEB 1964,FRA,1,,Caorle (ITA),09 JUL 1987,1138
64,10.20,+0.3,Harvey GLANCE,28 MAR 1957,USA,4,,"Durham, NC (USA)",26 JUL 1987,1138
64,10.20,-0.4,Stanley FLOYD,23 JUN 1961,USA,1h1,,"Letzigrund, Zürich (SUI)",19 AUG 1987,1140
64,10.20,+1.8,Vladimir KRYLOV,26 FEB 1964,URS,1,,Moskva (URS),21 AUG 1987,1138
64,10.20,-0.1,Chidi IMOH,27 AUG 1963,NGR,1qf3,,"Stadio Olimpico, Roma (ITA)",29 AUG 1987,1138
64,10.20,+1.0,Attila KOVÁCS,02 SEP 1960,HUN,4,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1138
75,10.21,0.0,Ray HILL,24 JUN 1967,USA,1,,"Tempe, AZ (USA)",04 APR 1987,1135
75,10.21,+1.6,Joe DELOACH,05 JUN 1967,USA,2,,"Walnut, CA (USA)",26 APR 1987,1135
75,10.21,+0.7,Lee MCRAE,23 JAN 1966,USA,2,,"Baton Rouge, LA (USA)",06 JUN 1987,1135
75,10.21,-0.9,Viktor BRYZGIN,22 AUG 1962,URS,1,,Moskva (URS),06 JUN 1987,1140
75,10.21,-0.5,Frank EMMELMANN,15 SEP 1961,GDR,3,,Karl Marx Stadt (GDR),20 JUN 1987,1138
75,10.21,-0.5,Andrey FEDORIV,11 AUG 1963,URS,4,,Karl Marx Stadt (GDR),20 JUN 1987,1138
75,10.21,+1.8,Harvey GLANCE,28 MAR 1957,USA,4,,San José (USA),27 JUN 1987,1135
75,10.21,+1.6,Wallace SPEARMON,03 SEP 1962,USA,1,,Rhede (GER),03 JUL 1987,1135
75,10.21,-0.1,Linford CHRISTIE,02 APR 1960,GBR,3,,London (GBR),10 JUL 1987,1135
75,10.21,+0.5,Brian COOPER,21 AUG 1965,USA,2,,Zagreb (CRO),14 JUL 1987,1135
75,10.21,+0.7,Calvin SMITH,08 JAN 1961,USA,1,,Hengelo (NED),19 JUL 1987,1135
75,10.21,+1.0,Bruno MARIE-ROSE,20 MAY 1965,FRA,1,,Bruxelles (BEL),01 AUG 1987,1135
75,10.21,+0.3,Ricardo CHACÓN,30 APR 1963,CUB,3,,La Habana (CUB),01 AUG 1987,1135
