Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.94,+0.8,Leroy BURRELL,21 FEB 1967,USA,1,,"Houston, TX (USA)",16 JUN 1989,1227
2,9.97,+1.0,Raymond STEWART,18 MAR 1965,JAM,1,,"Waco, TX (USA)",20 MAY 1989,1217
3,10.02,+0.1,Frank FREDERICKS,02 OCT 1967,NAM,1,,"Provo, UT (USA)",27 MAY 1989,1199
4,10.03,+1.0,Leroy BURRELL,21 FEB 1967,USA,2,,"Waco, TX (USA)",20 MAY 1989,1196
4,10.03,+0.8,Dennis MITCHELL,20 FEB 1966,USA,2,,"Houston, TX (USA)",16 JUN 1989,1196
4,10.03,+1.0,Leroy BURRELL,21 FEB 1967,USA,1sf1,,"Houston, TX (USA)",16 JUN 1989,1196
4,10.03,0.0,Dennis MITCHELL,20 FEB 1966,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1196
4,10.03,0.0,Raymond STEWART,18 MAR 1965,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1196
9,10.04,+0.8,Andre CASON,20 JAN 1969,USA,3,,"Houston, TX (USA)",16 JUN 1989,1193
10,10.05,+0.1,Raymond STEWART,18 MAR 1965,JAM,1h2,,"Provo, UT (USA)",01 JUN 1989,1189
10,10.05,-0.1,Carl LEWIS,01 JUL 1961,USA,1,,Villeneuve d'Ascq (FRA),25 JUN 1989,1189
10,10.05,+1.2,Calvin SMITH,08 JAN 1961,USA,1,,Oslo (NOR),01 JUL 1989,1189
13,10.06,+2.0,Dennis MITCHELL,20 FEB 1966,USA,1,,"Gainesville, FL (USA)",08 APR 1989,1186
14,10.07,+2.0,Michael MARSH,04 AUG 1967,USA,2,,"Gainesville, FL (USA)",08 APR 1989,1182
14,10.07,-0.1,Raymond STEWART,18 MAR 1965,JAM,2,,Villeneuve d'Ascq (FRA),25 JUN 1989,1182
14,10.07,+1.8,Andre CASON,20 JAN 1969,USA,1qf4,,Duisburg (GER),25 AUG 1989,1182
17,10.08,+1.7,Leroy BURRELL,21 FEB 1967,USA,1,,"Olympiastadion, Berlin (GER)",18 AUG 1989,1179
18,10.09,-0.7,Carl LEWIS,01 JUL 1961,USA,1f1,,"Letzigrund, Zürich (SUI)",16 AUG 1989,1180
19,10.10,-0.3,Raymond STEWART,18 MAR 1965,JAM,1,,Bruxelles (BEL),25 AUG 1989,1173
19,10.10,+0.5,Linford CHRISTIE,02 APR 1960,GBR,1,,"Estadio Olímpico, Barcelona (ESP)",08 SEP 1989,1172
21,10.11,+2.0,Calvin SMITH,08 JAN 1961,USA,1,,"El Paso, TX (USA)",16 APR 1989,1169
21,10.11,+1.8,Sven MATTHES,23 AUG 1969,GDR,1,,Rostock (GER),22 JUN 1989,1169
21,10.11,-0.1,Leroy BURRELL,21 FEB 1967,USA,3,,Villeneuve d'Ascq (FRA),25 JUN 1989,1169
21,10.11,+1.2,Carl LEWIS,01 JUL 1961,USA,2,,Oslo (NOR),01 JUL 1989,1169
25,10.12,0.0,Leroy BURRELL,21 FEB 1967,USA,1h1,,"Provo, UT (USA)",01 JUN 1989,1165
25,10.12,+0.8,Brian COOPER,21 AUG 1965,USA,4,,"Houston, TX (USA)",16 JUN 1989,1165
25,10.12,+1.2,Dennis MITCHELL,20 FEB 1966,USA,3,,Oslo (NOR),01 JUL 1989,1165
28,10.13,+1.3,Carl LEWIS,01 JUL 1961,USA,1,,Les Abymes (FRA),06 MAY 1989,1162
28,10.13,-1.1,Carl LEWIS,01 JUL 1961,USA,1,,Malmö (SWE),10 AUG 1989,1168
28,10.13,+0.4,Raymond STEWART,18 MAR 1965,JAM,1,,"Stade Louis II, Monaco (MON)",01 SEP 1989,1162
31,10.14,+1.0,Andre CASON,20 JAN 1969,USA,3,,"Waco, TX (USA)",20 MAY 1989,1159
31,10.14,+0.8,Mark WITHERSPOON,03 SEP 1963,USA,5,,"Houston, TX (USA)",16 JUN 1989,1159
31,10.14,+1.8,Bruny SURIN,12 JUL 1967,CAN,1,,Ottawa (CAN),05 AUG 1989,1159
31,10.14,+0.7,Dennis MITCHELL,20 FEB 1966,USA,2f1,,"Letzigrund, Zürich (SUI)",16 AUG 1989,1159
31,10.14,-0.1,Michael MARSH,04 AUG 1967,USA,1f2,,"Letzigrund, Zürich (SUI)",16 AUG 1989,1159
31,10.14,+0.7,Raymond STEWART,18 MAR 1965,JAM,1f1,,Rieti (ITA),03 SEP 1989,1159
31,10.14,+0.5,Raymond STEWART,18 MAR 1965,JAM,1,,Verona (ITA),12 SEP 1989,1159
38,10.15,+0.8,Slip WATKINS,29 SEP 1967,USA,6,,"Houston, TX (USA)",16 JUN 1989,1155
38,10.15,+1.7,Linford CHRISTIE,02 APR 1960,GBR,2,,"Olympiastadion, Berlin (GER)",18 AUG 1989,1155
38,10.15,+0.5,Leroy BURRELL,21 FEB 1967,USA,2,,"Estadio Olímpico, Barcelona (ESP)",08 SEP 1989,1155
41,10.16,0.0,Raymond STEWART,18 MAR 1965,JAM,1,,Kingston (JAM),06 MAY 1989,1152
41,10.16,+1.2,Leroy BURRELL,21 FEB 1967,USA,4,,Oslo (NOR),01 JUL 1989,1152
41,10.16,-0.7,Linford CHRISTIE,02 APR 1960,GBR,1,,Birmingham (GBR),11 AUG 1989,1156
41,10.16,+1.8,Bruno MARIE-ROSE,20 MAY 1965,FRA,1,,Tours (FRA),13 AUG 1989,1152
41,10.16,+0.9,Mark WITHERSPOON,03 SEP 1963,USA,1,,Koblenz (GER),23 AUG 1989,1152
41,10.16,+1.1,Olapade ADENIKEN,19 AUG 1969,NGR,1qf3,,Duisburg (GER),25 AUG 1989,1152
41,10.16,-0.3,Linford CHRISTIE,02 APR 1960,GBR,2,,Bruxelles (BEL),25 AUG 1989,1153
48,10.17,+1.1,Greg MOSES,29 DEC 1965,USA,1,,"Athens, GA (USA)",18 MAR 1989,1148
48,10.17,+0.8,Daron COUNCIL,26 DEC 1964,USA,7,,"Houston, TX (USA)",16 JUN 1989,1148
48,10.17,0.0,Leroy BURRELL,21 FEB 1967,USA,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1148
48,10.17,+1.9,Daniel SANGOUMA,07 FEB 1965,FRA,1,,Casablanca (MAR),14 JUL 1989,1148
48,10.17,+0.2,Andre CASON,20 JAN 1969,USA,1,,Linz (AUT),14 AUG 1989,1148
48,10.17,+0.9,Robson DA SILVA,04 SEP 1964,BRA,2,,Koblenz (GER),23 AUG 1989,1148
48,10.17,+0.5,Daniel SANGOUMA,07 FEB 1965,FRA,3,,"Estadio Olímpico, Barcelona (ESP)",08 SEP 1989,1148
48,10.17,+0.2,Raymond STEWART,18 MAR 1965,JAM,1,,Jerez de la Frontera (ESP),13 SEP 1989,1148
56,10.18,+1.5,Andrey RAZIN,10 MAY 1962,URS,1h1,,Volgograd (URS),10 JUN 1989,1145
56,10.18,+1.0,Joel ISASI,31 JUL 1967,CUB,1,,Sofia (BUL),09 JUL 1989,1145
56,10.18,+1.5,Bruno MARIE-ROSE,20 MAY 1965,FRA,2,,Casablanca (MAR),14 JUL 1989,1145
56,10.18,+1.1,Andre CASON,20 JAN 1969,USA,1,,Linz (AUT),22 AUG 1989,1145
56,10.18,-0.3,Michael MARSH,04 AUG 1967,USA,3,,Bruxelles (BEL),25 AUG 1989,1146
61,10.19,-3.5,Dennis MITCHELL,20 FEB 1966,USA,1,,"Gainesville, FL (USA)",14 MAY 1989,1163
61,10.19,+2.0,Linford CHRISTIE,02 APR 1960,GBR,1,,London (GBR),18 JUN 1989,1142
61,10.19,+1.0,Andres SIMÓN,15 SEP 1961,CUB,2,,Sofia (BUL),09 JUL 1989,1142
61,10.19,+1.0,Chidi IMOH,27 AUG 1963,NGR,1,,La Coruña (ESP),25 JUL 1989,1142
61,10.19,+0.9,Michael MARSH,04 AUG 1967,USA,1,,"Westwood, CA (USA)",06 AUG 1989,1142
61,10.19,+0.7,Leroy BURRELL,21 FEB 1967,USA,3f1,,"Letzigrund, Zürich (SUI)",16 AUG 1989,1142
61,10.19,+0.7,Andre CASON,20 JAN 1969,USA,3f1,,"Letzigrund, Zürich (SUI)",16 AUG 1989,1142
61,10.19,-1.1,Andre CASON,20 JAN 1969,USA,1,,Köln (GER),20 AUG 1989,1148
61,10.19,+0.4,Linford CHRISTIE,02 APR 1960,GBR,2,,"Stade Louis II, Monaco (MON)",01 SEP 1989,1142
70,10.20,,Norm MCGEE,23 MAR 1966,USA,1,,"Grand Forks, ND (USA)",22 APR 1989,1138
70,10.20,+2.0,Slip WATKINS,29 SEP 1967,USA,1,,"Baton Rouge, LA (USA)",22 APR 1989,1138
70,10.20,0.0,Slip WATKINS,29 SEP 1967,USA,2h1,,"Provo, UT (USA)",01 JUN 1989,1138
70,10.20,+0.1,Andre CASON,20 JAN 1969,USA,2h2,,"Provo, UT (USA)",01 JUN 1989,1138
70,10.20,+1.5,Sergey DEMINOV,26 FEB 1964,URS,2h1,,Volgograd (URS),10 JUN 1989,1138
70,10.20,0.0,Michael MARSH,04 AUG 1967,USA,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1138
70,10.20,+1.2,Daniel SANGOUMA,07 FEB 1965,FRA,h,,Casablanca (MAR),13 JUL 1989,1138
70,10.20,+0.9,Slip WATKINS,29 SEP 1967,USA,2,,"Westwood, CA (USA)",06 AUG 1989,1138
70,10.20,+0.5,Olapade ADENIKEN,19 AUG 1969,NGR,4,,"Estadio Olímpico, Barcelona (ESP)",08 SEP 1989,1138
70,10.20,,Mardi LESTARI,19 JAN 1968,INA,1,,Jakarta (INA),20 OCT 1989,1138
80,10.21,+0.7,James ANDREWS,14 AUG 1967,USA,1,,"Northridge, CA (USA)",09 APR 1989,1135
80,10.21,+1.3,Daniel SANGOUMA,07 FEB 1965,FRA,2,,Les Abymes (FRA),06 MAY 1989,1135
80,10.21,+1.3,Daniel SANGOUMA,07 FEB 1965,FRA,1,,Pointe-á-Pitre (FRA),06 MAY 1989,1135
80,10.21,+1.0,Jon DRUMMOND,09 SEP 1968,USA,1,,"Columbus, OH (USA)",13 MAY 1989,1135
80,10.21,+0.7,James ANDREWS,14 AUG 1967,USA,1,,"Fresno, CA (USA)",20 MAY 1989,1135
80,10.21,0.0,Michael MARSH,04 AUG 1967,USA,3h1,,"Provo, UT (USA)",01 JUN 1989,1135
80,10.21,+1.8,Lee MCNEILL,02 DEC 1964,USA,1,,"New York, NY (USA)",05 JUN 1989,1135
80,10.21,-0.1,Dennis MITCHELL,20 FEB 1966,USA,1,,Madrid (ESP),09 JUN 1989,1135
80,10.21,+1.9,Lee MCRAE,23 JAN 1966,USA,1f2,,"New York, NY (USA)",22 JUL 1989,1135
80,10.21,+0.8,Bruno MARIE-ROSE,20 MAY 1965,FRA,1,,Font-Romeu (FRA),27 JUL 1989,1135
80,10.21,-0.7,Michael MARSH,04 AUG 1967,USA,1,,"Norman, OK (USA)",30 JUL 1989,1139
80,10.21,+1.8,Max MORINIÉRE,16 FEB 1964,FRA,2,,Tours (FRA),13 AUG 1989,1135
80,10.21,+0.9,Michael MARSH,04 AUG 1967,USA,3,,Koblenz (GER),23 AUG 1989,1135
