Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.83,+1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
1,9.83,0.0,Noah LYLES,18 JUL 1997,USA,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1266
1,9.83,+0.4,Christian COLEMAN,06 MAR 1996,USA,1,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1266
1,9.83,+0.1,Christian COLEMAN,06 MAR 1996,USA,1,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1266
5,9.84,-0.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1265
6,9.85,+0.8,Ferdinand OMANYALA,02 JAN 1996,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",08 JUL 2023,1259
6,9.85,+0.4,Kishane THOMPSON,17 JUL 2001,JAM,2,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1259
6,9.85,+0.1,Noah LYLES,18 JUL 1997,USA,2,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1259
6,9.85,+0.1,Ferdinand OMANYALA,02 JAN 1996,KEN,3,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1259
10,9.86,0.0,Oblique SEVILLE,16 MAR 2001,JAM,1h5,,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1255
11,9.87,+0.3,Noah LYLES,18 JUL 1997,USA,1sf1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1252
11,9.87,+0.1,Kishane THOMPSON,17 JUL 2001,JAM,4,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1252
13,9.88,+1.5,Fred KERLEY,07 MAY 1995,USA,1h1,,"International Stadium, Yokohama (JPN)",21 MAY 2023,1248
