Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.92,+1.1,Carl LEWIS,01 JUL 1961,USA,1,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1234
2,9.93,+1.1,Carl LEWIS,01 JUL 1961,USA,1f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1231
3,9.96,+1.9,Carl LEWIS,01 JUL 1961,USA,1h4,,"Indianapolis, IN (USA)",15 JUL 1988,1220
3,9.96,+0.4,Carl LEWIS,01 JUL 1961,USA,1qf1,,"Indianapolis, IN (USA)",15 JUL 1988,1220
5,9.97,+1.1,Calvin SMITH,08 JAN 1961,USA,2f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1217
5,9.97,+1.1,Linford CHRISTIE,02 APR 1960,GBR,2,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1217
5,9.97,+0.6,Carl LEWIS,01 JUL 1961,USA,1sf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1217
8,9.99,+1.4,Carl LEWIS,01 JUL 1961,USA,1qf5,,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988,1210
8,9.99,+1.1,Calvin SMITH,08 JAN 1961,USA,3,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1210
10,10.00,+1.6,Robson DA SILVA,04 SEP 1964,BRA,3h3,,Ciudad de México (MEX),22 JUL 1988,1206
11,10.03,+0.4,Joe DELOACH,05 JUN 1967,USA,1,,"Eugene, OR (USA)",04 JUN 1988,1196
11,10.03,+0.9,Dennis MITCHELL,20 FEB 1966,USA,1f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",24 JUN 1988,1196
13,10.04,+0.5,Emmit KING,24 MAR 1959,USA,1,,"Tampa, FL (USA)",17 JUN 1988,1193
13,10.04,+1.1,Chidi IMOH,27 AUG 1963,NGR,3f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1193
13,10.04,-0.6,Carl LEWIS,01 JUL 1961,USA,1,,Bruxelles (BEL),19 AUG 1988,1196
13,10.04,+1.1,Dennis MITCHELL,20 FEB 1966,USA,4,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1193
17,10.05,+1.4,Carl LEWIS,01 JUL 1961,USA,1,,"Houston, TX (USA)",04 MAY 1988,1189
18,10.06,+2.0,Johan ROSSOUW,20 OCT 1965,RSA,1,,Johannesburg (RSA),23 APR 1988,1186
19,10.07,+1.4,Calvin SMITH,08 JAN 1961,USA,1,,Bratislava (TCH),09 JUN 1988,1182
19,10.07,+0.5,Brian COOPER,21 AUG 1965,USA,2,,"Tampa, FL (USA)",17 JUN 1988,1182
19,10.07,+1.1,Linford CHRISTIE,02 APR 1960,GBR,4f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1182
22,10.08,-0.1,Andre CASON,20 JAN 1969,USA,1,,"Tallahassee, FL (USA)",24 JUN 1988,1179
22,10.08,,Raymond STEWART,18 MAR 1965,JAM,1,,Kingston (JAM),15 JUL 1988,1179
22,10.08,+1.6,Robson DA SILVA,04 SEP 1964,BRA,1,,Ciudad de México (MEX),22 JUL 1988,1179
22,10.08,+0.9,Raymond STEWART,18 MAR 1965,JAM,1,,Linz (AUT),15 AUG 1988,1179
22,10.08,+1.1,Dennis MITCHELL,20 FEB 1966,USA,5f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1179
27,10.09,+0.5,Lee MCNEILL,02 DEC 1964,USA,3,,"Tampa, FL (USA)",17 JUN 1988,1176
27,10.09,+1.3,Chidi IMOH,27 AUG 1963,NGR,1,,Malmö (SWE),08 AUG 1988,1176
27,10.09,+1.1,Raymond STEWART,18 MAR 1965,JAM,6f1,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1176
27,10.09,+0.4,Carl LEWIS,01 JUL 1961,USA,1f1,,Tokyo (JPN),08 OCT 1988,1176
31,10.10,0.0,Dennis MITCHELL,20 FEB 1966,USA,1h2,,"Auburn, AL (USA)",14 MAY 1988,1172
31,10.10,+0.4,Raymond STEWART,18 MAR 1965,JAM,2,,"Eugene, OR (USA)",04 JUN 1988,1172
31,10.10,+1.5,Lee MCNEILL,02 DEC 1964,USA,1sf2,,"Tampa, FL (USA)",17 JUN 1988,1172
34,10.11,+2.0,Tshakile NZIMANDE,19 NOV 1961,RSA,2,,Johannesburg (RSA),23 APR 1988,1169
34,10.11,+0.5,Lee MCRAE,23 JAN 1966,USA,4,,"Tampa, FL (USA)",17 JUN 1988,1169
34,10.11,-0.4,Calvin SMITH,08 JAN 1961,USA,1,,Jerez de la Frontera (ESP),28 JUN 1988,1171
34,10.11,+0.4,Albert ROBINSON,28 NOV 1964,USA,2qf1,,"Indianapolis, IN (USA)",15 JUL 1988,1169
34,10.11,+0.4,Joe DELOACH,05 JUN 1967,USA,1,,Sestriere (ITA),11 AUG 1988,1169
34,10.11,+0.4,Dennis MITCHELL,20 FEB 1966,USA,2,,Sestriere (ITA),11 AUG 1988,1169
34,10.11,+1.2,Linford CHRISTIE,02 APR 1960,GBR,1qf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988,1169
34,10.11,+1.1,Robson DA SILVA,04 SEP 1964,BRA,5,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1169
34,10.11,+1.1,Desai WILLIAMS,12 JUN 1959,CAN,6,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1169
34,10.11,-1.2,Linford CHRISTIE,02 APR 1960,GBR,1sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1176
44,10.12,+0.8,Michael MARSH,04 AUG 1967,USA,1,,"Los Angeles, CA (USA)",14 MAY 1988,1165
44,10.12,+0.4,Dennis MITCHELL,20 FEB 1966,USA,3,,"Eugene, OR (USA)",04 JUN 1988,1165
44,10.12,+0.9,Brian COOPER,21 AUG 1965,USA,2f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",24 JUN 1988,1165
44,10.12,+1.1,Leandro PENALVER,23 MAY 1961,CUB,2,,Ciudad de México (MEX),22 JUL 1988,1165
44,10.12,+0.7,Arnaldo DA SILVA OLIVEIRA,26 MAR 1964,BRA,1h1,,Ciudad de México (MEX),22 JUL 1988,1165
44,10.12,+1.6,Andres SIMÓN,15 SEP 1961,CUB,2h3,,Ciudad de México (MEX),22 JUL 1988,1165
44,10.12,+0.9,Brian COOPER,21 AUG 1965,USA,2,,Linz (AUT),15 AUG 1988,1165
44,10.12,+0.8,Brian COOPER,21 AUG 1965,USA,1f2,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1165
52,10.13,+0.9,Raymond STEWART,18 MAR 1965,JAM,1,,"Walnut, CA (USA)",24 APR 1988,1162
52,10.13,+2.0,Vladimir KRYLOV,26 FEB 1964,URS,1f1,,Sochi (URS),31 MAY 1988,1162
52,10.13,+0.2,Carl LEWIS,01 JUL 1961,USA,1,,"Westwood, CA (USA)",05 JUN 1988,1162
52,10.13,+0.9,Desai WILLIAMS,12 JUN 1959,CAN,3f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",24 JUN 1988,1162
52,10.13,-0.7,Joe DELOACH,05 JUN 1967,USA,1qf2,,"Indianapolis, IN (USA)",15 JUL 1988,1166
52,10.13,0.0,Dennis MITCHELL,20 FEB 1966,USA,1qf3,,"Indianapolis, IN (USA)",15 JUL 1988,1162
52,10.13,-0.3,Calvin SMITH,08 JAN 1961,USA,1qf4,,"Indianapolis, IN (USA)",15 JUL 1988,1163
52,10.13,+1.1,Arnaldo DA SILVA OLIVEIRA,26 MAR 1964,BRA,3,,Ciudad de México (MEX),22 JUL 1988,1162
52,10.13,+0.8,Lee MCNEILL,02 DEC 1964,USA,2f2,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1162
52,10.13,+1.4,Brian COOPER,21 AUG 1965,USA,1,,Cagliari (ITA),03 SEP 1988,1162
52,10.13,+1.2,Dennis MITCHELL,20 FEB 1966,USA,2qf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988,1162
63,10.14,+1.0,Victor EDET,24 FEB 1966,NGR,1h,,"Waco, TX (USA)",22 APR 1988,1159
63,10.14,,Andrew SMITH,29 JAN 1964,JAM,2,,Kingston (JAM),07 MAY 1988,1159
63,10.14,+1.9,Emmit KING,24 MAR 1959,USA,4sf1,,"Tampa, FL (USA)",17 JUN 1988,1159
63,10.14,+2.0,Sven MATTHES,23 AUG 1969,GDR,1,,Berlin (GER),13 SEP 1988,1159
63,10.14,+0.9,Carl LEWIS,01 JUL 1961,USA,1h13,,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988,1159
68,10.15,0.0,Lorenzo DANIEL,23 MAR 1966,USA,2h2,,"Auburn, AL (USA)",14 MAY 1988,1155
68,10.15,+2.0,Nikolay YUSHMANOV,18 DEC 1961,URS,2f1,,Sochi (URS),31 MAY 1988,1155
68,10.15,-1.8,Vitaliy SAVIN,23 JAN 1966,URS,1,,Leningrad (URS),12 JUN 1988,1165
68,10.15,+0.7,Robson DA SILVA,04 SEP 1964,BRA,1,,Barcelona (ESP),13 JUL 1988,1155
68,10.15,+1.3,Linford CHRISTIE,02 APR 1960,GBR,1,,Birmingham (GBR),05 AUG 1988,1155
68,10.15,+0.9,Andreas BERGER,09 JUN 1961,AUT,3,,Linz (AUT),15 AUG 1988,1155
68,10.15,+0.8,Michael MARSH,04 AUG 1967,USA,3f2,,"Letzigrund, Zürich (SUI)",17 AUG 1988,1155
68,10.15,+0.6,Calvin SMITH,08 JAN 1961,USA,2sf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1155
76,10.16,+0.1,Desai WILLIAMS,12 JUN 1959,CAN,1,,Sevilla (ESP),01 JUN 1988,1152
76,10.16,+1.7,Robson DA SILVA,04 SEP 1964,BRA,1,,Warszawa (POL),19 JUN 1988,1152
76,10.16,+0.4,Desai WILLIAMS,12 JUN 1959,CAN,3,,Sestriere (ITA),11 AUG 1988,1152
76,10.16,-0.8,Calvin SMITH,08 JAN 1961,USA,1,,Köln (GER),21 AUG 1988,1156
76,10.16,+1.7,Desai WILLIAMS,12 JUN 1959,CAN,1qf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988,1152
