Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.77,+1.5,Asafa POWELL,23 NOV 1982,JAM,1,,"International Stadium, Gateshead (GBR)",11 JUN 2006,1287
1,9.77,+1.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,Zürich (SUI),18 AUG 2006,1287
3,9.84,+1.0,Tyson GAY,09 AUG 1982,USA,2f1,,Zürich (SUI),18 AUG 2006,1262
4,9.85,+1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,,Doha (QAT),12 MAY 2006,1259
4,9.85,+0.1,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1259
4,9.85,+0.5,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1259
7,9.86,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,Stockholm (SWE),25 JUL 2006,1255
7,9.86,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Olympiastadion, Berlin (GER)",03 SEP 2006,1258
9,9.88,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Rethymno (GRE),21 JUL 2006,1248
9,9.88,+1.1,Tyson GAY,09 AUG 1982,USA,1,,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1248
11,9.89,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1245
12,9.91,-0.6,Asafa POWELL,23 NOV 1982,JAM,1,,"Crystal Palace, London (GBR)",28 JUL 2006,1241
12,9.91,+0.9,Leonard SCOTT,19 JAN 1980,USA,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1238
14,9.92,+0.9,Tyson GAY,09 AUG 1982,USA,3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1234
15,9.93,+1.1,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1h1,,Doha (QAT),12 MAY 2006,1231
16,9.95,-0.6,Asafa POWELL,23 NOV 1982,JAM,1,,"National Stadium, Kingston (JAM)",06 MAY 2006,1227
17,9.96,+1.6,Asafa POWELL,23 NOV 1982,JAM,1h1,,Oslo (NOR),02 JUN 2006,1220
17,9.96,-0.5,Tyson GAY,09 AUG 1982,USA,2,,"Olympiastadion, Berlin (GER)",03 SEP 2006,1223
19,9.97,+0.2,Tyson GAY,09 AUG 1982,USA,2f1,,Stockholm (SWE),25 JUL 2006,1217
19,9.97,+1.0,Leonard SCOTT,19 JAN 1980,USA,3f1,,Zürich (SUI),18 AUG 2006,1217
21,9.98,-0.9,Asafa POWELL,23 NOV 1982,JAM,1,,Oslo (NOR),02 JUN 2006,1218
22,9.99,+1.3,Francis OBIKWELU,22 NOV 1978,POR,1,,"Ullevi Stadium, Göteborg (SWE)",08 AUG 2006,1210
22,9.99,+1.0,Marcus BRUNSON,24 APR 1978,USA,4f1,,Zürich (SUI),18 AUG 2006,1210
22,9.99,+0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1210
25,10.00,+1.0,Travis PADGETT,13 DEC 1986,USA,1,,"Greensboro, NC (USA)",27 MAY 2006,1206
26,10.01,+1.5,Marcus BRUNSON,24 APR 1978,USA,1,,"Carson, CA (USA)",21 MAY 2006,1203
26,10.01,+1.6,Shawn CRAWFORD,14 JAN 1978,USA,1h2,,Oslo (NOR),02 JUN 2006,1203
26,10.01,-0.6,Leonard SCOTT,19 JAN 1980,USA,2,,"Crystal Palace, London (GBR)",28 JUL 2006,1206
26,10.01,0.0,Jason SMOOTS,13 JUL 1980,USA,1,,Rieti (ITA),27 AUG 2006,1203
30,10.02,-0.9,Shawn CRAWFORD,14 JAN 1978,USA,2,,Oslo (NOR),02 JUN 2006,1204
30,10.02,0.0,Shawn CRAWFORD,14 JAN 1978,USA,1f2,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1199
30,10.02,+1.7,Marc BURNS,07 JAN 1983,TTO,1,,Port-of-Spain (TTO),06 AUG 2006,1199
30,10.02,0.0,Marcus BRUNSON,24 APR 1978,USA,2,,Rieti (ITA),27 AUG 2006,1199
30,10.02,0.0,Asafa POWELL,23 NOV 1982,JAM,1,,Warszawa (POL),30 AUG 2006,1199
30,10.02,+0.9,Francis OBIKWELU,22 NOV 1978,POR,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1199
36,10.03,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,,Melbourne (AUS),20 MAR 2006,1196
36,10.03,+0.2,Asafa POWELL,23 NOV 1982,JAM,1sf2,,Melbourne (AUS),20 MAR 2006,1196
36,10.03,+1.6,Marcus BRUNSON,24 APR 1978,USA,2h2,,Oslo (NOR),02 JUN 2006,1196
36,10.03,-0.4,Francis OBIKWELU,22 NOV 1978,POR,1,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1198
36,10.03,+0.4,Marcus BRUNSON,24 APR 1978,USA,1,,Shanghai (CHN),23 SEP 2006,1196
41,10.04,+1.9,Churandy MARTINA,03 JUL 1984,AHO,1,,"El Paso, TX (USA)",15 APR 2006,1193
41,10.04,+1.6,Jason SMOOTS,13 JUL 1980,USA,1,,"Modesto, CA (USA)",06 MAY 2006,1193
41,10.04,+1.5,Tyson GAY,09 AUG 1982,USA,2,,"Carson, CA (USA)",21 MAY 2006,1193
41,10.04,+1.5,Marc BURNS,07 JAN 1983,TTO,3,,"Carson, CA (USA)",21 MAY 2006,1193
41,10.04,-0.1,Tyson GAY,09 AUG 1982,USA,1,,"New York, NY (USA)",03 JUN 2006,1193
41,10.04,+0.5,Marcus BRUNSON,24 APR 1978,USA,2f1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1193
41,10.04,+0.5,Tyson GAY,09 AUG 1982,USA,3f1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1193
41,10.04,-0.6,Shawn CRAWFORD,14 JAN 1978,USA,3,,"Crystal Palace, London (GBR)",28 JUL 2006,1196
41,10.04,+0.9,Marcus BRUNSON,24 APR 1978,USA,5,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1193
50,10.05,+1.5,Leonard SCOTT,19 JAN 1980,USA,4,,"Carson, CA (USA)",21 MAY 2006,1189
50,10.05,0.0,Leonard SCOTT,19 JAN 1980,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1189
50,10.05,+0.5,Leonard SCOTT,19 JAN 1980,USA,4f1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1189
53,10.06,+1.8,Travis PADGETT,13 DEC 1986,USA,1h1,,"Greensboro, NC (USA)",26 MAY 2006,1186
53,10.06,-0.9,Marcus BRUNSON,24 APR 1978,USA,3,,Oslo (NOR),02 JUN 2006,1191
53,10.06,+1.5,Michael FRATER,06 OCT 1982,JAM,2,,"International Stadium, Gateshead (GBR)",11 JUN 2006,1186
53,10.06,+0.6,Churandy MARTINA,03 JUL 1984,AHO,1,,Cartagena de Indias (COL),26 JUL 2006,1186
