Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.79,+0.1,Maurice GREENE,23 JUL 1974,USA,1f3,,Athina (GRE),16 JUN 1999,1280
2,9.80,+0.2,Maurice GREENE,23 JUL 1974,USA,1,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1276
3,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
4,9.85,+0.8,Maurice GREENE,23 JUL 1974,USA,1,,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1259
5,9.86,+0.1,Ato BOLDON,30 DEC 1973,TTO,2f3,,Athina (GRE),16 JUN 1999,1255
5,9.86,+0.4,Ato BOLDON,30 DEC 1973,TTO,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1255
7,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,1,,Stockholm (SWE),30 JUL 1999,1252
8,9.91,-0.2,Maurice GREENE,23 JUL 1974,USA,1qf5,,"La Cartuja, Sevilla (ESP)",21 AUG 1999,1239
9,9.92,+1.1,Bruny SURIN,12 JUL 1967,CAN,1,,Nürnberg (GER),13 JUN 1999,1234
9,9.92,+1.0,Tim HARDEN,27 JAN 1974,USA,1,,Luzern (SUI),05 JUL 1999,1234
11,9.93,+0.4,Maurice GREENE,23 JUL 1974,USA,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1231
12,9.94,+1.3,Frank FREDERICKS,02 OCT 1967,NAM,1,,Sydney (AUS),20 FEB 1999,1227
13,9.95,-0.2,Bruny SURIN,12 JUL 1967,CAN,2qf5,,"La Cartuja, Sevilla (ESP)",21 AUG 1999,1225
14,9.96,+0.6,Obadele THOMPSON,30 MAR 1976,BAR,2,,Stockholm (SWE),30 JUL 1999,1220
14,9.96,-0.7,Maurice GREENE,23 JUL 1974,USA,1sf1,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1224
14,9.96,-0.3,Bruny SURIN,12 JUL 1967,CAN,1sf2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1221
17,9.97,+1.0,Ato BOLDON,30 DEC 1973,TTO,1,,Stuttgart (GER),06 JUN 1999,1217
17,9.97,-0.1,Ato BOLDON,30 DEC 1973,TTO,f2,,Athina (GRE),16 JUN 1999,1217
17,9.97,+0.1,Bruny SURIN,12 JUL 1967,CAN,3f3,,Athina (GRE),16 JUN 1999,1217
17,9.97,-0.6,Maurice GREENE,23 JUL 1974,USA,1f1,,"Crystal Palace, London (GBR)",07 AUG 1999,1220
17,9.97,+0.2,Dwain CHAMBERS,05 APR 1978,GBR,3,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1217
22,9.98,+1.6,Leonard MYLES-MILLS,05 SEP 1973,GHA,1,,"Boise, ID (USA)",05 JUN 1999,1213
22,9.98,+0.4,Jason GARDENER,17 SEP 1975,GBR,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1213
24,9.99,+1.1,Dwain CHAMBERS,05 APR 1978,GBR,2,,Nürnberg (GER),13 JUN 1999,1210
24,9.99,-0.7,Maurice GREENE,23 JUL 1974,USA,1,,Zürich (SUI),11 AUG 1999,1214
24,9.99,0.0,Leonard MYLES-MILLS,05 SEP 1973,GHA,1,,Johannesburg (RSA),15 SEP 1999,1210
27,10.00,+1.1,Eric NKANSAH,12 DEC 1974,GHA,3,,Nürnberg (GER),13 JUN 1999,1206
27,10.00,+0.4,Frank FREDERICKS,02 OCT 1967,NAM,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1206
27,10.00,+1.0,Eric NKANSAH,12 DEC 1974,GHA,2,,Luzern (SUI),05 JUL 1999,1206
27,10.00,+0.2,Obadele THOMPSON,30 MAR 1976,BAR,4,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1206
31,10.01,+1.9,Tim MONTGOMERY,28 JAN 1975,USA,1,,Mito (JPN),05 MAY 1999,1203
31,10.01,0.0,Francis OBIKWELU,22 NOV 1978,NGR,2,,Johannesburg (RSA),15 SEP 1999,1203
33,10.02,+0.1,Frank FREDERICKS,02 OCT 1967,NAM,4f3,,Athina (GRE),16 JUN 1999,1199
33,10.02,+0.8,Brian LEWIS,05 DEC 1974,USA,sf,,"Eugene, OR (USA)",25 JUN 1999,1199
33,10.02,-0.3,Jason GARDENER,17 SEP 1975,GBR,1h2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1200
33,10.02,-0.3,Ato BOLDON,30 DEC 1973,TTO,2h2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1200
33,10.02,-0.6,Bruny SURIN,12 JUL 1967,CAN,2f1,,"Crystal Palace, London (GBR)",07 AUG 1999,1202
33,10.02,-0.7,Obadele THOMPSON,30 MAR 1976,BAR,2,,Zürich (SUI),11 AUG 1999,1203
33,10.02,+0.2,Tim HARDEN,27 JAN 1974,USA,5,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1199
40,10.03,-0.1,Coby MILLER,19 OCT 1976,USA,1,,"Tempe, AZ (USA)",10 APR 1999,1196
40,10.03,+1.6,John CAPEL,27 OCT 1978,USA,2,,"Boise, ID (USA)",05 JUN 1999,1196
40,10.03,+0.4,Brian LEWIS,05 DEC 1974,USA,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1196
