Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,10.01,+0.9,Pietro MENNEA,28 JUN 1952,ITA,1f1,,Ciudad de México (MEX),04 SEP 1979,1203
2,10.07,+1.2,James SANFORD,27 DEC 1957,USA,1,,"Walnut, CA (USA)",16 JUN 1979,1182
2,10.07,+0.6,Mike ROBERSON,25 MAR 1956,USA,1sf1,,Ciudad de México (MEX),08 SEP 1979,1182
4,10.08,,Mike ROBERSON,25 MAR 1956,USA,1h2,,Ciudad de México (MEX),08 SEP 1979,1179
5,10.11,+1.2,Silvio LEONARD,20 SEP 1955,CUB,1,,Kingston (JAM),11 MAY 1979,1169
6,10.12,+0.2,James SANFORD,27 DEC 1957,USA,1,,"Westwood, CA (USA)",28 APR 1979,1165
6,10.12,+1.7,James SANFORD,27 DEC 1957,USA,1sf2,,"Walnut, CA (USA)",16 JUN 1979,1165
8,10.13,+0.9,Harvey GLANCE,28 MAR 1957,USA,1sf1,,San Juan (PUR),07 JUL 1979,1162
8,10.13,+1.5,Silvio LEONARD,20 SEP 1955,CUB,1,,San Juan (PUR),08 JUL 1979,1162
10,10.14,+1.1,Harvey GLANCE,28 MAR 1957,USA,1h3,,San Juan (PUR),07 JUL 1979,1159
11,10.15,0.0,Clancy EDWARDS,09 AUG 1955,USA,1,,"Walnut, CA (USA)",21 APR 1979,1155
11,10.15,+1.2,Harvey GLANCE,28 MAR 1957,USA,2,,"Walnut, CA (USA)",16 JUN 1979,1155
11,10.15,+1.6,Don COLEMAN,24 OCT 1951,USA,1,,Merksem (BEL),21 JUN 1979,1155
11,10.15,+1.3,Pietro MENNEA,28 JUN 1952,ITA,1,,Torino (ITA),04 AUG 1979,1155
11,10.15,-0.1,James SANFORD,27 DEC 1957,USA,1f2,,Zürich (SUI),15 AUG 1979,1155
11,10.15,+0.5,Pietro MENNEA,28 JUN 1952,ITA,1h2,,Split (CRO),23 SEP 1979,1155
17,10.16,,Harvey GLANCE,28 MAR 1957,USA,1,,"Auburn, AL (USA)",07 APR 1979,1152
17,10.16,,Mel LATTANY,10 AUG 1959,USA,1,,"Tuscaloosa, AL (USA)",20 APR 1979,1152
17,10.16,+1.2,Emmit KING,24 MAR 1959,USA,3,,"Walnut, CA (USA)",16 JUN 1979,1152
17,10.16,+1.1,Harvey GLANCE,28 MAR 1957,USA,1sf3,,"Walnut, CA (USA)",16 JUN 1979,1152
17,10.16,+1.3,Marian WORONIN,13 AUG 1956,POL,2,,Torino (ITA),04 AUG 1979,1152
22,10.17,+1.8,Houston MCTEAR,12 FEB 1957,USA,1,,"Westwood, CA (USA)",06 MAY 1979,1148
22,10.17,+1.2,Houston MCTEAR,12 FEB 1957,USA,1,,Berlin (GER),17 AUG 1979,1148
22,10.17,-0.1,James SANFORD,27 DEC 1957,USA,1,,"Olympic Stadium, Montréal (CAN)",24 AUG 1979,1148
25,10.18,+1.8,Silvio LEONARD,20 SEP 1955,CUB,2,,"Westwood, CA (USA)",06 MAY 1979,1145
25,10.18,+1.0,Houston MCTEAR,12 FEB 1957,USA,1,,Bruxelles (BEL),04 SEP 1979,1145
25,10.18,0.0,Pietro MENNEA,28 JUN 1952,ITA,1,,Bologna (ITA),19 SEP 1979,1145
28,10.19,+1.4,Jerome DEAL,24 MAR 1958,USA,1,,"Champaign, IL (USA)",01 JUN 1979,1142
28,10.19,+1.2,Steve RIDDICK,18 SEP 1951,USA,4,,"Walnut, CA (USA)",16 JUN 1979,1142
28,10.19,,Emmit KING,24 MAR 1959,USA,1sf2,,San Juan (PUR),07 JUL 1979,1142
28,10.19,+1.5,Harvey GLANCE,28 MAR 1957,USA,2,,San Juan (PUR),08 JUL 1979,1142
28,10.19,+1.3,Allan WELLS,03 MAY 1952,GBR,3,,Torino (ITA),04 AUG 1979,1142
28,10.19,0.0,Mike ROBERSON,25 MAR 1956,USA,1,,Ciudad de México (MEX),09 SEP 1979,1142
34,10.20,+0.2,Eric BROWN,12 JAN 1960,USA,2,,"Westwood, CA (USA)",28 APR 1979,1138
34,10.20,+1.8,Eddie HART,24 APR 1949,USA,3,,"Westwood, CA (USA)",06 MAY 1979,1138
34,10.20,,Emmit KING,24 MAR 1959,USA,1sf1,,"Eugene, OR (USA)",18 MAY 1979,1138
34,10.20,+1.4,James SANFORD,27 DEC 1957,USA,2,,"Champaign, IL (USA)",01 JUN 1979,1138
34,10.20,,Silvio LEONARD,20 SEP 1955,CUB,1,,Québec (CAN),11 AUG 1979,1138
34,10.20,-1.1,Houston MCTEAR,12 FEB 1957,USA,1f1,,Zürich (SUI),15 AUG 1979,1144
34,10.20,+1.0,Allan WELLS,03 MAY 1952,GBR,2,,Bruxelles (BEL),04 SEP 1979,1138
41,10.21,,Emmit KING,24 MAR 1959,USA,2,,"Tuscaloosa, AL (USA)",20 APR 1979,1135
41,10.21,,James MALLARD,29 NOV 1957,USA,2,,"Tuscaloosa, AL (USA)",20 APR 1979,1135
41,10.21,+0.9,Silvio LEONARD,20 SEP 1955,CUB,2sf1,,San Juan (PUR),07 JUL 1979,1135
41,10.21,+1.3,Houston MCTEAR,12 FEB 1957,USA,1,,Budapest (HUN),10 JUL 1979,1135
41,10.21,-0.5,Eugen RAY,26 JUL 1957,GDR,1,,Potsdam (GDR),29 JUL 1979,1138
41,10.21,+0.6,Ainsley BENNETT,22 JUL 1954,GBR,1sf3,,Ciudad de México (MEX),08 SEP 1979,1135
41,10.21,-0.9,Houston MCTEAR,12 FEB 1957,USA,1,,London (GBR),14 SEP 1979,1140
48,10.22,+1.2,Houston MCTEAR,12 FEB 1957,USA,2,,Kingston (JAM),11 MAY 1979,1132
48,10.22,+1.4,Harvey GLANCE,28 MAR 1957,USA,3,,"Champaign, IL (USA)",01 JUN 1979,1132
48,10.22,+1.2,Don COLEMAN,24 OCT 1951,USA,5,,"Walnut, CA (USA)",16 JUN 1979,1132
48,10.22,+1.7,Steve RIDDICK,18 SEP 1951,USA,2sf2,,"Walnut, CA (USA)",16 JUN 1979,1132
48,10.22,-0.7,Marian WORONIN,13 AUG 1956,POL,1,,Bremen (GER),23 JUN 1979,1136
48,10.22,,Petar PETROV,17 FEB 1955,BUL,1h1,,Sofia (BUL),27 JUL 1979,1132
48,10.22,-0.1,Allan WELLS,03 MAY 1952,GBR,2f2,,Zürich (SUI),15 AUG 1979,1132
48,10.22,0.0,Pietro MENNEA,28 JUN 1952,ITA,1,,Lignano Sabbiadoro (ITA),18 AUG 1979,1132
48,10.22,+0.2,Nelson DOS SANTOS,08 MAY 1952,BRA,1h7,,Ciudad de México (MEX),08 SEP 1979,1132
57,10.23,,Mel LATTANY,10 AUG 1959,USA,1,,"Athens, GA (USA)",07 APR 1979,1128
57,10.23,+1.2,James GILKES,21 SEP 1952,GUY,3,,Kingston (JAM),11 MAY 1979,1128
57,10.23,+1.3,Harvey GLANCE,28 MAR 1957,USA,1h3,,"Tuscaloosa, AL (USA)",13 MAY 1979,1128
57,10.23,+1.1,Dwayne EVANS,13 OCT 1958,USA,2sf3,,"Walnut, CA (USA)",16 JUN 1979,1128
57,10.23,,Marian WORONIN,13 AUG 1956,POL,1,,Lüdenscheid (GER),30 JUN 1979,1128
57,10.23,,Ainsley BENNETT,22 JUL 1954,GBR,2h7,,Ciudad de México (MEX),08 SEP 1979,1128
57,10.23,+0.6,Luciano CARAVANI,14 APR 1953,ITA,2sf3,,Ciudad de México (MEX),08 SEP 1979,1128
64,10.24,+1.8,Eric BROWN,12 JAN 1960,USA,4,,"Westwood, CA (USA)",06 MAY 1979,1125
64,10.24,+1.0,Renaldo NEHEMIAH,24 MAR 1959,USA,1,,Västerås (SWE),26 JUN 1979,1125
64,10.24,-0.6,Pietro MENNEA,28 JUN 1952,ITA,1,,Split (CRO),23 SEP 1979,1128
67,10.25,+1.3,Jerome DEAL,24 MAR 1958,USA,1,,"Austin, TX (USA)",07 APR 1979,1122
67,10.25,+1.2,Steve WILLIAMS,13 NOV 1953,USA,4,,Kingston (JAM),11 MAY 1979,1122
67,10.25,+0.8,Emmit KING,24 MAR 1959,USA,1h2,,San Juan (PUR),07 JUL 1979,1122
67,10.25,-1.1,Steve RIDDICK,18 SEP 1951,USA,2f1,,Zürich (SUI),15 AUG 1979,1128
67,10.25,,Mel LATTANY,10 AUG 1959,USA,1h1,,Ciudad de México (MEX),08 SEP 1979,1122
67,10.25,-0.9,Allan WELLS,03 MAY 1952,GBR,2,,London (GBR),14 SEP 1979,1127
73,10.26,,ReVey SCOTT,25 FEB 1957,USA,2,,"Monroe, LA (USA)",05 MAY 1979,1118
73,10.26,+1.8,Steve WILLIAMS,13 NOV 1953,USA,5,,"Westwood, CA (USA)",06 MAY 1979,1118
73,10.26,+0.5,Allan WELLS,03 MAY 1952,GBR,1,,Gateshead (GBR),08 JUL 1979,1118
73,10.26,-0.1,Silvio LEONARD,20 SEP 1955,CUB,2,,"Olympic Stadium, Montréal (CAN)",24 AUG 1979,1118
77,10.27,,Harvey GLANCE,28 MAR 1957,USA,1,,"Baton Rouge, LA (USA)",31 MAR 1979,1115
77,10.27,+0.9,Willie SMIT,12 JUL 1956,RSA,1,,Germiston (RSA),05 MAY 1979,1115
77,10.27,,Steve RIDDICK,18 SEP 1951,USA,5,,Kingston (JAM),11 MAY 1979,1115
77,10.27,+1.2,Don QUARRIE,25 FEB 1951,JAM,6,,Kingston (JAM),11 MAY 1979,1115
77,10.27,+1.2,Osvaldo LARA,13 JUL 1955,CUB,7,,Kingston (JAM),11 MAY 1979,1115
77,10.27,+1.1,Rich EDWARDS,06 MAY 1958,USA,3sf3,,"Walnut, CA (USA)",16 JUN 1979,1115
77,10.27,-0.7,Allan WELLS,03 MAY 1952,GBR,2,,Bremen (GER),23 JUN 1979,1119
77,10.27,+0.7,Silvio LEONARD,20 SEP 1955,CUB,1h1,,San Juan (PUR),07 JUL 1979,1115
77,10.27,-0.1,Harvey GLANCE,28 MAR 1957,USA,3f2,,Zürich (SUI),15 AUG 1979,1115
