Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
2,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,,Lausanne (SUI),03 JUL 1996,1257
3,9.87,+1.9,Frank FREDERICKS,02 OCT 1967,NAM,1,,Helsinki (FIN),25 JUN 1996,1252
4,9.89,+0.7,Frank FREDERICKS,02 OCT 1967,NAM,2,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1245
5,9.90,+0.7,Ato BOLDON,30 DEC 1973,TTO,3,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1241
6,9.91,+1.5,Dennis MITCHELL,20 FEB 1966,USA,1,,"Arena Civica Gianni Brera, Milano (ITA)",07 SEP 1996,1238
7,9.92,+0.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Eugene, OR (USA)",01 JUN 1996,1234
7,9.92,+1.1,Dennis MITCHELL,20 FEB 1966,USA,1,,"Atlanta, GA (USA)",15 JUN 1996,1234
9,9.93,+1.3,Ato BOLDON,30 DEC 1973,TTO,1,,"Walnut, CA (USA)",21 APR 1996,1231
9,9.93,-0.4,Donovan BAILEY,16 DEC 1967,CAN,2f1,,Lausanne (SUI),03 JUL 1996,1233
9,9.93,+1.1,Frank FREDERICKS,02 OCT 1967,NAM,1qf3,,"Olympic Stadium, Atlanta, GA (USA)",26 JUL 1996,1231
9,9.93,-0.6,Ato BOLDON,30 DEC 1973,TTO,1sf2,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1234
13,9.94,-0.4,Ato BOLDON,30 DEC 1973,TTO,3f1,,Lausanne (SUI),03 JUL 1996,1229
13,9.94,-0.5,Frank FREDERICKS,02 OCT 1967,NAM,1sf1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1230
15,9.95,+1.3,Michael MARSH,04 AUG 1967,USA,2,,"Walnut, CA (USA)",21 APR 1996,1224
15,9.95,+1.1,Frank FREDERICKS,02 OCT 1967,NAM,1,,St-Denis (FRA),03 JUN 1996,1224
15,9.95,-0.3,Ato BOLDON,30 DEC 1973,TTO,1qf1,,"Olympic Stadium, Atlanta, GA (USA)",26 JUL 1996,1225
15,9.95,+1.5,Donovan BAILEY,16 DEC 1967,CAN,2,,"Arena Civica Gianni Brera, Milano (ITA)",07 SEP 1996,1224
19,9.98,-0.1,Jon DRUMMOND,09 SEP 1968,USA,1sf,,"Atlanta, GA (USA)",15 JUN 1996,1213
19,9.98,+0.6,Dennis MITCHELL,20 FEB 1966,USA,1sf,,"Atlanta, GA (USA)",15 JUN 1996,1213
19,9.98,0.0,Donovan BAILEY,16 DEC 1967,CAN,1,,Montréal (CAN),21 JUN 1996,1213
22,9.99,+1.0,Frank FREDERICKS,02 OCT 1967,NAM,1,,Villeneuve d'Ascq (FRA),25 MAY 1996,1210
22,9.99,-0.3,Jon DRUMMOND,09 SEP 1968,USA,1h,,"Atlanta, GA (USA)",14 JUN 1996,1211
22,9.99,+0.7,Dennis MITCHELL,20 FEB 1966,USA,4,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1210
25,10.00,+1.6,Vincent HENDERSON,20 OCT 1972,USA,1,,"Fayetteville, AR (USA)",13 APR 1996,1206
25,10.00,+0.6,Jon DRUMMOND,09 SEP 1968,USA,1qf,,"Atlanta, GA (USA)",14 JUN 1996,1206
25,10.00,+1.1,Michael MARSH,04 AUG 1967,USA,2,,"Atlanta, GA (USA)",15 JUN 1996,1206
25,10.00,-0.1,Michael MARSH,04 AUG 1967,USA,2sf,,"Atlanta, GA (USA)",15 JUN 1996,1206
25,10.00,-0.4,Jon DRUMMOND,09 SEP 1968,USA,4f1,,Lausanne (SUI),03 JUL 1996,1208
25,10.00,+0.7,Michael MARSH,04 AUG 1967,USA,5,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1206
25,10.00,-0.5,Donovan BAILEY,16 DEC 1967,CAN,2sf1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1209
25,10.00,-0.6,Dennis MITCHELL,20 FEB 1966,USA,2sf2,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1209
33,10.01,+0.6,Jeff LAYNES,03 OCT 1970,USA,1,,"Tempe, AZ (USA)",06 APR 1996,1203
33,10.01,+0.6,Leroy BURRELL,21 FEB 1967,USA,2qf,,"Atlanta, GA (USA)",14 JUN 1996,1203
33,10.01,+1.1,Jon DRUMMOND,09 SEP 1968,USA,3,,"Atlanta, GA (USA)",15 JUN 1996,1203
33,10.01,+0.6,Davidson EZINWA,22 NOV 1971,NGR,1,,Linz (AUT),21 AUG 1996,1203
37,10.02,+0.3,Jeff WILLIAMS,31 DEC 1965,USA,1h,,"Atlanta, GA (USA)",14 JUN 1996,1199
37,10.02,+0.6,Tim HARDEN,27 JAN 1974,USA,2sf,,"Atlanta, GA (USA)",15 JUN 1996,1199
37,10.02,+1.2,Frank FREDERICKS,02 OCT 1967,NAM,1,,Tokyo (JPN),16 SEP 1996,1199
40,10.03,+1.8,Brian LEWIS,05 DEC 1974,USA,1,,"Modesto, CA (USA)",11 MAY 1996,1196
