Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.76,+1.4,Fred KERLEY,07 MAY 1995,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1291
2,9.77,+1.8,Fred KERLEY,07 MAY 1995,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1287
3,9.79,+0.1,Fred KERLEY,07 MAY 1995,USA,1h2,,"Hayward Field, Eugene, OR (USA)",15 JUL 2022,1280
4,9.81,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1273
5,9.83,+1.5,Fred KERLEY,07 MAY 1995,USA,1h2,,"Hayward Field, Eugene, OR (USA)",23 JUN 2022,1266
6,9.85,+2.0,Ferdinand OMANYALA,02 JAN 1996,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1259
6,9.85,+1.8,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1259
6,9.85,+1.0,Yohan BLAKE,26 DEC 1989,JAM,1,,"National Stadium, Kingston (JAM)",24 JUN 2022,1259
9,9.86,+0.2,Oblique SEVILLE,16 MAR 2001,JAM,1,,"National Stadium, Kingston (JAM)",21 MAY 2022,1255
9,9.86,+0.7,Micah WILLIAMS,12 NOV 2001,USA,1h2,,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1255
9,9.86,+1.5,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2sf2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1255
9,9.86,-0.1,Fred KERLEY,07 MAY 1995,USA,1,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1255
13,9.87,+1.5,Christian COLEMAN,06 MAR 1996,USA,3sf2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1252
14,9.88,+1.8,Trayvon BROMELL,10 JUL 1995,USA,3,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1248
14,9.88,+1.0,Oblique SEVILLE,16 MAR 2001,JAM,2,,"National Stadium, Kingston (JAM)",24 JUN 2022,1248
14,9.88,-0.1,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1248
