Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.76,+1.2,Trayvon BROMELL,10 JUL 1995,USA,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1291
2,9.77,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1287
2,9.77,+1.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1287
4,9.80,+0.8,Trayvon BROMELL,10 JUL 1995,USA,1,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1276
4,9.80,+0.1,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1276
6,9.83,+0.9,Bingtian SU,29 AUG 1989,CHN,1sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
6,9.83,+0.9,Ronnie BAKER,15 OCT 1993,USA,2sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
8,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
8,9.84,+0.1,Fred KERLEY,07 MAY 1995,USA,2,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
8,9.84,+0.9,Lamont Marcell JACOBS,26 SEP 1994,ITA,3sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
11,9.85,+1.5,Marvin BRACY,15 DEC 1993,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1259
11,9.85,+0.8,Ronnie BAKER,15 OCT 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1259
11,9.85,-0.4,Marvin BRACY,15 DEC 1993,USA,1,,"Christian Brothers HS, Memphis, TN (USA)",15 AUG 2021,1261
14,9.86,+0.8,Fred KERLEY,07 MAY 1995,USA,3,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1255
14,9.86,+0.6,Ferdinand OMANYALA,02 JAN 1996,KEN,1f1,,"Pramtalstadion, Andorf (AUT)",14 AUG 2021,1255
14,9.86,+0.8,Marvin BRACY,15 DEC 1993,USA,1,,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1255
17,9.87,-0.4,Fred KERLEY,07 MAY 1995,USA,1,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1254
18,9.88,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1248
18,9.88,+1.9,Ronnie BAKER,15 OCT 1993,USA,1h4,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1248
20,9.89,+0.2,Isiah YOUNG,05 JAN 1990,USA,1f1,,"National Training Center, Clermont, FL (USA)",30 MAY 2021,1245
