Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.86,+0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1255
2,9.87,+1.3,Ato BOLDON,30 DEC 1973,TTO,1qf1,,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1252
3,9.89,+0.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Modesto, CA (USA)",10 MAY 1997,1245
4,9.90,+2.0,Maurice GREENE,23 JUL 1974,USA,1,,"Indianapolis, IN (USA)",13 JUN 1997,1241
4,9.90,+1.0,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1997,1241
4,9.90,0.0,Ato BOLDON,30 DEC 1973,TTO,1,,Stuttgart (GER),13 JUL 1997,1241
4,9.90,+1.3,Maurice GREENE,23 JUL 1974,USA,2qf1,,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1241
4,9.90,+0.5,Maurice GREENE,23 JUL 1974,USA,1sf2,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1241
4,9.90,+0.2,Frank FREDERICKS,02 OCT 1967,NAM,1,,Bruxelles (BEL),22 AUG 1997,1241
10,9.91,+1.0,Frank FREDERICKS,02 OCT 1967,NAM,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1997,1238
10,9.91,+0.2,Donovan BAILEY,16 DEC 1967,CAN,2,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1238
10,9.91,+0.5,Donovan BAILEY,16 DEC 1967,CAN,2sf2,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1238
13,9.92,+0.8,Jon DRUMMOND,09 SEP 1968,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1234
13,9.92,+0.2,Tim MONTGOMERY,28 JAN 1975,USA,2,,"Indianapolis, IN (USA)",13 JUN 1997,1234
13,9.92,+0.2,Maurice GREENE,23 JUL 1974,USA,2,,Bruxelles (BEL),22 AUG 1997,1234
16,9.93,+0.5,Frank FREDERICKS,02 OCT 1967,NAM,3sf2,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1231
17,9.94,+0.5,Donovan BAILEY,16 DEC 1967,CAN,1,,Nürnberg (GER),13 JUN 1997,1227
17,9.94,+0.2,Tim MONTGOMERY,28 JAN 1975,USA,3,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1227
17,9.94,+0.2,Tim MONTGOMERY,28 JAN 1975,USA,3,,Bruxelles (BEL),22 AUG 1997,1227
20,9.95,+0.7,Frank FREDERICKS,02 OCT 1967,NAM,1,,Villeneuve d'Ascq (FRA),29 JUN 1997,1224
20,9.95,+0.6,Ato BOLDON,30 DEC 1973,TTO,1f1,,Stockholm (SWE),07 JUL 1997,1224
20,9.95,+0.2,Frank FREDERICKS,02 OCT 1967,NAM,4,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1224
23,9.96,+0.8,Kareem STREETE-THOMPSON,30 MAR 1973,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1220
23,9.96,+1.5,Maurice GREENE,23 JUL 1974,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1220
23,9.96,+1.6,Tim MONTGOMERY,28 JAN 1975,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1220
