Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.85,+0.6,Justin GATLIN,10 FEB 1982,USA,1,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1259
2,9.86,+0.6,Francis OBIKWELU,22 NOV 1978,POR,2,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
3,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,3,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1252
3,9.87,+0.2,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1252
5,9.88,+1.8,Shawn CRAWFORD,14 JAN 1978,USA,1,,"Eugene, OR (USA)",19 JUN 2004,1248
6,9.89,0.0,Shawn CRAWFORD,14 JAN 1978,USA,1qf2,,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1245
6,9.89,+0.6,Shawn CRAWFORD,14 JAN 1978,USA,4,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1245
8,9.91,-0.1,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),27 JUN 2004,1238
8,9.91,0.0,Maurice GREENE,23 JUL 1974,USA,1,,"Sacramento, CA (USA)",11 JUL 2004,1238
8,9.91,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Crystal Palace, London (GBR)",30 JUL 2004,1239
11,9.92,0.0,Justin GATLIN,10 FEB 1982,USA,2,,"Sacramento, CA (USA)",11 JUL 2004,1234
12,9.93,+1.8,Maurice GREENE,23 JUL 1974,USA,2,,"Eugene, OR (USA)",19 JUN 2004,1231
12,9.93,0.0,Shawn CRAWFORD,14 JAN 1978,USA,3,,"Sacramento, CA (USA)",11 JUL 2004,1231
12,9.93,+0.8,Shawn CRAWFORD,14 JAN 1978,USA,1sf2,,"Sacramento, CA (USA)",11 JUL 2004,1231
12,9.93,-0.5,Asafa POWELL,23 NOV 1982,JAM,1f1,,Zürich (SUI),06 AUG 2004,1234
12,9.93,0.0,Francis OBIKWELU,22 NOV 1978,POR,1qf1,,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1231
