Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.77,-0.3,Usain BOLT,21 AUG 1986,JAM,1,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1288
2,9.80,+0.6,Usain BOLT,21 AUG 1986,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1276
3,9.85,+0.2,Usain BOLT,21 AUG 1986,JAM,1f1,,"Olympic Stadium, London (GBR)",26 JUL 2013,1259
3,9.85,-0.3,Justin GATLIN,10 FEB 1982,USA,2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1260
5,9.87,+1.8,Nesta CARTER,11 OCT 1985,JAM,1f1,,"Moratalaz, Madrid (ESP)",13 JUL 2013,1252
6,9.89,+1.1,Justin GATLIN,10 FEB 1982,USA,1,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1245
7,9.90,+0.4,Nickel ASHMEADE,07 APR 1990,JAM,1sf2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1241
7,9.90,-0.3,Usain BOLT,21 AUG 1986,JAM,1,,"Letzigrund, Zürich (SUI)",29 AUG 2013,1242
7,9.90,+0.6,Michael RODGERS,24 APR 1985,USA,2,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1241
10,9.91,+0.1,Justin GATLIN,10 FEB 1982,USA,1,,Beijing (CHN),21 MAY 2013,1238
10,9.91,+1.1,James DASAOLU,05 SEP 1987,GBR,1sf2,,Birmingham (GBR),13 JUL 2013,1238
12,9.92,+0.1,Usain BOLT,21 AUG 1986,JAM,1sf3,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1234
13,9.93,+0.4,Kemar BAILEY-COLE,10 JAN 1992,JAM,2sf2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1231
13,9.93,+0.1,Michael RODGERS,24 APR 1985,USA,2sf3,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1231
15,9.94,+0.8,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1227
15,9.94,-1.2,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),21 JUN 2013,1234
15,9.94,-0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1229
15,9.94,-0.2,Justin GATLIN,10 FEB 1982,USA,1sf1,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1228
15,9.94,-0.3,Nickel ASHMEADE,07 APR 1990,JAM,2,,"Letzigrund, Zürich (SUI)",29 AUG 2013,1228
15,9.94,+0.6,Nesta CARTER,11 OCT 1985,JAM,3,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1227
15,9.94,+0.6,Justin GATLIN,10 FEB 1982,USA,4,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1227
22,9.95,+0.8,Usain BOLT,21 AUG 1986,JAM,2f1,,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1224
22,9.95,+0.3,Jimmy VICAUT,27 FEB 1992,FRA,1,,Paris (FRA),13 JUL 2013,1224
22,9.95,+0.9,Jimmy VICAUT,27 FEB 1992,FRA,1h2,,Paris (FRA),13 JUL 2013,1224
22,9.95,-0.3,Nesta CARTER,11 OCT 1985,JAM,3,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1225
26,9.96,+0.1,Michael RODGERS,24 APR 1985,USA,2,,Beijing (CHN),21 MAY 2013,1220
26,9.96,+1.5,Kemar BAILEY-COLE,10 JAN 1992,JAM,1f1,,Kingston (JAM),08 JUN 2013,1220
26,9.96,+2.0,Michael RODGERS,24 APR 1985,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1220
26,9.96,-0.4,Dentarius LOCKE,12 DEC 1989,USA,2,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1222
26,9.96,-0.3,Justin GATLIN,10 FEB 1982,USA,3,,"Letzigrund, Zürich (SUI)",29 AUG 2013,1221
31,9.97,+1.2,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1217
31,9.97,+1.9,Dentarius LOCKE,12 DEC 1989,USA,1h1,,"Eugene, OR (USA)",05 JUN 2013,1217
31,9.97,-0.5,Nesta CARTER,11 OCT 1985,JAM,1sf2,,Kingston (JAM),21 JUN 2013,1220
31,9.97,+2.0,Kim COLLINS,05 APR 1976,SKN,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1217
31,9.97,-0.2,Nesta CARTER,11 OCT 1985,JAM,2sf1,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1218
31,9.97,+0.4,James DASAOLU,05 SEP 1987,GBR,3sf2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1217
31,9.97,+0.1,Michael RODGERS,24 APR 1985,USA,1f1,,"Sports Park Mladost, Zagreb (CRO)",03 SEP 2013,1217
38,9.98,+1.9,Gabriel MVUMVURE,23 FEB 1988,ZIM,1f1,,"Montverde, FL (USA)",08 JUN 2013,1213
