Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.77,+1.6,Asafa POWELL,23 NOV 1982,JAM,1,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1287
2,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),07 MAY 2005,1262
3,9.85,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,,Ostrava (CZE),09 JUN 2005,1259
4,9.88,+0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1248
5,9.89,+1.0,Justin GATLIN,10 FEB 1982,USA,1,,"Crystal Palace, London (GBR)",22 JUL 2005,1245
6,9.94,+1.0,Leonard SCOTT,19 JAN 1980,USA,2,,"Crystal Palace, London (GBR)",22 JUL 2005,1227
7,9.96,+1.0,Marc BURNS,07 JAN 1983,TTO,1,,Port-of-Spain (TTO),25 JUN 2005,1220
7,9.96,+0.6,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1220
9,9.98,+1.9,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1213
10,9.99,+1.6,Aziz ZAKARI,02 SEP 1976,GHA,2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1210
10,9.99,+1.0,Darrel BROWN,11 OCT 1984,TTO,2,,Port-of-Spain (TTO),25 JUN 2005,1210
10,9.99,+1.0,Shawn CRAWFORD,14 JAN 1978,USA,1sf1,,"Carson, CA (USA)",25 JUN 2005,1210
10,9.99,+1.8,Ronald POGNON,16 NOV 1982,FRA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1210
10,9.99,-1.0,Justin GATLIN,10 FEB 1982,USA,1sf2,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1216
10,9.99,0.0,Justin GATLIN,10 FEB 1982,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1210
10,9.99,+0.5,Aziz ZAKARI,02 SEP 1976,GHA,1,,Rieti (ITA),28 AUG 2005,1210
17,10.00,+1.0,Justin GATLIN,10 FEB 1982,USA,2sf1,,"Carson, CA (USA)",25 JUN 2005,1206
17,10.00,+1.0,Kim COLLINS,05 APR 1976,SKN,3,,"Crystal Palace, London (GBR)",22 JUL 2005,1206
17,10.00,-1.0,Aziz ZAKARI,02 SEP 1976,GHA,2sf2,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1212
17,10.00,+0.5,Dwight THOMAS,23 SEP 1980,JAM,1,,Linz (AUT),23 AUG 2005,1206
17,10.00,-0.6,Marc BURNS,07 JAN 1983,TTO,1,,"Stade Louis II, Monaco (MON)",10 SEP 2005,1209
