Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.77,+0.6,Justin GATLIN,10 FEB 1982,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1287
2,9.80,+0.1,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1276
3,9.82,+1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,,Port-of-Spain (TTO),21 JUN 2014,1269
3,9.82,-0.1,Justin GATLIN,10 FEB 1982,USA,1,,Linz (AUT),14 JUL 2014,1269
5,9.83,+0.7,Justin GATLIN,10 FEB 1982,USA,1f2,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1266
6,9.86,-0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1257
7,9.87,0.0,Justin GATLIN,10 FEB 1982,USA,1,,Beijing (CHN),21 MAY 2014,1252
7,9.87,+1.6,Asafa POWELL,23 NOV 1982,JAM,1f4,,"Austin, TX (USA)",23 AUG 2014,1252
9,9.90,+0.7,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1241
10,9.91,+0.4,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1238
10,9.91,+1.0,Michael RODGERS,24 APR 1985,USA,1f1,,London (GBR),20 JUL 2014,1238
12,9.92,0.0,Justin GATLIN,10 FEB 1982,USA,1,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2014,1234
12,9.92,-0.1,Michael RODGERS,24 APR 1985,USA,2,,Linz (AUT),14 JUL 2014,1234
14,9.93,+1.8,Kemarley BROWN,20 JUL 1992,JAM,1,,"Walnut, CA (USA)",17 MAY 2014,1231
14,9.93,+0.1,Tyson GAY,09 AUG 1982,USA,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1231
14,9.93,+0.6,Michael RODGERS,24 APR 1985,USA,2,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1231
14,9.93,+0.4,Femi OGUNODE,15 MAY 1991,QAT,1,,Incheon (KOR),28 SEP 2014,1231
18,9.95,+1.7,Jimmy VICAUT,27 FEB 1992,FRA,1f1,,Aix-les-Bains (FRA),18 MAY 2014,1224
18,9.95,+1.4,Richard THOMPSON,07 JUN 1985,TTO,1,,"FBK Stadium, Hengelo (NED)",08 JUN 2014,1224
18,9.95,+0.6,Asafa POWELL,23 NOV 1982,JAM,3,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1224
21,9.96,+1.4,Chijindu UJAH,05 MAR 1994,GBR,2,,"FBK Stadium, Hengelo (NED)",08 JUN 2014,1220
21,9.96,+1.0,Kim COLLINS,05 APR 1976,SKN,2f1,,London (GBR),20 JUL 2014,1220
21,9.96,+2.0,Nesta CARTER,11 OCT 1985,JAM,1,,"Olympiastadion, Stockholm (SWE)",21 AUG 2014,1220
21,9.96,-0.3,Kemar BAILEY-COLE,10 JAN 1992,JAM,1f1,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1221
21,9.96,+0.6,Kemar BAILEY-COLE,10 JAN 1992,JAM,4,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1220
26,9.97,+1.8,Trayvon BROMELL,10 JUL 1995,USA,1,,"Eugene, OR (USA)",13 JUN 2014,1217
26,9.97,+0.3,Nickel ASHMEADE,07 APR 1990,JAM,1f1,,"Hampden Park, Glasgow (GBR)",11 JUL 2014,1217
26,9.97,+0.3,Michael RODGERS,24 APR 1985,USA,2f1,,"Hampden Park, Glasgow (GBR)",11 JUL 2014,1217
29,9.98,+1.4,Simon MAGAKWE,14 MAY 1986,RSA,1,,Pretoria (RSA),12 APR 2014,1213
29,9.98,+0.1,Michael RODGERS,24 APR 1985,USA,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1213
29,9.98,+0.3,Nesta CARTER,11 OCT 1985,JAM,3f1,,"Hampden Park, Glasgow (GBR)",11 JUL 2014,1213
29,9.98,-0.6,Usain BOLT,21 AUG 1986,JAM,1,,"Stadion PGE Narodowy, Warszawa (POL)",23 AUG 2014,1216
33,10.00,+1.7,Keston BLEDMAN,08 MAR 1988,TTO,2f2,,Port-of-Spain (TTO),21 JUN 2014,1206
33,10.00,-0.8,Michael RODGERS,24 APR 1985,USA,1,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1210
33,10.00,+1.6,Trentavis FRIDAY,05 JUN 1995,USA,1h1,,"Eugene, OR (USA)",05 JUL 2014,1206
33,10.00,+1.0,Nesta CARTER,11 OCT 1985,JAM,3f1,,London (GBR),20 JUL 2014,1206
33,10.00,0.0,Kemar BAILEY-COLE,10 JAN 1992,JAM,1,,"Hampden Park, Glasgow (GBR)",28 JUL 2014,1206
33,10.00,-0.5,Kemar BAILEY-COLE,10 JAN 1992,JAM,1sf3,,"Hampden Park, Glasgow (GBR)",28 JUL 2014,1209
33,10.00,0.0,Justin GATLIN,10 FEB 1982,USA,1f1,,Amsterdam (NED),22 AUG 2014,1206
33,10.00,+0.6,James DASAOLU,05 SEP 1987,GBR,5,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1206
41,10.01,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1,,"Austin, TX (USA)",29 MAR 2014,1203
41,10.01,0.0,Antoine ADAMS,31 AUG 1988,SKN,1,,Basseterre (SKN),22 JUN 2014,1203
41,10.01,+0.6,Tyson GAY,09 AUG 1982,USA,6,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1203
41,10.01,+0.6,Nesta CARTER,11 OCT 1985,JAM,7,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1203
45,10.02,+0.9,Trayvon BROMELL,10 JUL 1995,USA,1h1,,"Austin, TX (USA)",28 MAR 2014,1199
45,10.02,+1.4,Akani SIMBINE,21 SEP 1993,RSA,2,,Pretoria (RSA),12 APR 2014,1199
45,10.02,+1.0,Alonso EDWARD,08 DEC 1989,PAN,h8,,"Clermont, FL (USA)",26 APR 2014,1199
45,10.02,-3.5,Justin GATLIN,10 FEB 1982,USA,1,,Tokyo (JPN),11 MAY 2014,1220
45,10.02,+0.4,Nesta CARTER,11 OCT 1985,JAM,2f1,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1199
45,10.02,+0.6,Yohan BLAKE,26 DEC 1989,JAM,1f11,,Kingston (JAM),07 JUN 2014,1199
45,10.02,-0.6,Richard THOMPSON,07 JUN 1985,TTO,1,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1202
45,10.02,+1.8,Dentarius LOCKE,12 DEC 1989,USA,2,,"Eugene, OR (USA)",13 JUN 2014,1199
45,10.02,-0.3,Nickel ASHMEADE,07 APR 1990,JAM,1sf1,,Kingston (JAM),27 JUN 2014,1200
45,10.02,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,,"Mangueirão, Belém (BRA)",10 AUG 2014,1199
45,10.02,+0.2,Femi OGUNODE,15 MAY 1991,QAT,1sf2,,Incheon (KOR),28 SEP 2014,1199
56,10.03,+1.5,Gerald PHIRI,06 OCT 1988,ZAM,1f1,,"Clermont, FL (USA)",10 MAY 2014,1196
56,10.03,+1.5,Julian FORTE,07 JAN 1993,JAM,1f10,,Kingston (JAM),17 MAY 2014,1196
56,10.03,0.0,Michael RODGERS,24 APR 1985,USA,2,,Beijing (CHN),21 MAY 2014,1196
56,10.03,+0.7,Jimmy VICAUT,27 FEB 1992,FRA,1f1,,"Eintracht-Stadion, Braunschweig (GER)",21 JUN 2014,1196
56,10.03,+1.4,Keston BLEDMAN,08 MAR 1988,TTO,1sf3,,Port-of-Spain (TTO),21 JUN 2014,1196
56,10.03,-0.1,James DASAOLU,05 SEP 1987,GBR,1f2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1196
56,10.03,+0.3,James DASAOLU,05 SEP 1987,GBR,4f1,,"Hampden Park, Glasgow (GBR)",11 JUL 2014,1196
56,10.03,+1.4,Kemar BAILEY-COLE,10 JAN 1992,JAM,1f2,,"Hampden Park, Glasgow (GBR)",11 JUL 2014,1196
