Competitor,Rank,Mark,WIND,DOB,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
Carl LEWIS,9471,10.14,-0.5,1-Jul-61,USA,1qf2,"Los Angeles, CA (USA)",16-Jun-84,1162,10.09,63,22,1,1984
Carl LEWIS,9471,10.14,,1-Jul-61,USA,1sf2,"Memorial Coliseum, Los Angeles, CA (USA)",4-Aug-84,1159,10.14,63,23,1,1984
Carl LEWIS,9471,10.14,0,1-Jul-61,USA,1,"Walnut, CA (USA)",27-Apr-86,1159,10.14,63,24,1,1986
Carl LEWIS,9471,10.14,0.9,1-Jul-61,USA,1h13,"Olympic Stadium, Jamsil, Seoul (KOR)",23-Sep-88,1159,10.23,63,27,1,1988
Carl LEWIS,10382,10.15,-2.1,1-Jul-61,USA,1sf2,"Los Angeles, CA (USA)",17-Jun-84,1167,9.94,63,22,1,1984
Carl LEWIS,18909,10.22,1.4,1-Jul-61,USA,30,Gateshead (GBR),30-Jul-93,1132,10.36,63,32,3,1993
Carl LEWIS,53,9.78,5.2,1-Jul-61,USA,1,"Indianapolis, IN (USA)",16-Jul-88,1252,10.3,63,27,1,1988
Carl LEWIS,31544,10.29,2,1-Jul-61,USA,2h1,"Eugene, OR (USA)",21-Jun-80,1108,10.49,63,18,2,1980
Carl LEWIS,2531,10.02,0.4,1-Jul-61,USA,1,"New York, NY (USA)",20-Jul-91,1199,10.06,63,30,1,1991
Carl LEWIS,7744,10.12,0.2,1-Jul-61,USA,1h9,"National Stadium, Tokyo (JPN)",24-Aug-91,1165,10.14,63,30,1,1991
Carl LEWIS,6354,10.1,0.4,1-Jul-61,USA,3,Bruxelles (BEL),23-Aug-96,1172,10.14,63,35,3,1996
Carl LEWIS,33876,10.3,0.5,1-Jul-61,USA,5,K?ln (GER),10-Aug-80,1105,10.35,63,19,5,1980
Carl LEWIS,1954,10,0,1-Jul-61,USA,1f3,"Dallas, TX (USA)",16-May-81,1206,10,63,19,1,1981
Carl LEWIS,704,9.93,1.1,1-Jul-61,USA,1f1,"Letzigrund, Z¨¹rich (SUI)",17-Aug-88,1231,10.04,63,27,1,1988
Carl LEWIS,704,9.93,1,1-Jul-61,USA,1,"Stadio Olimpico, Roma (ITA)",30-Aug-87,1231,10.03,63,26,1,1987
Carl LEWIS,22081,10.24,-1,1-Jul-61,USA,1,Bruxelles (BEL),30-Aug-85,1131,10.14,63,24,1,1985
Carl LEWIS,439,9.9,4.8,1-Jul-61,USA,3,"Eugene, OR (USA)",17-Jun-93,1213,10.38,63,31,3,1993
Carl LEWIS,1954,10,1.9,1-Jul-61,USA,1f1,"Modesto, CA (USA)",15-May-82,1206,10.19,63,20,1,1982
Carl LEWIS,23770,10.25,0.8,1-Jul-61,USA,5,Paris (FRA),3-Jul-95,1122,10.33,63,34,5,1995
Carl LEWIS,2845,10.03,0.6,1-Jul-61,USA,3sf,"Atlanta, GA (USA)",15-Jun-96,1196,10.09,63,34,3,1996
Carl LEWIS,439,9.9,2.5,1-Jul-61,USA,1,"Walnut, CA (USA)",28-Apr-85,1226,10.15,63,23,1,1985
Carl LEWIS,830,9.94,5.3,1-Jul-61,USA,3f2,"Austin, TX (USA)",8-Apr-95,1196,10.47,63,33,3,1995
Carl LEWIS,830,9.94,2.1,1-Jul-61,USA,2,"Atlanta, GA (USA)",18-May-96,1215,10.15,63,34,2,1996
Carl LEWIS,12446,10.17,0,1-Jul-61,USA,1h1,Firenze (ITA),10-Jun-81,1148,10.17,63,19,1,1981
Carl LEWIS,1954,10,2.1,1-Jul-61,USA,1,San Jos¨¦ (USA),26-May-84,1194,10.21,63,22,1,1984
Carl LEWIS,704,9.93,2.3,1-Jul-61,USA,1,"Walnut, CA (USA)",24-Apr-83,1218,10.16,63,21,1,1983
Carl LEWIS,23770,10.25,-0.4,1-Jul-61,USA,2,Tokyo (JPN),19-Sep-92,1124,10.21,63,31,2,1992
Carl LEWIS,12446,10.17,-0.1,1-Jul-61,USA,2qf3,"New Orleans, LA (USA)",19-Jun-92,1148,10.16,63,30,2,1992
Carl LEWIS,519,9.91,4.5,1-Jul-61,USA,1,"Eugene, OR (USA)",20-Jun-86,1211,10.36,63,24,1,1986
Carl LEWIS,16027,10.2,0.8,1-Jul-61,USA,1qf2,"Olympiastadion, Helsinki (FIN)",7-Aug-83,1138,10.28,63,22,1,1983
Carl LEWIS,704,9.93,1.9,1-Jul-61,USA,2,"New York, NY (USA)",14-Jun-91,1231,10.12,63,29,2,1991
Carl LEWIS,3236,10.04,0.8,1-Jul-61,USA,1qf5,"Memorial Coliseum, Los Angeles, CA (USA)",3-Aug-84,1193,10.12,63,23,1,1984
Carl LEWIS,704,9.93,1.3,1-Jul-61,USA,1sf1,"National Stadium, Tokyo (JPN)",25-Aug-91,1231,10.06,63,30,1,1991
Carl LEWIS,6354,10.1,1.1,1-Jul-61,USA,2h,"Atlanta, GA (USA)",14-Jun-96,1172,10.21,63,34,2,1996
Carl LEWIS,4606,10.07,0,1-Jul-61,USA,4f1,Z¨¹rich (SUI),4-Aug-93,1182,10.07,63,32,4,1993
Carl LEWIS,4606,10.07,0.8,1-Jul-61,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",7-Jul-93,1182,10.15,63,32,2,1993
Carl LEWIS,4606,10.07,1.5,1-Jul-61,USA,3,Villeneuve d'Ascq (FRA),2-Jul-93,1182,10.22,63,32,3,1993
Carl LEWIS,4606,10.07,-0.7,1-Jul-61,USA,1f1,Z¨¹rich (SUI),19-Aug-92,1186,10,63,31,1,1992
Carl LEWIS,7744,10.12,0.4,1-Jul-61,USA,3,Athina (GRE),7-Sep-90,1165,10.16,63,29,3,1990
Carl LEWIS,7744,10.12,-1,1-Jul-61,USA,2f1,"Letzigrund, Z¨¹rich (SUI)",7-Aug-91,1171,10.02,63,30,2,1991
Carl LEWIS,7744,10.12,-0.6,1-Jul-61,USA,3f1,"Walnut, CA (USA)",18-Apr-92,1168,10.06,63,30,3,1992
Carl LEWIS,13525,10.18,0.5,1-Jul-61,USA,2,Torino (ITA),4-Sep-92,1145,10.23,63,31,2,1992
Carl LEWIS,5146,10.08,1.1,1-Jul-61,USA,2,"Seattle, WA (USA)",23-Jul-90,1179,10.19,63,29,2,1990
Carl LEWIS,4606,10.07,0.5,1-Jul-61,USA,1,Sevilla (ESP),28-May-87,1182,10.12,63,25,1,1987
Carl LEWIS,4606,10.07,0,1-Jul-61,USA,1,Berlin (GER),17-Aug-83,1182,10.07,63,22,1,1983
Carl LEWIS,4606,10.07,-0.3,1-Jul-61,USA,1,"Olympiastadion, Helsinki (FIN)",8-Aug-83,1183,10.04,63,22,1,1983
Carl LEWIS,7744,10.12,0.5,1-Jul-61,USA,1,"Houston, TX (USA)",3-May-87,1165,10.17,63,25,1,1987
Carl LEWIS,7744,10.12,1.9,1-Jul-61,USA,1,Tokyo (JPN),21-Sep-85,1165,10.31,63,24,1,1985
Carl LEWIS,22081,10.24,-0.2,1-Jul-61,USA,1,Ingolstadt (GER),17-Jul-94,1126,10.22,63,33,1,1994
Carl LEWIS,13525,10.18,-0.7,1-Jul-61,USA,1,Jerez de la Frontera (ESP),3-Sep-90,1149,10.11,63,29,1,1990
Carl LEWIS,13525,10.18,0.9,1-Jul-61,USA,2,San Jos¨¦ (USA),31-May-86,1145,10.27,63,24,2,1986
Carl LEWIS,5146,10.08,1.3,1-Jul-61,USA,1,"Eugene, OR (USA)",7-Jun-86,1179,10.21,63,24,1,1986
Carl LEWIS,5146,10.08,1.2,1-Jul-61,USA,1,Berlin (GER),20-Aug-82,1179,10.2,63,21,1,1982
Carl LEWIS,17420,10.21,-0.4,1-Jul-61,USA,1,"Knoxville, TN (USA)",16-Jun-80,1137,10.17,63,18,1,1980
Carl LEWIS,23770,10.25,-0.7,1-Jul-61,USA,3,"Letzigrund, Z¨¹rich (SUI)",13-Aug-86,1126,10.18,63,25,3,1986
Carl LEWIS,31544,10.29,0.9,1-Jul-61,USA,5,"Walnut, CA (USA)",24-Apr-88,1108,10.38,63,26,5,1988
Carl LEWIS,23770,10.25,0.9,1-Jul-61,USA,2,"Westwood, CA (USA)",1-Aug-81,1122,10.34,63,20,2,1981
Carl LEWIS,8587,10.13,0,1-Jul-61,USA,1,"Knoxville, TN (USA)",23-May-81,1162,10.13,63,19,1,1981
Carl LEWIS,23770,10.25,NWI,1-Jul-61,USA,1,Viareggio (ITA),11-Aug-82,1092,#VALUE!,63,21,1,1982
Carl LEWIS,8587,10.13,0,1-Jul-61,USA,1,Firenze (ITA),10-Jun-81,1162,10.13,63,19,1,1981
Carl LEWIS,8587,10.13,0.4,1-Jul-61,USA,1,"Sacramento, CA (USA)",20-Jun-81,1162,10.17,63,19,1,1981
Carl LEWIS,2845,10.03,-1.3,1-Jul-61,USA,1sf2,"Stadio Olimpico, Roma (ITA)",30-Aug-87,1203,9.9,63,26,1,1987
Carl LEWIS,25590,10.26,1.5,1-Jul-61,USA,1,Oslo (NOR),14-Jul-90,1118,10.41,63,29,1,1990
Carl LEWIS,16027,10.2,0,1-Jul-61,USA,3,"New York, NY (USA)",22-May-93,1138,10.2,63,31,3,1993
Carl LEWIS,7017,10.11,-0.8,1-Jul-61,USA,1qf1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14-Aug-93,1173,10.03,63,32,1,1993
Carl LEWIS,8587,10.13,0.2,1-Jul-61,USA,1,Tokyo (JPN),14-Sep-84,1162,10.15,63,23,1,1984
Carl LEWIS,25590,10.26,,1-Jul-61,USA,1,"Columbus, OH (USA)",8-May-83,1118,10.26,63,21,1,1983
Carl LEWIS,25590,10.26,2.5,1-Jul-61,USA,h,"Houston, TX (USA)",22-Mar-96,1103,10.51,63,34,,1996
Carl LEWIS,8587,10.13,0.2,1-Jul-61,USA,1,"Westwood, CA (USA)",5-Jun-88,1162,10.15,63,26,1,1988
Carl LEWIS,2845,10.03,3.4,1-Jul-61,USA,2,San Jos¨¦ (USA),28-May-83,1176,10.37,63,21,2,1983
Carl LEWIS,8587,10.13,1.3,1-Jul-61,USA,1,Les Abymes (FRA),6-May-89,1162,10.26,63,27,1,1989
Carl LEWIS,8587,10.13,-1.1,1-Jul-61,USA,1,Malm? (SWE),10-Aug-89,1168,10.02,63,28,1,1989
Carl LEWIS,2531,10.02,0.3,1-Jul-61,USA,3sf1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15-Aug-93,1199,10.05,63,32,3,1993
Carl LEWIS,2531,10.02,0.3,1-Jul-61,USA,4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15-Aug-93,1199,10.05,63,32,4,1993
Carl LEWIS,8587,10.13,1,1-Jul-61,USA,1h1,"New York, NY (USA)",13-Jun-91,1162,10.23,63,29,1,1991
Carl LEWIS,8587,10.13,-0.3,1-Jul-61,USA,2,Malm? (SWE),5-Aug-91,1163,10.1,63,30,2,1991
Carl LEWIS,2531,10.02,3.5,1-Jul-61,USA,1h2,"Eugene, OR (USA)",16-Jun-93,1178,10.37,63,31,1,1993
Carl LEWIS,8587,10.13,1.5,1-Jul-61,USA,1sf2,San Jos¨¦ (USA),27-Jun-87,1162,10.28,63,25,1,1987
Carl LEWIS,7017,10.11,1.2,1-Jul-61,USA,2,Oslo (NOR),1-Jul-89,1169,10.23,63,28,2,1989
Carl LEWIS,8587,10.13,1.8,1-Jul-61,USA,1sf1,"Baton Rouge, LA (USA)",5-Jun-81,1162,10.31,63,19,1,1981
Carl LEWIS,1716,9.99,1.3,1-Jul-61,USA,1,"Houston, TX (USA)",6-May-84,1210,10.12,63,22,1,1984
Carl LEWIS,3236,10.04,-0.6,1-Jul-61,USA,1,Bruxelles (BEL),19-Aug-88,1196,9.98,63,27,1,1988
Carl LEWIS,3236,10.04,2.2,1-Jul-61,USA,2sf2,"New York, NY (USA)",13-Jun-91,1180,10.26,63,29,2,1991
Carl LEWIS,968,9.95,2.8,1-Jul-61,USA,1,Villeneuve d'Ascq (FRA),27-Jun-88,1208,10.23,63,26,1,1988
Carl LEWIS,16027,10.2,0.5,1-Jul-61,USA,2sf1,"Norwalk, CA (USA)",14-Jun-90,1138,10.25,63,28,2,1990
Carl LEWIS,11386,10.16,0.3,1-Jul-61,USA,1h3,"Eugene, OR (USA)",19-Jun-86,1152,10.19,63,24,1,1986
Carl LEWIS,3236,10.04,1.2,1-Jul-61,USA,1,"Houston, TX (USA)",7-May-94,1193,10.16,63,32,1,1994
Carl LEWIS,607,9.92,1.1,1-Jul-61,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",24-Sep-88,1234,10.03,63,27,1,1988
Carl LEWIS,7017,10.11,0,1-Jul-61,USA,1,Lausanne (SUI),15-Sep-87,1169,10.11,63,26,1,1987
Carl LEWIS,1716,9.99,2.6,1-Jul-61,USA,1,"Baton Rouge, LA (USA)",5-Jun-81,1195,10.25,63,19,1,1981
Carl LEWIS,23770,10.25,,1-Jul-61,USA,1h2,"Knoxville, TN (USA)",23-May-81,1122,10.25,63,19,1,1981
Carl LEWIS,23770,10.25,-0.7,1-Jul-61,USA,2sf1,"Sacramento, CA (USA)",20-Jun-81,1126,10.18,63,19,2,1981
Carl LEWIS,7744,10.12,-0.8,1-Jul-61,USA,1,Madrid (ESP),4-Jun-87,1169,10.04,63,25,1,1987
Carl LEWIS,1716,9.99,0.2,1-Jul-61,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",4-Aug-84,1210,10.01,63,23,1,1984
Carl LEWIS,3236,10.04,0.6,1-Jul-61,USA,3qf,"Atlanta, GA (USA)",14-Jun-96,1193,10.1,63,34,3,1996
Carl LEWIS,23770,10.25,0.7,1-Jul-61,USA,2,"Houston, TX (USA)",3-May-80,1122,10.32,63,18,2,1980
Carl LEWIS,1716,9.99,1.4,1-Jul-61,USA,1qf5,"Olympic Stadium, Jamsil, Seoul (KOR)",23-Sep-88,1210,10.13,63,27,1,1988
Carl LEWIS,16027,10.2,0.8,1-Jul-61,USA,2,Villeneuve d'Ascq (FRA),1-Jul-91,1138,10.28,63,30,2,1991
Carl LEWIS,968,9.95,4.4,1-Jul-61,USA,2,K?benhavn (DEN),25-Aug-92,1198,10.39,63,31,2,1992
Carl LEWIS,17420,10.21,1.1,1-Jul-61,USA,8,"Atlanta, GA (USA)",15-Jun-96,1135,10.32,63,34,8,1996
Chijindu UJAH,6354,10.1,-0.8,5-Mar-94,GBR,3,"Olympiastadion, Stockholm (SWE)",4-Jul-21,1176,10.02,30,27,3,2021
Chijindu UJAH,4606,10.07,2,5-Mar-94,GBR,1er11,"Lee Valley Athletics Centre, London (GBR)",19-May-24,1182,10.27,30,30,1,2024
Chijindu UJAH,7017,10.11,0.7,5-Mar-94,GBR,2er1,"London Marathon Community Track, London (GBR)",26-May-24,1169,10.18,30,30,2,2024
Chijindu UJAH,4606,10.07,-0.2,5-Mar-94,GBR,2h4,"Olympic Stadium, London (GBR)",4-Aug-17,1183,10.05,30,23,2,2017
Chijindu UJAH,6354,10.1,0.4,5-Mar-94,GBR,2,"International Stadium, Gateshead (GBR)",13-Jul-21,1172,10.14,30,27,2,2021
Chijindu UJAH,7017,10.11,1.8,5-Mar-94,GBR,1er1,"Stratford Community Track, London (GBR)",30-Jun-23,1169,10.29,30,29,1,2023
Chijindu UJAH,7017,10.11,3.4,5-Mar-94,GBR,2f16,"Lee Valley Athletics Centre, London (GBR)",19-May-24,1149,10.45,30,30,2,2024
Chijindu UJAH,7017,10.11,2,5-Mar-94,GBR,6,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1169,10.31,30,21,6,2015
Chijindu UJAH,22081,10.24,0.3,5-Mar-94,GBR,2sf1,"Manchester Regional Arena, Manchester (GBR)",8-Jul-23,1125,10.27,30,29,2,2023
Chijindu UJAH,4132,10.06,0,5-Mar-94,GBR,4,"Olympiastadion, Berlin (GER)",7-Aug-18,1186,10.06,30,24,4,2018
Chijindu UJAH,6354,10.1,0.1,5-Mar-94,GBR,2f1,"Torrance, CA (USA)",15-Apr-17,1172,10.11,30,23,2,2017
Chijindu UJAH,3690,10.05,0.9,5-Mar-94,GBR,5sf2,"National Stadium, Beijing (CHN)",23-Aug-15,1189,10.14,30,21,5,2015
Chijindu UJAH,7744,10.12,-0.8,5-Mar-94,GBR,3,"Alexander Stadium, Birmingham (GBR)",5-Jun-16,1169,10.04,30,22,3,2016
Chijindu UJAH,7744,10.12,0.4,5-Mar-94,GBR,4sf3,"Olympic Stadium, London (GBR)",5-Aug-17,1165,10.16,30,23,4,2017
Chijindu UJAH,29380,10.28,2.5,5-Mar-94,GBR,1h5,"National Training Center, Clermont, FL (USA)",20-Apr-24,1097,10.53,30,30,1,2024
Chijindu UJAH,7744,10.12,2.4,5-Mar-94,GBR,6,"Hayward Field, Eugene, OR (USA)",26-May-18,1151,10.36,30,24,6,2018
Chijindu UJAH,29380,10.28,0.1,5-Mar-94,GBR,2f1,"London Marathon Community Track, London (GBR)",26-May-24,1112,10.29,30,30,2,2024
Chijindu UJAH,5146,10.08,-0.3,5-Mar-94,GBR,4,"Stade Louis II, Monaco (MON)",17-Jul-15,1180,10.05,30,21,4,2015
Chijindu UJAH,27452,10.27,-0.7,5-Mar-94,GBR,1er,Newham (GBR),16-Jul-14,1119,10.2,30,20,1,2014
Chijindu UJAH,27452,10.27,-1.9,5-Mar-94,GBR,4,"Alexander Stadium, Birmingham (GBR)",24-Aug-19,1126,10.08,30,25,4,2019
Chijindu UJAH,25590,10.26,-0.7,5-Mar-94,GBR,4f1,"Sports Park Mladost, Zagreb (CRO)",2-Sep-14,1122,10.19,30,20,4,2014
Chijindu UJAH,25590,10.26,0,5-Mar-94,GBR,1h3,Birmingham (GBR),28-Jun-14,1118,10.26,30,20,1,2014
Chijindu UJAH,27452,10.27,-1.3,5-Mar-94,GBR,1f1,Newham (GBR),16-Jul-14,1122,10.14,30,20,1,2014
Chijindu UJAH,3690,10.05,-0.4,5-Mar-94,GBR,1,"Sportcity Regional Arena, Manchester (GBR)",26-Jun-21,1191,10.01,30,27,1,2021
Chijindu UJAH,7744,10.12,1,5-Mar-94,GBR,3h2,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1165,10.22,30,27,3,2021
Chijindu UJAH,25590,10.26,1.5,5-Mar-94,GBR,1,Bedford (GBR),25-Aug-12,1118,10.41,30,18,1,2012
Chijindu UJAH,5722,10.09,-0.3,5-Mar-94,GBR,1,"FBK Stadium, Hengelo (NED)",24-May-15,1177,10.06,30,21,1,2015
Chijindu UJAH,33876,10.3,-1.1,5-Mar-94,GBR,3h2,G?teborg (SWE),15-Jul-16,1111,10.19,30,22,3,2016
Chijindu UJAH,33876,10.3,-1.6,5-Mar-94,GBR,3,G?teborg (SWE),15-Jul-16,1114,10.14,30,22,3,2016
Chijindu UJAH,968,9.95,2.4,5-Mar-94,GBR,3,"Hayward Field, Eugene, OR (USA)",27-May-17,1210,10.19,30,23,3,2017
Chijindu UJAH,3690,10.05,0.5,5-Mar-94,GBR,2h4,"National Stadium, Beijing (CHN)",22-Aug-15,1189,10.1,30,21,2,2015
Chijindu UJAH,20480,10.23,-1.9,5-Mar-94,GBR,4,"Alexander Stadium, Birmingham (GBR)",24-Aug-14,1139,10.04,30,20,4,2014
Chijindu UJAH,20480,10.23,-0.2,5-Mar-94,GBR,2,Gateshead (GBR),12-Sep-15,1129,10.21,30,21,2,2015
Chijindu UJAH,8587,10.13,1,5-Mar-94,GBR,4f1,London (GBR),20-Jul-14,1162,10.23,30,20,4,2014
Chijindu UJAH,5146,10.08,0.5,5-Mar-94,GBR,2f2,"Torrance, CA (USA)",21-Apr-18,1179,10.13,30,24,2,2018
Chijindu UJAH,1101,9.96,-0.8,5-Mar-94,GBR,4,"Olympic Stadium, London (GBR)",24-Jul-15,1224,9.88,30,21,4,2015
Chijindu UJAH,6354,10.1,-0.6,5-Mar-94,GBR,1,Birmingham (GBR),5-Jul-15,1175,10.04,30,21,1,2015
Chijindu UJAH,5146,10.08,-0.2,5-Mar-94,GBR,1,"Alexander Stadium, Birmingham (GBR)",20-Aug-17,1180,10.06,30,23,1,2017
Chijindu UJAH,8587,10.13,0.6,5-Mar-94,GBR,2,"FBK Stadium, Hengelo (NED)",9-Jun-19,1162,10.19,30,25,2,2019
Chijindu UJAH,4132,10.06,2.3,5-Mar-94,GBR,1h5,"National Training Center, Clermont, FL (USA)",2-May-21,1173,10.29,30,27,1,2021
Chijindu UJAH,1101,9.96,1.4,5-Mar-94,GBR,2,"FBK Stadium, Hengelo (NED)",8-Jun-14,1220,10.1,30,20,2,2014
Chijindu UJAH,8587,10.13,0.1,5-Mar-94,GBR,4h1,"Alexander Stadium, Birmingham (GBR)",18-Aug-18,1162,10.14,30,24,4,2018
Chijindu UJAH,18909,10.22,-0.8,5-Mar-94,GBR,1f1,Lee Valley (GBR),6-Aug-14,1136,10.14,30,20,1,2014
Chijindu UJAH,6354,10.1,-0.1,5-Mar-94,GBR,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10-Jun-21,1172,10.09,30,27,2,2021
Chijindu UJAH,8587,10.13,1.9,5-Mar-94,GBR,3,"Des Moines, IA (USA)",28-Apr-18,1162,10.32,30,24,3,2018
Chijindu UJAH,8587,10.13,0.4,5-Mar-94,GBR,8,"Letzigrund, Z¨¹rich (SUI)",1-Sep-16,1162,10.17,30,22,8,2016
Chijindu UJAH,8587,10.13,-1.2,5-Mar-94,GBR,2h1,"Est¨¢dio Ol¨ªmpico, Rio de Janeiro (BRA)",13-Aug-16,1169,10.01,30,22,2,2016
Chijindu UJAH,8587,10.13,0,5-Mar-94,GBR,4f1,Luzern (SUI),14-Jul-15,1162,10.13,30,21,4,2015
Chijindu UJAH,4132,10.06,0.5,5-Mar-94,GBR,1f1,Loughborough (GBR),22-May-16,1186,10.11,30,22,1,2016
Chijindu UJAH,4132,10.06,1.9,5-Mar-94,GBR,2h1,"Alexander Stadium, Birmingham (GBR)",7-Jun-15,1186,10.25,30,21,2,2015
Chijindu UJAH,20480,10.23,0.5,5-Mar-94,GBR,1h3,"Stadio Olimpico, Roma (ITA)",7-Jun-24,1128,10.28,30,30,1,2024
Chijindu UJAH,27452,10.27,0.7,5-Mar-94,GBR,1h1,"Stadion Manfort, Leverkusen (GER)",16-Aug-20,1115,10.34,30,26,1,2020
Chijindu UJAH,20480,10.23,0,5-Mar-94,GBR,2sf3,"Alexander Stadium, Birmingham (GBR)",24-Aug-19,1128,10.23,30,25,2,2019
Chijindu UJAH,20480,10.23,1.9,5-Mar-94,GBR,1h5,Bedford (GBR),30-Apr-16,1128,10.42,30,22,1,2016
Chijindu UJAH,6354,10.1,2,5-Mar-94,GBR,3,"Olympiastadion, Stockholm (SWE)",21-Aug-14,1172,10.3,30,20,3,2014
Chijindu UJAH,22081,10.24,0.5,5-Mar-94,GBR,5sf3,"Stadio Olimpico, Roma (ITA)",8-Jun-24,1125,10.29,30,30,5,2024
Chijindu UJAH,18909,10.22,0.5,5-Mar-94,GBR,2,Gateshead (GBR),10-Sep-16,1132,10.27,30,22,2,2016
Chijindu UJAH,11386,10.16,0.3,5-Mar-94,GBR,1sf3,"Sportcity Regional Arena, Manchester (GBR)",26-Jun-21,1152,10.19,30,27,1,2021
Chijindu UJAH,1277,9.97,3,5-Mar-94,GBR,3,Birmingham (GBR),25-Jun-16,1199,10.27,30,22,3,2016
Chijindu UJAH,14702,10.19,-0.4,5-Mar-94,GBR,6,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13-Jul-18,1144,10.15,30,24,6,2018
Chijindu UJAH,2531,10.02,0.7,5-Mar-94,GBR,4,"Stade Louis II, Monaco (MON)",21-Jul-17,1199,10.09,30,23,4,2017
Chijindu UJAH,2531,10.02,0.3,5-Mar-94,GBR,1,"Olympic Stadium, London (GBR)",9-Jul-17,1199,10.05,30,23,1,2017
Chijindu UJAH,2845,10.03,1.9,5-Mar-94,GBR,4,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1196,10.22,30,27,4,2021
Chijindu UJAH,2531,10.02,0.2,5-Mar-94,GBR,2,"Bislett Stadion, Oslo (NOR)",15-Jun-17,1199,10.04,30,23,2,2017
Chijindu UJAH,2531,10.02,-0.2,5-Mar-94,GBR,1,"Stadio Olimpico, Roma (ITA)",8-Jun-17,1200,10,30,23,1,2017
Chijindu UJAH,14702,10.19,0.1,5-Mar-94,GBR,2h1,"FBK Stadium, Hengelo (NED)",8-Jun-14,1142,10.2,30,20,2,2014
Chijindu UJAH,14702,10.19,2.4,5-Mar-94,GBR,1sf3,Birmingham (GBR),5-Jul-15,1128,10.43,30,21,1,2015
Chijindu UJAH,1489,9.98,2.8,5-Mar-94,GBR,1sf1,Birmingham (GBR),1-Jul-17,1197,10.26,30,23,1,2017
Chijindu UJAH,1489,9.98,-0.3,5-Mar-94,GBR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16-Jul-17,1214,9.95,30,23,1,2017
Chijindu UJAH,10382,10.15,3.2,5-Mar-94,GBR,3,Manchester (GBR),20-May-16,1136,10.47,30,22,3,2016
Chijindu UJAH,13525,10.18,0.3,5-Mar-94,GBR,3,Birmingham (GBR),29-Jun-14,1145,10.21,30,20,3,2014
Chijindu UJAH,3236,10.04,2.1,5-Mar-94,GBR,1,Loughborough (GBR),17-May-15,1181,10.25,30,21,1,2015
Chijindu UJAH,10382,10.15,-0.1,5-Mar-94,GBR,8,"Stade de France, Paris-St-Denis (FRA)",27-Aug-16,1155,10.14,30,22,8,2016
Chijindu UJAH,31544,10.29,-2.9,5-Mar-94,GBR,1f2,"Tempe, AZ (USA)",8-Apr-17,1125,10,30,23,1,2017
Chijindu UJAH,12446,10.17,1,5-Mar-94,GBR,1f1,Loughborough (GBR),18-May-14,1148,10.27,30,20,1,2014
Chijindu UJAH,14702,10.19,-0.4,5-Mar-94,GBR,8,"Boudewijnstadion, Bruxelles (BEL)",11-Sep-15,1144,10.15,30,21,8,2015
Chijindu UJAH,12446,10.17,0.9,5-Mar-94,GBR,1sf1,Bedford (GBR),1-May-16,1148,10.26,30,22,1,2016
Chijindu UJAH,14702,10.19,-1.4,5-Mar-94,GBR,1h1,Newham (GBR),8-May-16,1150,10.05,30,22,1,2016
Chijindu UJAH,10382,10.15,-1.1,5-Mar-94,GBR,1f2,"Tempe, AZ (USA)",7-Apr-18,1161,10.04,30,24,1,2018
Chijindu UJAH,14702,10.19,3,5-Mar-94,GBR,7f2,"Mike A. Myers Stadium, Austin, TX (USA)",30-Mar-24,1124,10.49,30,30,7,2024
Chijindu UJAH,12446,10.17,-0.5,5-Mar-94,GBR,8,"Alexander Stadium, Birmingham (GBR)",18-Aug-18,1151,10.12,30,24,8,2018
Chijindu UJAH,12446,10.17,-0.3,5-Mar-94,GBR,7,"Boudewijnstadion, Bruxelles (BEL)",31-Aug-18,1149,10.14,30,24,7,2018
Chijindu UJAH,14702,10.19,-0.4,5-Mar-94,GBR,6h2,"Olympic Stadium, London (GBR)",20-Jul-19,1144,10.15,30,25,6,2019
Chijindu UJAH,12446,10.17,1.3,5-Mar-94,GBR,2,"Paavo Nurmen Stadion, Turku (FIN)",11-Aug-20,1148,10.3,30,26,2,2020
Chijindu UJAH,10382,10.15,1,5-Mar-94,GBR,6f1,"Stadio Olimpico, Roma (ITA)",2-Jun-16,1155,10.25,30,22,6,2016
Chijindu UJAH,16027,10.2,-0.3,5-Mar-94,GBR,1f1,Lee Valley (GBR),20-Jul-16,1139,10.17,30,22,1,2016
Chijindu UJAH,9471,10.14,0.2,5-Mar-94,GBR,2sf3,"Olympiastadion, Berlin (GER)",7-Aug-18,1159,10.16,30,24,2,2018
