Competitor,Rank,Mark,WIND,DOB,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
Aaron BROWN,7744,10.12,-1.6,27-May-92,CAN,1f2,"Stadio Colbachini, Padova (ITA)",4-Sep-22,1174,9.96,32,30,1,2022
Aaron BROWN,1277,9.97,2.2,27-May-92,CAN,3f1,"Ansin Sports Complex, Miramar, FL (USA)",8-Apr-23,1204,10.19,32,30,3,2023
Aaron BROWN,7744,10.12,2,27-May-92,CAN,4h2,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1165,10.32,32,28,4,2021
Aaron BROWN,7744,10.12,-0.3,27-May-92,CAN,2sf1,"Khalifa International Stadium, Doha (QAT)",28-Sep-19,1166,10.09,32,27,2,2019
Aaron BROWN,11386,10.16,0.8,27-May-92,CAN,1h2,Rieti (ITA),24-May-19,1152,10.24,32,26,1,2019
Aaron BROWN,11386,10.16,0.1,27-May-92,CAN,1,Ottawa (CAN),6-Jul-18,1152,10.17,32,26,1,2018
Aaron BROWN,16027,10.2,1,27-May-92,CAN,1,Burnaby (CAN),1-Jul-13,1138,10.3,32,21,1,2013
Aaron BROWN,11386,10.16,1.5,27-May-92,CAN,1h2,"Pullman, WA (USA)",17-May-14,1152,10.31,32,21,1,2014
Aaron BROWN,8587,10.13,2.8,27-May-92,CAN,1h3,"Austin, TX (USA)",24-May-12,1146,10.41,32,19,1,2012
Aaron BROWN,11386,10.16,0,27-May-92,CAN,2f1,"Walnut, CA (USA)",19-Apr-14,1152,10.16,32,21,2,2014
Aaron BROWN,27452,10.27,1.1,27-May-92,CAN,4f3,"AP Ranch, Fort Worth, TX (USA)",23-Jul-20,1115,10.38,32,28,4,2020
Aaron BROWN,25590,10.26,1.4,27-May-92,CAN,6h2,"Des Moines, IA (USA)",6-Jun-12,1118,10.4,32,20,6,2012
Aaron BROWN,23770,10.25,-0.1,27-May-92,CAN,4,Baie Mahault (FRA),12-May-18,1122,10.24,32,25,4,2018
Aaron BROWN,22081,10.24,-0.1,27-May-92,CAN,2f3,"Gainesville, FL (USA)",4-Apr-14,1125,10.23,32,21,2,2014
Aaron BROWN,31544,10.29,-0.6,27-May-92,CAN,2f2,"Stadion Allmend, Luzern (SUI)",30-Aug-22,1111,10.23,32,30,2,2022
Aaron BROWN,4606,10.07,1.1,27-May-92,CAN,1h2,"Los Angeles, CA (USA)",11-May-13,1182,10.18,32,20,1,2013
Aaron BROWN,13525,10.18,-0.7,27-May-92,CAN,1,"Los Angeles, CA (USA)",4-May-14,1149,10.11,32,21,1,2014
Aaron BROWN,20480,10.23,0.3,27-May-92,CAN,1h3,"Fayetteville, AR (USA)",29-May-14,1128,10.26,32,22,1,2014
Aaron BROWN,6354,10.1,0.9,27-May-92,CAN,1h1,"Complexe Sportif Claude-Robillard, Montr¨¦al (CAN)",28-Jun-24,1172,10.19,32,32,1,2024
Aaron BROWN,4606,10.07,0.2,27-May-92,CAN,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",5-Jul-19,1182,10.09,32,27,3,2019
Aaron BROWN,1101,9.96,1.7,27-May-92,CAN,1sf3,Montr¨¦al (CAN),26-Jul-19,1220,10.13,32,27,1,2019
Aaron BROWN,4132,10.06,2.5,27-May-92,CAN,1h1,Edmonton (CAN),9-Jul-16,1171,10.31,32,24,1,2016
Aaron BROWN,10382,10.15,0.9,27-May-92,CAN,7sf2,"National Stadium, Beijing (CHN)",23-Aug-15,1155,10.24,32,23,7,2015
Aaron BROWN,4606,10.07,-0.1,27-May-92,CAN,2,Edmonton (CAN),9-Jul-16,1182,10.06,32,24,2,2016
Aaron BROWN,22081,10.24,0.8,27-May-92,CAN,3,"Sports Park Mladost, Zagreb (CRO)",4-Sep-18,1125,10.32,32,26,3,2018
Aaron BROWN,5146,10.08,0.9,27-May-92,CAN,1,"McLeod Stadium, Langley (CAN)",28-Jul-23,1179,10.17,32,31,1,2023
Aaron BROWN,9471,10.14,1,27-May-92,CAN,1sf1,Ottawa (CAN),6-Jul-18,1159,10.24,32,26,1,2018
Aaron BROWN,13525,10.18,2,27-May-92,CAN,1,"Eugene, OR (USA)",13-May-12,1145,10.38,32,19,1,2012
Aaron BROWN,2237,10.01,1.8,27-May-92,CAN,2f1,"Montverde, FL (USA)",11-Jun-16,1203,10.19,32,24,2,2016
Aaron BROWN,2237,10.01,3.2,27-May-92,CAN,5,"Eugene, OR (USA)",7-Jun-13,1184,10.33,32,21,5,2013
Aaron BROWN,1489,9.98,2.8,27-May-92,CAN,2f1,"Tampa, FL (USA)",26-May-17,1197,10.26,32,24,2,2017
Aaron BROWN,27452,10.27,1,27-May-92,CAN,5,"Olympiastadion, Stockholm (SWE)",2-Jul-23,1115,10.37,32,31,5,2023
Aaron BROWN,22081,10.24,1.6,27-May-92,CAN,3h5,"Montverde Academy, Montverde, FL (USA)",4-Jul-20,1125,10.4,32,28,3,2020
Aaron BROWN,13525,10.18,-0.1,27-May-92,CAN,2,"Sports Park Mladost, Zagreb (CRO)",3-Sep-19,1145,10.17,32,27,2,2019
Aaron BROWN,13525,10.18,-0.8,27-May-92,CAN,5,"Olympiastadion, Stockholm (SWE)",4-Jul-21,1149,10.1,32,29,5,2021
Aaron BROWN,23770,10.25,-0.3,27-May-92,CAN,3,"Complexe Sportif Claude-Robillard, Montr¨¦al (CAN)",28-Jun-24,1123,10.22,32,32,3,2024
Aaron BROWN,1489,9.98,2.8,27-May-92,CAN,1h1,"National Training Center, Clermont, FL (USA)",1-May-22,1197,10.26,32,29,1,2022
Aaron BROWN,279,9.87,5.5,27-May-92,CAN,1h4,"Montverde Academy, Montverde, FL (USA)",4-Jun-22,1219,10.42,32,30,1,2022
Aaron BROWN,20480,10.23,0.6,27-May-92,CAN,3,"Drake Stadium, Los Angeles, CA (USA)",18-May-24,1128,10.29,32,31,3,2024
Aaron BROWN,20480,10.23,-0.5,27-May-92,CAN,2,"Alexander Stadium, Birmingham (GBR)",21-May-22,1131,10.18,32,29,2,2022
Aaron BROWN,9471,10.14,1,27-May-92,CAN,1f1,"Shanghai Stadium, Shanghai (CHN)",14-May-16,1159,10.24,32,23,1,2016
Aaron BROWN,5146,10.08,1.9,27-May-92,CAN,5f2,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1179,10.27,32,28,5,2021
Aaron BROWN,27452,10.27,1.7,27-May-92,CAN,1h3,"Eugene, OR (USA)",12-May-12,1115,10.44,32,19,1,2012
Aaron BROWN,10382,10.15,2,27-May-92,CAN,1f2,"Montverde Academy, Montverde, FL (USA)",10-Aug-20,1155,10.35,32,28,1,2020
Aaron BROWN,2845,10.03,0.1,27-May-92,CAN,1,Montr¨¦al (CAN),26-Jul-19,1196,10.04,32,27,1,2019
Aaron BROWN,1101,9.96,2,27-May-92,CAN,1h1,"Montverde, FL (USA)",11-Jun-16,1220,10.16,32,24,1,2016
Aaron BROWN,4606,10.07,1.8,27-May-92,CAN,3,"Eugene, OR (USA)",13-Jun-14,1182,10.25,32,22,3,2014
Aaron BROWN,10382,10.15,2.1,27-May-92,CAN,1f1,"Gainesville, FL (USA)",5-Apr-13,1143,10.36,32,20,1,2013
Aaron BROWN,1954,10,2.4,27-May-92,CAN,2f1,Rieti (ITA),24-May-19,1192,10.24,32,26,2,2019
Aaron BROWN,10382,10.15,-0.1,27-May-92,CAN,2h5,"Luzhniki Stadion, Moskva (RUS)",10-Aug-13,1155,10.14,32,21,2,2013
Aaron BROWN,4606,10.07,-0.1,27-May-92,CAN,8,"Hayward Field, Eugene, OR (USA)",16-Jul-22,1182,10.06,32,30,8,2022
Aaron BROWN,33876,10.3,0.1,27-May-92,CAN,1,Burnaby (CAN),20-Jun-19,1105,10.31,32,27,1,2019
Aaron BROWN,10382,10.15,0.1,27-May-92,CAN,5sf3,"Luzhniki Stadion, Moskva (RUS)",11-Aug-13,1155,10.16,32,21,5,2013
Aaron BROWN,519,9.91,2.9,27-May-92,CAN,2f1,"Montverde Academy, Montverde, FL (USA)",4-Jun-22,1221,10.2,32,30,2,2022
Aaron BROWN,4606,10.07,0.7,27-May-92,CAN,1h2,"McLeod Stadium, Langley (CAN)",25-Jun-22,1182,10.14,32,30,1,2022
Aaron BROWN,10382,10.15,0.4,27-May-92,CAN,6,"FBK Stadium, Hengelo (NED)",4-Jun-23,1155,10.19,32,31,6,2023
Aaron BROWN,10382,10.15,1.5,27-May-92,CAN,1h3,"McLeod Stadium, Langley (CAN)",28-Jul-23,1155,10.3,32,31,1,2023
Aaron BROWN,22081,10.24,-1.3,27-May-92,CAN,3h8,"Est¨¢dio Ol¨ªmpico, Rio de Janeiro (BRA)",13-Aug-16,1132,10.11,32,24,3,2016
Aaron BROWN,5146,10.08,0.6,27-May-92,CAN,8,"Khalifa International Stadium, Doha (QAT)",28-Sep-19,1179,10.14,32,27,8,2019
Aaron BROWN,3690,10.05,3.4,27-May-92,CAN,3f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20-Apr-24,1169,10.39,32,31,3,2024
Aaron BROWN,9471,10.14,2.5,27-May-92,CAN,7,"Hilmer Lodge Stadium, Walnut, CA (USA)",16-Apr-22,1144,10.39,32,29,7,2022
Aaron BROWN,5146,10.08,1.4,27-May-92,CAN,4,"Olympiastadion, Berlin (GER)",1-Sep-19,1179,10.22,32,27,4,2019
Aaron BROWN,31544,10.29,2.1,27-May-92,CAN,3h2,Calgary (CAN),29-Jun-12,1096,10.5,32,20,3,2012
Aaron BROWN,6354,10.1,2.8,27-May-92,CAN,2h2,"Ansin Sports Complex, Miramar, FL (USA)",8-Apr-23,1156,10.38,32,30,2,2023
Akani SIMBINE,23770,10.25,-2.1,21-Sep-93,RSA,1,Stellenbosch (RSA),18-Apr-15,1134,10.04,30,21,1,2015
Akani SIMBINE,3690,10.05,-0.5,21-Sep-93,RSA,1sf1,"Olympic Stadium, London (GBR)",5-Aug-17,1192,10,30,23,1,2017
Akani SIMBINE,17420,10.21,-0.2,21-Sep-93,RSA,2,Stellenbosch (RSA),15-Apr-16,1136,10.19,30,22,2,2016
Akani SIMBINE,607,9.92,1.1,21-Sep-93,RSA,1,"Boston, MA (USA)",16-Jun-19,1234,10.03,30,25,1,2019
Akani SIMBINE,27452,10.27,1.6,21-Sep-93,RSA,2sf2,"Le Grand Stade, Marrakech (MAR)",10-Aug-14,1115,10.43,30,20,2,2014
Akani SIMBINE,1489,9.98,0,21-Sep-93,RSA,1sf1,"Moratalaz, Madrid (ESP)",22-Jun-18,1213,9.98,30,24,1,2018
Akani SIMBINE,17420,10.21,-0.5,21-Sep-93,RSA,4sf3,"Hampden Park, Glasgow (GBR)",28-Jul-14,1138,10.16,30,20,4,2014
Akani SIMBINE,27452,10.27,1.4,21-Sep-93,RSA,1f3,Pretoria (RSA),22-Feb-14,1115,10.41,30,20,1,2014
Akani SIMBINE,17420,10.21,1.8,21-Sep-93,RSA,3h1,Amsterdam (NED),5-Sep-15,1135,10.39,30,21,3,2015
Akani SIMBINE,23770,10.25,-0.1,21-Sep-93,RSA,1h1,Stellenbosch (RSA),15-Apr-16,1122,10.24,30,22,1,2016
Akani SIMBINE,1489,9.98,1.1,21-Sep-93,RSA,1h3,Pretoria (RSA),18-Mar-17,1213,10.09,30,23,1,2017
Akani SIMBINE,23770,10.25,2.1,21-Sep-93,RSA,2sf3,Durban (RSA),22-Jun-16,1110,10.46,30,22,2,2016
Akani SIMBINE,17420,10.21,-1.8,21-Sep-93,RSA,1,Pretoria (RSA),25-Apr-14,1145,10.03,30,20,1,2014
Akani SIMBINE,1489,9.98,0.2,21-Sep-93,RSA,3sf1,"Est¨¢dio Ol¨ªmpico, Rio de Janeiro (BRA)",14-Aug-16,1213,10,30,22,3,2016
Akani SIMBINE,3690,10.05,-0.8,21-Sep-93,RSA,1f1,Pretoria (RSA),8-Mar-18,1193,9.97,30,24,1,2018
Akani SIMBINE,27452,10.27,0,21-Sep-93,RSA,2,Port Elizabeth (RSA),21-Mar-14,1115,10.27,30,20,2,2014
Akani SIMBINE,8587,10.13,-1.2,21-Sep-93,RSA,1,Pretoria (RSA),21-Mar-15,1169,10.01,30,21,1,2015
Akani SIMBINE,17420,10.21,0.1,21-Sep-93,RSA,2,"Somerville, MA (USA)",4-Jun-17,1135,10.22,30,23,2,2017
Akani SIMBINE,6354,10.1,-0.4,21-Sep-93,RSA,5,"Letzigrund, Z¨¹rich (SUI)",9-Sep-21,1174,10.06,30,27,5,2021
Akani SIMBINE,22081,10.24,1.3,21-Sep-93,RSA,4,"Stade Raymond Petit, Tomblaine (FRA)",27-Jun-14,1125,10.37,30,20,4,2014
Akani SIMBINE,4606,10.07,0.1,21-Sep-93,RSA,1h2,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",18-Apr-24,1182,10.08,30,30,1,2024
Akani SIMBINE,4606,10.07,0.3,21-Sep-93,RSA,1f1,"Mestsky Stadion Sleti?te, Kladno (CZE)",13-Jun-23,1182,10.1,30,29,1,2023
Akani SIMBINE,4606,10.07,-0.3,21-Sep-93,RSA,4,"Letzigrund, Z¨¹rich (SUI)",8-Sep-22,1183,10.04,30,28,4,2022
Akani SIMBINE,4606,10.07,-0.2,21-Sep-93,RSA,1sf1,"Alexander Stadium, Birmingham (GBR)",3-Aug-22,1183,10.05,30,28,1,2022
Akani SIMBINE,9471,10.14,-0.2,21-Sep-93,RSA,1,"McArthur Stadium, Potchefstroom (RSA)",30-Mar-23,1160,10.12,30,29,1,2023
Akani SIMBINE,4606,10.07,1.1,21-Sep-93,RSA,4h5,"Hayward Field, Eugene, OR (USA)",15-Jul-22,1182,10.18,30,28,4,2022
Akani SIMBINE,9471,10.14,0.6,21-Sep-93,RSA,1h5,"Cote d'Or National Sports Complex, St Pierre (MRI)",8-Jun-22,1159,10.2,30,28,1,2022
Akani SIMBINE,6354,10.1,0.1,21-Sep-93,RSA,1h2,"Alexander Stadium, Birmingham (GBR)",2-Aug-22,1172,10.11,30,28,1,2022
Akani SIMBINE,3236,10.04,0.3,21-Sep-93,RSA,4,"Stade Louis II, Monaco (MON)",12-Jul-19,1193,10.07,30,25,4,2019
