Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
1988,23,10.365,10.255,10.25,5.00E-05,3,1,24680,1,Bruno MARIE-ROSE,1138.013621,1,9,0
1989,24,10.32,10.18333333,10.16,0.000633333,1.333333333,1,14110.33333,1,Bruno MARIE-ROSE,1138.013621,4,9,0
1990,25,10.3075,10.1525,10.07,0.006825,2.333333333,1,12358,0.5,Bruno MARIE-ROSE,1138.013621,3,9,0
1992,27,10.4,10.3,10.3,0,1,1,33876,1,Bruno MARIE-ROSE,1138.013621,1,9,0
1989,22,10.35,10.18333333,10.14,0.003433333,2,1,14875.66667,0.666666667,Bruny SURIN,1140.106017,4,4,1
1990,23,10.37,10.24,10.24,0,3,3,22081,1,Bruny SURIN,1140.106017,3,4,1
1991,24,10.255,10.179375,10.01,0.008299583,2.6,1,16233.4375,0.875,Bruny SURIN,1140.106017,2,4,1
1992,25,10.17916667,10.1675,10.05,0.004111364,2.416666667,1,13458.66667,1,Bruny SURIN,1140.106017,1,4,1
1993,26,10.20875,10.166875,10.02,0.004942917,2.9375,1,13644.8125,1,Bruny SURIN,1140.106017,4,9,0
1994,27,10.21454545,10.15454545,10.08,0.003247273,2.8,1,11853.36364,1,Bruny SURIN,1140.106017,3,9,0
1995,28,10.17863636,10.125,9.92,0.01107381,2.090909091,1,11187.63636,0.863636364,Bruny SURIN,1140.106017,2,9,0
1996,29,10.14722222,10.17166667,10.03,0.006920588,3.705882353,1,14945.44444,1,Bruny SURIN,1140.106017,1,9,0
1997,30,10.14636364,10.19818182,10.06,0.005656364,4.5,1,17841.45455,0.818181818,Bruny SURIN,1140.106017,4,9,0
1998,31,10.18235294,10.13823529,9.89,0.010090441,3.5625,1,12087.70588,0.823529412,Bruny SURIN,1140.106017,3,9,0
1999,32,10.07666667,10.05277778,9.84,0.015527124,1.5625,1,7045.333333,0.888888889,Bruny SURIN,1140.106017,2,9,0
2000,33,10.26538462,10.15923077,10.05,0.004741026,2,1,12801,0.769230769,Bruny SURIN,1140.106017,1,9,0
2001,34,10.24583333,10.2025,10.11,0.003838636,1.75,1,17814.5,0.916666667,Bruny SURIN,1140.106017,4,9,0
2007,20,10.38,10.24,10.24,0,1,1,22081,1,Bryan BARNETT,1140.106017,2,9,0
2008,21,10.36,10.28,10.28,0,1,1,29380,1,Bryan BARNETT,1140.106017,1,9,0
2009,22,10.23625,10.275,10.22,0.0006,2.25,1,28692.125,1,Bryan BARNETT,1140.106017,4,9,0
2012,25,10.52,10.295,10.29,5.00E-05,1.5,1,32710,0.5,Bryan BARNETT,1140.106017,1,9,0
1997,21,10.4625,10.2175,10.15,0.003291667,4.5,2,19563.75,0.5,Bryan HOWARD,1144.561396,4,9,0
1998,22,10.59,10.215,10.19,0.00125,3,1,18391.5,0,Bryan HOWARD,1144.561396,3,9,0
1999,23,10.33333333,10.18833333,10.11,0.005696667,2,1,16407.16667,0.666666667,Bryan HOWARD,1144.561396,2,9,0
2000,24,10.31,10.145,9.94,0.0233,2.666666667,2,15008.75,0.75,Bryan HOWARD,1144.561396,1,9,0
2001,25,10.35,10.28,10.28,0,,,29380,1,Bryan HOWARD,1144.561396,4,9,0
2003,27,10.55,10.27,10.27,0,2,2,27452,0,Bryan HOWARD,1144.561396,2,9,0
2021,18,10.35666667,10.24333333,10.21,0.000933333,2.666666667,1,22880.66667,1,Bryan LEVELL,1151.202683,1,9,0
2014,21,10.41,10.212,10.15,0.00317,2.4,1,18822.4,0.4,Bryce ROBINSON,1144.561396,3,9,0
2015,22,10.2975,10.03,9.96,0.0046,3.75,1,3491.5,0.5,Bryce ROBINSON,1144.561396,2,9,0
2018,25,10.2625,10.12625,10.01,0.008283929,1.875,1,10636.125,0.75,Bryce ROBINSON,1144.561396,4,9,0
2019,26,10.23333333,10.23444444,10.18,0.000827778,2,1,21467.33333,0.888888889,Bryce ROBINSON,1144.561396,3,9,0
2020,27,10.51,10.26,10.26,0,1,1,25590,0,Bryce ROBINSON,1144.561396,2,9,0
2021,28,10.338,10.152,10.1,0.00212,5,2,11130,0.8,Bryce ROBINSON,1144.561396,1,9,0
2008,22,10.65,10.13,10.08,0.005,2.5,2,9335.5,0,Calesio NEWMAN,1144.561396,1,9,0
2009,23,10.475,10.27,10.18,0.00208,2,1,28275.5,0.333333333,Calesio NEWMAN,1144.561396,4,9,0
2010,24,10.38,10.27,10.27,0,1,1,27452,1,Calesio NEWMAN,1144.561396,3,9,0
2011,25,10.3725,10.235,10.14,0.005633333,2.5,1,23077.75,1,Calesio NEWMAN,1144.561396,2,9,0
2012,26,10.22909091,10.17,10.07,0.0066,2.727272727,1,14629.63636,0.818181818,Calesio NEWMAN,1144.561396,1,9,0
2013,27,10.297,10.2,10.05,0.008933333,3.6,1,19147.2,0.9,Calesio NEWMAN,1144.561396,4,9,0
2014,28,10.40666667,10.14333333,9.96,0.026433333,2.333333333,1,14860,0.333333333,Calesio NEWMAN,1144.561396,3,9,0
2015,29,10.4175,10.225,10.04,0.015566667,3.5,1,24144.5,0.75,Calesio NEWMAN,1144.561396,2,9,0
2016,30,10.37428571,10.19571429,10.12,0.005428571,3.142857143,1,17374.42857,0.857142857,Calesio NEWMAN,1144.561396,1,9,0
1980,19,10.28,10.19,10.17,0.0012,2.666666667,2,15124,1,Calvin SMITH,1144.561396,1,9,0
1981,20,10.26,10.21,10.21,0,1.5,1,17420,1,Calvin SMITH,1144.561396,4,9,0
1982,21,10.17142857,10.09714286,9.91,0.015490476,1.142857143,1,9765.428571,0.714285714,Calvin SMITH,1144.561396,3,9,0
1983,22,10.23777778,10.14666667,9.93,0.012176471,1.277777778,1,13504.22222,0.833333333,Calvin SMITH,1144.561396,2,9,0
1984,23,10.28636364,10.13909091,9.94,0.013749091,1.636363636,1,13209.18182,0.636363636,Calvin SMITH,1144.561396,1,9,0
1985,24,10.2,10.1775,10.1,0.003358333,2,1,14165.5,1,Calvin SMITH,1144.561396,4,3,1
1986,25,10.24,10.225,10.19,0.00051,2,1,19827.16667,1,Calvin SMITH,1144.561396,3,3,1
1987,26,10.215,10.17428571,10.07,0.005934066,1.785714286,1,14948.07143,0.785714286,Calvin SMITH,1144.561396,2,3,1
1988,27,10.21052632,10.11263158,9.87,0.013898246,1.368421053,1,10439.73684,0.789473684,Calvin SMITH,1144.561396,1,3,1
1989,28,10.264,10.178,10.05,0.00867,1.4,1,15795.2,1,Calvin SMITH,1144.561396,4,9,0
1990,29,10.21777778,10.2,10.04,0.0056,2.555555556,1,17884.22222,1,Calvin SMITH,1144.561396,3,9,0
1992,31,10.30428571,10.22,10.14,0.002266667,2.666666667,1,19688,1,Calvin SMITH,1144.561396,1,9,0
1993,32,10.255,10.19,10.06,0.00544,2.333333333,1,16424.16667,1,Calvin SMITH,1144.561396,4,9,0
1994,33,10.28666667,10.24333333,10.22,0.001633333,5.666666667,4,23120.66667,1,Calvin SMITH,1144.561396,3,9,0
1995,34,10.29,10.25,10.25,0,1,1,23770,1,Calvin SMITH,1144.561396,2,9,0
1996,35,10.43,10.25,10.25,0,4,4,23770,1,Calvin SMITH,1144.561396,1,9,0
2013,19,10.49,10.205,10.07,0.008366667,1,1,19077,0,Cameron BURRELL,1144.561396,4,9,0
2014,20,10.5,10.25,10.25,0,1,1,23770,0,Cameron BURRELL,1144.561396,3,9,0
2016,22,10.29,10.194,10.16,0.00178,2.8,1,15861.4,0.6,Cameron BURRELL,1144.561396,1,9,0
2017,23,10.21769231,10.15615385,9.9,0.020808974,2.538461538,1,16648.46154,0.692307692,Cameron BURRELL,1144.561396,5,9,0
2018,24,10.21764706,10.12705882,9.93,0.013409559,2.882352941,1,12304.41176,0.882352941,Cameron BURRELL,1144.561396,4,9,0
2019,25,10.22857143,10.14571429,10.02,0.003928571,4,1,10951.71429,0.857142857,Cameron BURRELL,1144.561396,3,9,0
2021,27,10.31,10.05,10.01,0.0032,2,1,3979.5,0,Cameron BURRELL,1144.561396,1,9,0
2013,21,10.43666667,10.22666667,10.22,3.33E-05,4,2,19956.33333,0.666666667,Carl HORSLEY,1144.561396,4,9,0
2015,23,10.35666667,10.14333333,10.03,0.010033333,3.666666667,2,11759.66667,0.333333333,Carl HORSLEY,1144.561396,2,9,0
2016,24,10.368,10.206,10.19,0.00028,3.2,1,16944.8,0.6,Carl HORSLEY,1144.561396,1,9,0
2017,25,10.53,10.27,10.27,0,4,4,27452,0,Carl HORSLEY,1144.561396,5,9,0
2019,27,10.61,10.29,10.29,0,4,4,31544,0,Carl HORSLEY,1144.561396,3,9,0
1980,19,10.3225,10.26,10.21,0.001171429,2.25,1,26061.75,1,Carl LEWIS,1144.561396,1,9,0
1981,20,10.195,10.15333333,9.99,0.007860606,1.333333333,1,12948.75,0.916666667,Carl LEWIS,1144.561396,4,1,1
1982,21,10.18166667,10.09333333,10,0.007066667,1.166666667,1,7667.333333,0.833333333,Carl LEWIS,1144.561396,3,1,1
1983,22,10.158,10.096,9.93,0.01356,1.1,1,9488.9,0.8,Carl LEWIS,1144.561396,2,1,1
1984,23,10.07666667,10.06166667,9.99,0.004051515,1,1,5016.916667,0.75,Carl LEWIS,1144.561396,1,1,1
1985,24,10.158,10.058,9.9,0.01702,1,1,7088.6,0.8,Carl LEWIS,1144.561396,4,1,1
1986,25,10.2175,10.09875,9.91,0.011469643,1.5,1,8773.25,0.75,Carl LEWIS,1144.561396,3,1,1
1987,26,10.13181818,10.06545455,9.93,0.003247273,1.090909091,1,4949.909091,0.909090909,Carl LEWIS,1144.561396,2,1,1
1988,27,10.15,10.01466667,9.78,0.014026667,1.266666667,1,4820.533333,0.8,Carl LEWIS,1144.561396,1,1,1
1989,28,10.114,10.102,10.05,0.00112,1.2,1,6720.6,1,Carl LEWIS,1144.561396,4,9,0
1990,29,10.208,10.141,10.05,0.00541,1.555555556,1,11152.7,0.9,Carl LEWIS,1144.561396,3,9,0
1991,30,10.13454545,10.02545455,9.8,0.016687273,1.454545455,1,5106.272727,0.818181818,Carl LEWIS,1144.561396,2,9,0
1992,31,10.19,10.10333333,9.95,0.0095,1.666666667,1,8784.666667,0.666666667,Carl LEWIS,1144.561396,1,9,0
1993,32,10.19916667,10.075,9.9,0.007627273,2.5,1,6489.583333,0.75,Carl LEWIS,1144.561396,4,9,0
1994,33,10.18,10.14,10.04,0.01,1,1,11596,1,Carl LEWIS,1144.561396,3,9,0
1995,34,10.4,10.095,9.94,0.04805,4,3,12300,0.5,Carl LEWIS,1144.561396,2,9,0
1996,35,10.24875,10.0975,9.94,0.01025,3.142857143,1,8622.875,0.625,Carl LEWIS,1144.561396,1,9,0
1997,22,10.402,10.206,10.07,0.00813,1.6,1,19379.2,0.4,Carlos CALADO,1140.730233,4,9,0
1999,24,10.26142857,10.22,10.11,0.003166667,1.857142857,1,19969.14286,0.857142857,Carlos CALADO,1140.730233,2,9,0
2001,26,10.67,10.29,10.29,0,1,1,31544,0,Carlos CALADO,1140.730233,4,9,0
2002,18,10.61,10.24,10.24,0,1,1,22081,0,Carlos MOORE,1144.561396,3,9,0
2003,19,10.29,10.29,10.29,0,1,1,31544,1,Carlos MOORE,1144.561396,2,9,0
2004,20,10.545,10.26,10.26,0,1.5,1,25590,0,Carlos MOORE,1144.561396,1,9,0
2005,21,10.565,10.29,10.28,0.0002,2,2,31628,0,Carlos MOORE,1144.561396,4,9,0
2006,22,10.31125,10.22,10.07,0.004685714,2.125,1,20508.625,1,Carlos MOORE,1144.561396,3,9,0
2007,23,10.4475,10.2575,10.2,0.001891667,3.25,1,25763.25,0.75,Carlos MOORE,1144.561396,2,9,0
2008,24,10.34666667,10.2,9.97,0.011575,2.333333333,1,19637.88889,0.666666667,Carlos MOORE,1144.561396,1,9,0
2012,18,10.49,10.19,10.19,0,1,1,14702,0,Carlos NASCIMENTO,1140.730233,1,9,0
2016,22,10.86,10.27,10.27,0,1,1,27452,0,Carlos NASCIMENTO,1140.730233,1,9,0
2017,23,10.52,10.23,10.23,0,3,3,20480,0,Carlos NASCIMENTO,1140.730233,5,9,0
2018,24,10.34,10.22666667,10.13,0.007233333,1,1,21907,1,Carlos NASCIMENTO,1140.730233,4,9,0
2019,25,10.4275,10.27,10.26,0.0004,1.5,1,27661.5,0.75,Carlos NASCIMENTO,1140.730233,3,9,0
2014,19,10.48,10.2625,10.2,0.001891667,3,1,26683.75,0.25,Cejhae GREENE,1148.741935,3,9,0
2015,20,10.35,10.25,10.25,0,2,2,23770,1,Cejhae GREENE,1148.741935,2,9,0
2016,21,10.1375,10.1225,10.01,0.006491667,3.5,1,9308.25,1,Cejhae GREENE,1148.741935,1,9,0
2017,22,10.258,10.191,10.05,0.007543333,2.8,1,17428.1,1,Cejhae GREENE,1148.741935,5,9,0
2018,23,10.30272727,10.12818182,10,0.006376364,2.636363636,1,10189.90909,0.636363636,Cejhae GREENE,1148.741935,4,9,0
2019,24,10.211,10.176,9.94,0.010493333,2.3,1,16039.4,0.9,Cejhae GREENE,1148.741935,3,9,0
2021,26,10.22916667,10.125,9.98,0.014281818,2.75,1,12179.91667,0.833333333,Cejhae GREENE,1148.741935,1,9,0
1997,22,10.38333333,10.21,10.16,0.0019,2,1,17982.33333,0.666666667,Charalambos PAPADIAS,1123.907692,4,9,0
1998,23,10.29,10.215,10.15,0.00271,3.166666667,1,19083.33333,0.833333333,Charalambos PAPADIAS,1123.907692,3,9,0
2001,26,10.32,10.3,10.3,0,1,1,33876,1,Charalambos PAPADIAS,1123.907692,4,9,0
2010,19,10.345,10.2525,10.23,0.000691667,1.25,1,24468.75,1,Charles SILMON,1144.561396,3,9,0
2011,20,10.38,10.23,10.19,0.0014,2.833333333,1,20924,0.666666667,Charles SILMON,1144.561396,2,9,0
2012,21,10.3275,10.17583333,10.04,0.00557197,2.083333333,1,14871.5,0.833333333,Charles SILMON,1144.561396,1,9,0
2013,22,10.20461538,10.09230769,9.85,0.025485897,1.846153846,1,11578,0.615384615,Charles SILMON,1144.561396,4,9,0
2014,23,10.19625,10.14875,9.98,0.011698214,1.75,1,13446.875,0.625,Charles SILMON,1144.561396,3,9,0
2015,24,10.24285714,10.11,9.91,0.021933333,4.142857143,3,11889.14286,0.714285714,Charles SILMON,1144.561396,2,9,0
2017,26,10.3175,10.145,10.01,0.012566667,2.75,1,12900.25,0.5,Charles SILMON,1144.561396,5,9,0
2018,23,10.262,10.236,10.18,0.00233,1.2,1,22191.2,1,Chederick VAN WYK,1140.91766,4,9,0
2019,24,10.26166667,10.25666667,10.23,0.000586667,1.833333333,1,25196.33333,1,Chederick VAN WYK,1140.91766,3,9,0
2020,25,10.3,10.26,10.26,0,1,1,25590,1,Chederick VAN WYK,1140.91766,2,9,0
2021,26,10.354,10.23,10.16,0.0022,1.4,1,21200.2,0.8,Chederick VAN WYK,1140.91766,1,9,0
1983,20,10.41,10.255,10.23,0.00125,3,2,24930,0.5,Chidi IMOH,1141.238585,2,9,0
1984,21,10.4,10.275,10.25,0.00125,1.5,1,28823,0.5,Chidi IMOH,1141.238585,1,9,0
1985,22,10.34285714,10.12714286,10.04,0.00562381,1.285714286,1,9846,0.571428571,Chidi IMOH,1141.238585,4,9,0
1986,23,10.19153846,10.14384615,10,0.005442308,1.384615385,1,11335.84615,1,Chidi IMOH,1141.238585,3,9,0
1987,24,10.20181818,10.17545455,9.92,0.009707273,1.909090909,1,15682.81818,0.636363636,Chidi IMOH,1141.238585,2,9,0
1988,25,10.21111111,10.18666667,10.04,0.006675,1.555555556,1,16517.44444,0.888888889,Chidi IMOH,1141.238585,1,9,0
1989,26,10.28,10.2325,10.19,0.002225,1.75,1,21599,1,Chidi IMOH,1141.238585,4,9,0
1990,27,10.25333333,10.22,10.2,0.00016,3.166666667,1,18966,1,Chidi IMOH,1141.238585,3,9,0
1991,28,10.04,10.035,10.03,5.00E-05,1,1,3040.5,1,Chidi IMOH,1141.238585,2,9,0
1992,29,10.26333333,10.22166667,10.09,0.005176667,2.666666667,1,20881.16667,0.833333333,Chidi IMOH,1141.238585,1,9,0
1993,30,10.32,10.22333333,10.2,0.000433333,2.666666667,2,19529.33333,0.666666667,Chidi IMOH,1141.238585,4,9,0
2012,18,10.41,10.26,10.26,0,1,1,25590,1,Chijindu UJAH,1137.753126,1,9,0
2014,20,10.205,10.18125,9.96,0.006225,2.3125,1,15653.625,0.9375,Chijindu UJAH,1137.753126,3,9,0
2015,21,10.13714286,10.09428571,9.96,0.005195604,3.214285714,1,7271.071429,0.857142857,Chijindu UJAH,1137.753126,2,9,0
2016,22,10.18,10.162,9.97,0.007248421,3,1,13889.4,0.85,Chijindu UJAH,1137.753126,1,9,0
2017,23,10.07153846,10.04769231,9.95,0.008002564,1.846153846,1,5441.615385,0.769230769,Chijindu UJAH,1137.753126,5,9,0
2018,24,10.16083333,10.14166667,10.06,0.001651515,4.166666667,1,10057.75,0.916666667,Chijindu UJAH,1137.753126,4,9,0
2019,25,10.18333333,10.19666667,10.13,0.002306667,3.666666667,2,16378.5,1,Chijindu UJAH,1137.753126,3,9,0
2020,26,10.32,10.22,10.17,0.005,1.5,1,19949,1,Chijindu UJAH,1137.753126,2,9,0
2021,27,10.1475,10.09,10.03,0.001742857,2.125,1,6107.375,0.875,Chijindu UJAH,1137.753126,1,9,0
1997,16,10.28,10.28,10.28,0,,,29380,1,Chinedu ORIALA,1141.238585,4,9,0
2001,20,10.38,10.275,10.25,0.00125,3.5,1,28823,0.5,Chinedu ORIALA,1141.238585,4,9,0
2002,21,10.27,10.27,10.27,0,2,2,27452,1,Chinedu ORIALA,1141.238585,3,9,0
2004,23,10.3,10.3,10.3,0,2,2,33876,1,Chinedu ORIALA,1141.238585,1,9,0
2005,24,10.4,10.3,10.3,0,1,1,33876,1,Chinedu ORIALA,1141.238585,4,9,0
2006,25,10.3425,10.2575,10.21,0.001625,1,1,25689.25,0.75,Chinedu ORIALA,1141.238585,3,9,0
2008,27,10.31666667,10.28333333,10.27,0.000133333,3.666666667,3,30180,1,Chinedu ORIALA,1141.238585,1,9,0
2009,28,10.54,10.29,10.29,0,1,1,31544,0,Chinedu ORIALA,1141.238585,4,9,0
1996,22,10.42714286,10.24857143,10.17,0.001614286,3.4,1,24120.28571,0.428571429,Chris CUMMINGS,1144.561396,1,9,0
1997,23,10.385,10.255,10.18,0.0027,1,1,25550.75,0.75,Chris CUMMINGS,1144.561396,4,9,0
1998,24,10.495,10.135,10.04,0.01805,1,1,11858,0,Chris CUMMINGS,1144.561396,3,9,0
1998,23,10.23142857,10.22857143,10.17,0.002514286,3.333333333,1,21156.57143,1,Chris DONALDSON,1127.097561,3,9,0
1999,24,10.33166667,10.245,10.18,0.00171,1.6,1,23487.83333,0.666666667,Chris DONALDSON,1127.097561,2,9,0
2000,25,10.25,10.23,10.23,0,,,20480,1,Chris DONALDSON,1127.097561,1,9,0
2002,20,10.405,10.23,10.19,0.0032,1,1,21077,0.5,Chris JOHNSON,1144.561396,3,9,0
2004,22,10.5625,10.265,10.18,0.003233333,4,1,27622.25,0,Chris JOHNSON,1144.561396,1,9,0
2005,23,10.485,10.255,10.22,0.001366667,2,1,25179.25,0.5,Chris JOHNSON,1144.561396,4,9,0
2007,25,10.53666667,10.26,10.21,0.00092,2.5,1,25937.66667,0.5,Chris JOHNSON,1144.561396,2,9,0
2008,26,10.04,10,10,0,1,1,1954,1,Chris JOHNSON,1144.561396,1,9,0
2009,26,10.31714286,10.25857143,10.21,0.001614286,2.142857143,1,25952,0.571428571,Chris LAWSON,1144.561396,4,9,0
2010,27,10.39,10.2325,10.14,0.003891667,2.25,2,22036.25,0.5,Chris LAWSON,1144.561396,3,9,0
2011,28,10.76,10.28,10.28,0,1,1,29380,0,Chris LAWSON,1144.561396,2,9,0
2013,21,10.61,10.23,10.17,0.0072,5.5,3,21995,0,Chris ROYSTER,1144.561396,4,9,0
2014,22,10.38,10.26,10.2,0.0028,2.666666667,1,26427.66667,1,Chris ROYSTER,1144.561396,3,9,0
2015,23,10.69,10.275,10.27,5.00E-05,2.5,2,28416,0,Chris ROYSTER,1144.561396,2,9,0
2016,24,10.45666667,10.27333333,10.23,0.001433333,2.333333333,1,28633.33333,0.333333333,Chris ROYSTER,1144.561396,1,9,0
2017,25,10.125,10.24,10.22,0.0008,2.5,2,22249.5,1,Chris ROYSTER,1144.561396,5,9,0
2018,26,10.4,10.2575,10.24,0.000225,3.75,1,25188.75,1,Chris ROYSTER,1144.561396,4,9,0
2019,27,10.33,10.225,10.2,0.00125,2,2,19898.5,1,Chris ROYSTER,1144.561396,3,9,0
2021,29,10.304,10.16533333,10.05,0.00558381,3.333333333,1,13732.6,0.666666667,Chris ROYSTER,1144.561396,1,9,0
2006,22,10.3675,10.2525,10.23,0.000491667,2.25,1,24382.75,0.75,Chrisdon HARGRETT,1144.561396,3,9,0
2008,24,10.34625,10.2025,10.12,0.002878571,4.625,2,17386.75,0.75,Chrisdon HARGRETT,1144.561396,1,9,0
2009,25,10.43,10.27,10.26,0.0002,2,1,27485,1,Chrisdon HARGRETT,1144.561396,4,9,0
2012,28,10.53,10.19,10.19,0,1,1,14702,0,Chrisdon HARGRETT,1144.561396,1,9,0
2007,20,10.35333333,10.27333333,10.26,0.000533333,1,1,28352,1,Christian BLUM,1124.962329,2,9,0
2009,22,10.49,10.28,10.28,0,3.5,1,29380,0.5,Christian BLUM,1124.962329,4,9,0
2010,23,10.405,10.23,10.19,0.0032,2,1,21077,0.5,Christian BLUM,1124.962329,3,9,0
2011,24,10.48,10.29,10.29,0,3,3,31544,1,Christian BLUM,1124.962329,2,9,0
2012,25,10.48333333,10.29,10.29,0,2,1,31544,0.333333333,Christian BLUM,1124.962329,1,9,0
2014,27,10.44,10.26333333,10.2,0.001306667,2.666666667,1,26697.83333,0.666666667,Christian BLUM,1124.962329,3,9,0
2015,28,10.455,10.155,10.05,0.005766667,3.25,1,12252,0,Christian BLUM,1124.962329,2,9,0
2014,18,10.47,10.295,10.29,5.00E-05,1,1,32710,0.5,Christian COLEMAN,1144.561396,3,9,0
2015,19,10.39142857,10.19857143,10.16,0.000647619,3,1,16087.57143,0.571428571,Christian COLEMAN,1144.561396,2,9,0
2016,20,10.22363636,10.12272727,9.95,0.012521818,1.909090909,1,11265.45455,0.727272727,Christian COLEMAN,1144.561396,1,9,0
2017,21,9.998,9.994,9.82,0.01024,1.133333333,1,3769.8,0.866666667,Christian COLEMAN,1144.561396,5,9,0
2018,22,9.965,9.936666667,9.79,0.010666667,1.666666667,1,1483.333333,0.833333333,Christian COLEMAN,1144.561396,4,9,0
2019,23,9.924444444,9.931111111,9.76,0.024211111,1.111111111,1,4077.222222,1,Christian COLEMAN,1144.561396,3,9,0
1980,22,10.284,10.238,10.12,0.00457,1.6,1,23220,0.8,Christian HAAS,1118.645161,1,9,0
1981,23,10.32,10.23,10.23,0,1,1,20480,1,Christian HAAS,1118.645161,4,9,0
1983,25,10.296,10.23,10.16,0.00305,1.4,1,21500.8,1,Christian HAAS,1118.645161,2,9,0
1984,26,10.31,10.2,10.2,0,3,3,16027,1,Christian HAAS,1118.645161,1,9,0
1985,27,10.32,10.215,10.2,0.00045,1,1,18253.5,1,Christian HAAS,1118.645161,4,9,0
1986,28,10.42,10.27,10.27,0,5,5,27452,1,Christian HAAS,1118.645161,3,9,0
1987,29,10.34,10.24,10.24,0,1,1,22081,1,Christian HAAS,1118.645161,2,9,0
1997,18,10.37,10.27,10.24,0.0018,1.5,1,27978.5,1,Christian MALCOLM,1137.753126,4,9,0
1998,19,10.39857143,10.18857143,10.1,0.004280952,1,1,16002.85714,0.428571429,Christian MALCOLM,1137.753126,3,9,0
1999,20,10.35666667,10.23333333,10.2,0.001733333,1.333333333,1,21438.66667,0.666666667,Christian MALCOLM,1137.753126,2,9,0
2000,21,10.35,10.29,10.29,0,2,2,31544,1,Christian MALCOLM,1137.753126,1,9,0
2001,22,10.29153846,10.21076923,10.09,0.003674359,2.615384615,1,18874.84615,0.769230769,Christian MALCOLM,1137.753126,4,9,0
2002,23,10.48,10.29,10.29,0,4,4,31544,1,Christian MALCOLM,1137.753126,3,9,0
2003,24,10.295,10.25,10.22,0.0006,2.5,1,23957.25,1,Christian MALCOLM,1137.753126,2,9,0
2004,25,10.2,10.27666667,10.26,0.000233333,3.666666667,1,28838,1,Christian MALCOLM,1137.753126,1,9,0
2005,26,10.23,10.282,10.25,0.00042,1.6,1,30056.4,0.8,Christian MALCOLM,1137.753126,4,9,0
2006,27,10.31,10.27,10.26,0.0001,2.333333333,1,27474,1,Christian MALCOLM,1137.753126,3,9,0
2007,28,10.59,10.22,10.22,0,1,1,18909,0,Christian MALCOLM,1137.753126,2,9,0
2008,29,10.36,10.28333333,10.27,0.000233333,2.666666667,2,30236,1,Christian MALCOLM,1137.753126,1,9,0
2010,31,10.82,10.15,10.15,0,1,1,10382,0,Christian MALCOLM,1137.753126,3,9,0
2011,32,10.295,10.19,10.17,0.0008,3,2,14933,1,Christian MALCOLM,1137.753126,2,9,0
2012,33,10.4,10.16,10.16,0,5,5,11386,0,Christian MALCOLM,1137.753126,1,9,0
2001,24,10.492,10.196,9.99,0.01613,2.2,1,20025.6,0.4,Christie VAN WYK,1157.304348,4,9,0
2002,25,10.46125,10.185,10.06,0.007228571,2.125,1,16524.625,0.125,Christie VAN WYK,1157.304348,3,9,0
2003,26,10.504,10.212,10.16,0.00157,2.5,1,18238.8,0.2,Christie VAN WYK,1157.304348,2,9,0
2004,27,10.558,10.198,10.09,0.00492,1.6,1,17289,0.2,Christie VAN WYK,1157.304348,1,9,0
2005,28,10.71,10.2,10.2,0,1.5,1,16027,0,Christie VAN WYK,1157.304348,4,9,0
1998,20,10.48,10.3,10.3,0,8,8,33876,1,Christoforos CHOIDES,1123.907692,3,9,0
1999,21,10.3375,10.24125,10.19,0.0020125,2.625,1,23067.875,0.875,Christoforos CHOIDES,1123.907692,2,9,0
2003,25,10.21,10.17,10.17,0,3,3,12446,1,Christoforos CHOIDES,1123.907692,2,9,0
2004,26,10.17,10.14,10.14,0,1,1,9471,1,Christoforos CHOIDES,1123.907692,1,9,0
2008,18,10.42,10.28,10.26,0.0008,1.5,1,29733,1,Christophe LEMAITRE,1138.013621,1,9,0
2009,19,10.30818182,10.20454545,10.03,0.009007273,1,1,19715.54545,0.727272727,Christophe LEMAITRE,1138.013621,4,9,0
2010,20,10.09947368,10.10052632,9.97,0.007716374,1.631578947,1,8392.684211,0.947368421,Christophe LEMAITRE,1138.013621,3,9,0
2011,21,10.09642857,10.06071429,9.92,0.008422527,1.857142857,1,5763.642857,1,Christophe LEMAITRE,1138.013621,2,9,0
2012,22,10.18363636,10.08545455,9.94,0.005007273,1.818181818,1,6528.818182,0.727272727,Christophe LEMAITRE,1138.013621,1,9,0
2013,23,10.16363636,10.14454545,9.98,0.011147273,2.7,1,13054.18182,0.909090909,Christophe LEMAITRE,1138.013621,4,9,0
2014,24,10.212,10.15,10.1,0.002333333,2.5,1,11167.6,0.9,Christophe LEMAITRE,1138.013621,3,9,0
2015,25,10.20222222,10.19777778,10.07,0.003144444,2.777777778,1,16800.11111,1,Christophe LEMAITRE,1138.013621,2,9,0
2016,26,10.20714286,10.14714286,10.07,0.00252381,2.428571429,1,10777,1,Christophe LEMAITRE,1138.013621,1,9,0
2017,27,10.25,10.195,10.18,0.00045,3.5,1,15472.5,1,Christophe LEMAITRE,1138.013621,5,9,0
2018,28,10.26,10.17,10.17,0,6,6,12446,1,Christophe LEMAITRE,1138.013621,4,9,0
2019,29,10.32333333,10.27333333,10.27,3.33E-05,2,1,28094.66667,1,Christophe LEMAITRE,1138.013621,3,9,0
