Competitor,Rank,Mark,WIND,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
0,20480,10.23,0.3,1162.0257936507937,1h3,20,29-May-14,1128,10.26,32,22,1.0,2014
0,6354,10.1,0.9,1162.0257936507937,1h1,23,28-Jun-24,1172,10.19,32,32,1.0,2024
0,4606,10.07,0.2,1162.0257936507937,3,41,5-Jul-19,1182,10.09,32,27,3.0,2019
0,1101,9.96,1.7,1162.0257936507937,1sf3,42,26-Jul-19,1220,10.13,32,27,1.0,2019
0,4132,10.06,2.5,1162.0257936507937,1h1,3,9-Jul-16,1171,10.31,32,24,1.0,2016
0,10382,10.15,0.9,1162.0257936507937,7sf2,17,23-Aug-15,1155,10.24,32,23,7.0,2015
0,4606,10.07,-0.1,1162.0257936507937,2,3,9-Jul-16,1182,10.06,32,24,2.0,2016
0,22081,10.24,0.8,1162.0257936507937,3,10,4-Sep-18,1125,10.32,32,26,3.0,2018
0,5146,10.08,0.9,1162.0257936507937,1,28,28-Jul-23,1179,10.17,32,31,1.0,2023
0,9471,10.14,1,1162.0257936507937,1sf1,34,6-Jul-18,1159,10.24,32,26,1.0,2018
0,13525,10.18,2,1162.0257936507937,1,2,13-May-12,1145,10.38,32,19,1.0,2012
0,2237,10.01,1.8,1162.0257936507937,2f1,43,11-Jun-16,1203,10.19,32,24,2.0,2016
0,2237,10.01,3.2,1162.0257936507937,5,2,7-Jun-13,1184,10.33,32,21,5.0,2013
0,1489,9.98,2.8,1162.0257936507937,2f1,44,26-May-17,1197,10.26,32,24,2.0,2017
0,27452,10.27,1,1162.0257936507937,5,45,2-Jul-23,1115,10.37,32,31,5.0,2023
0,22081,10.24,1.6,1162.0257936507937,3h5,13,4-Jul-20,1125,10.4,32,28,3.0,2020
0,13525,10.18,-0.1,1162.0257936507937,2,10,3-Sep-19,1145,10.17,32,27,2.0,2019
0,13525,10.18,-0.8,1162.0257936507937,5,45,4-Jul-21,1149,10.1,32,29,5.0,2021
0,23770,10.25,-0.3,1162.0257936507937,3,23,28-Jun-24,1123,10.22,32,32,3.0,2024
0,1489,9.98,2.8,1162.0257936507937,1h1,27,1-May-22,1197,10.26,32,29,1.0,2022
0,279,9.87,5.5,1162.0257936507937,1h4,13,4-Jun-22,1219,10.42,32,30,1.0,2022
0,20480,10.23,0.6,1162.0257936507937,3,46,18-May-24,1128,10.29,32,31,3.0,2024
0,20480,10.23,-0.5,1162.0257936507937,2,0,21-May-22,1131,10.18,32,29,2.0,2022
0,9471,10.14,1,1162.0257936507937,1f1,47,14-May-16,1159,10.24,32,23,1.0,2016
0,5146,10.08,1.9,1162.0257936507937,5f2,32,10-Apr-21,1179,10.27,32,28,5.0,2021
0,27452,10.27,1.7,1162.0257936507937,1h3,2,12-May-12,1115,10.44,32,19,1.0,2012
0,10382,10.15,2,1162.0257936507937,1f2,13,10-Aug-20,1155,10.35,32,28,1.0,2020
0,2845,10.03,0.1,1162.0257936507937,1,42,26-Jul-19,1196,10.04,32,27,1.0,2019
0,1101,9.96,2,1162.0257936507937,1h1,43,11-Jun-16,1220,10.16,32,24,1.0,2016
0,4606,10.07,1.8,1162.0257936507937,3,2,13-Jun-14,1182,10.25,32,22,3.0,2014
0,10382,10.15,2.1,1162.0257936507937,1f1,14,5-Apr-13,1143,10.36,32,20,1.0,2013
0,1954,10.0,2.4,1162.0257936507937,2f1,33,24-May-19,1192,10.24,32,26,2.0,2019
0,10382,10.15,-0.1,1162.0257936507937,2h5,48,10-Aug-13,1155,10.14,32,21,2.0,2013
0,4606,10.07,-0.1,1162.0257936507937,8,5,16-Jul-22,1182,10.06,32,30,8.0,2022
0,33876,10.3,0.1,1162.0257936507937,1,24,20-Jun-19,1105,10.31,32,27,1.0,2019
0,10382,10.15,0.1,1162.0257936507937,5sf3,48,11-Aug-13,1155,10.16,32,21,5.0,2013
0,519,9.91,2.9,1162.0257936507937,2f1,13,4-Jun-22,1221,10.2,32,30,2.0,2022
0,4606,10.07,0.7,1162.0257936507937,1h2,28,25-Jun-22,1182,10.14,32,30,1.0,2022
0,10382,10.15,0.4,1162.0257936507937,6,49,4-Jun-23,1155,10.19,32,31,6.0,2023
0,10382,10.15,1.5,1162.0257936507937,1h3,28,28-Jul-23,1155,10.3,32,31,1.0,2023
0,22081,10.24,-1.3,1162.0257936507937,3h8,50,13-Aug-16,1132,10.11,32,24,3.0,2016
0,5146,10.08,0.6,1162.0257936507937,8,30,28-Sep-19,1179,10.14,32,27,8.0,2019
0,3690,10.05,3.4,1162.0257936507937,3f1,51,20-Apr-24,1169,10.39,32,31,3.0,2024
0,9471,10.14,2.5,1162.0257936507937,7,29,16-Apr-22,1144,10.39,32,29,7.0,2022
0,5146,10.08,1.4,1162.0257936507937,4,19,1-Sep-19,1179,10.22,32,27,4.0,2019
0,31544,10.29,2.1,1162.0257936507937,3h2,11,29-Jun-12,1096,10.5,32,20,3.0,2012
0,6354,10.1,2.8,1162.0257936507937,2h2,32,8-Apr-23,1156,10.38,32,30,2.0,2023
1,23770,10.25,-2.1,1179.629411764706,1,52,18-Apr-15,1134,10.04,30,21,1.0,2015
1,3690,10.05,-0.5,1179.629411764706,1sf1,16,5-Aug-17,1192,10,30,23,1.0,2017
1,17420,10.21,-0.2,1179.629411764706,2,52,15-Apr-16,1136,10.19,30,22,2.0,2016
1,607,9.92,1.1,1179.629411764706,1,53,16-Jun-19,1234,10.03,30,25,1.0,2019
1,27452,10.27,1.6,1179.629411764706,2sf2,54,10-Aug-14,1115,10.43,30,20,2.0,2014
