Nat,Score
AHO,1158.621951219512
CAN,1162.0257936507937
CIV,1147.5904761904762
FRA,1165.9525862068965
GBR,1150.2102189781021
GHA,1142.2606837606838
JAM,1169.7773359840953
JPN,1150.7543859649122
NAM,1165.8989898989898
NED,1148.840579710145
NGR,1146.0332541567695
POR,1157.864
RSA,1179.629411764706
SKN,1158.2411067193675
TTO,1162.4764705882353
TUR,1152.1944444444443
USA,1168.4454428754814
